"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Jan 2021","1","0.90"
"MFP","01 Jan 2021","2","0.50"
"MFP","01 Jan 2021","3","0.50"
"MFP","01 Jan 2021","4","1.12"
"MFP","01 Jan 2021","5","1.20"
"MFP","01 Jan 2021","6","0.88"
"MFP","01 Jan 2021","7","0.88"
"MFP","01 Jan 2021","8","0.81"
"MFP","01 Jan 2021","9","0.50"
"MFP","01 Jan 2021","10","0.50"
"MFP","01 Jan 2021","11","0.50"
"MFP","01 Jan 2021","12","1.20"
"MFP","01 Jan 2021","13","8.00"
"MFP","01 Jan 2021","14","7.44"
"MFP","01 Jan 2021","15","8.00"
"MFP","01 Jan 2021","16","8.00"
"MFP","01 Jan 2021","17","8.00"
"MFP","01 Jan 2021","18","8.00"
"MFP","01 Jan 2021","19","8.00"
"MFP","01 Jan 2021","20","3.47"
"MFP","01 Jan 2021","21","5.69"
"MFP","01 Jan 2021","22","5.69"
"MFP","01 Jan 2021","23","8.00"
"MFP","01 Jan 2021","24","8.00"
"MFP","01 Jan 2021","25","8.00"
"MFP","01 Jan 2021","26","8.00"
"MFP","01 Jan 2021","27","8.00"
"MFP","01 Jan 2021","28","8.00"
"MFP","01 Jan 2021","29","8.00"
"MFP","01 Jan 2021","30","8.00"
"MFP","01 Jan 2021","31","8.00"
"MFP","01 Jan 2021","32","8.00"
"MFP","01 Jan 2021","33","8.00"
"MFP","01 Jan 2021","34","8.00"
"MFP","01 Jan 2021","35","8.00"
"MFP","01 Jan 2021","36","8.90"
"MFP","01 Jan 2021","37","8.90"
"MFP","01 Jan 2021","38","8.90"
"MFP","01 Jan 2021","39","8.90"
"MFP","01 Jan 2021","40","15.88"
"MFP","01 Jan 2021","41","13.38"
"MFP","01 Jan 2021","42","10.62"
"MFP","01 Jan 2021","43","10.44"
"MFP","01 Jan 2021","44","9.48"
"MFP","01 Jan 2021","45","8.00"
"MFP","01 Jan 2021","46","8.00"
"MFP","01 Jan 2021","47","2.08"
"MFP","01 Jan 2021","48","1.98"
"MFP","02 Jan 2021","1","1.27"
"MFP","02 Jan 2021","2","0.88"
"MFP","02 Jan 2021","3","0.60"
"MFP","02 Jan 2021","4","0.60"
"MFP","02 Jan 2021","5","0.88"
"MFP","02 Jan 2021","6","0.60"
"MFP","02 Jan 2021","7","0.60"
"MFP","02 Jan 2021","8","0.60"
"MFP","02 Jan 2021","9","0.60"
"MFP","02 Jan 2021","10","0.60"
"MFP","02 Jan 2021","11","0.88"
"MFP","02 Jan 2021","12","1.20"
"MFP","02 Jan 2021","13","8.00"
"MFP","02 Jan 2021","14","8.00"
"MFP","02 Jan 2021","15","8.00"
"MFP","02 Jan 2021","16","8.00"
"MFP","02 Jan 2021","17","8.00"
"MFP","02 Jan 2021","18","3.55"
"MFP","02 Jan 2021","19","9.02"
"MFP","02 Jan 2021","20","9.02"
"MFP","02 Jan 2021","21","8.62"
"MFP","02 Jan 2021","22","9.02"
"MFP","02 Jan 2021","23","8.73"
"MFP","02 Jan 2021","24","8.72"
"MFP","02 Jan 2021","25","7.61"
"MFP","02 Jan 2021","26","7.21"
"MFP","02 Jan 2021","27","7.51"
"MFP","02 Jan 2021","28","7.90"
"MFP","02 Jan 2021","29","7.90"
"MFP","02 Jan 2021","30","7.20"
"MFP","02 Jan 2021","31","7.20"
"MFP","02 Jan 2021","32","7.20"
"MFP","02 Jan 2021","33","3.90"
"MFP","02 Jan 2021","34","1.75"
"MFP","02 Jan 2021","35","1.33"
"MFP","02 Jan 2021","36","2.80"
"MFP","02 Jan 2021","37","9.88"
"MFP","02 Jan 2021","38","8.39"
"MFP","02 Jan 2021","39","9.88"
"MFP","02 Jan 2021","40","8.39"
"MFP","02 Jan 2021","41","9.88"
"MFP","02 Jan 2021","42","7.90"
"MFP","02 Jan 2021","43","1.30"
"MFP","02 Jan 2021","44","1.20"
"MFP","02 Jan 2021","45","1.20"
"MFP","02 Jan 2021","46","1.28"
"MFP","02 Jan 2021","47","1.28"
"MFP","02 Jan 2021","48","1.20"
"MFP","03 Jan 2021","1","1.20"
"MFP","03 Jan 2021","2","0.90"
"MFP","03 Jan 2021","3","0.88"
"MFP","03 Jan 2021","4","0.60"
"MFP","03 Jan 2021","5","0.88"
"MFP","03 Jan 2021","6","0.60"
"MFP","03 Jan 2021","7","0.60"
"MFP","03 Jan 2021","8","0.90"
"MFP","03 Jan 2021","9","0.90"
"MFP","03 Jan 2021","10","0.60"
"MFP","03 Jan 2021","11","0.90"
"MFP","03 Jan 2021","12","1.20"
"MFP","03 Jan 2021","13","8.00"
"MFP","03 Jan 2021","14","8.00"
"MFP","03 Jan 2021","15","8.00"
"MFP","03 Jan 2021","16","8.00"
"MFP","03 Jan 2021","17","8.00"
"MFP","03 Jan 2021","18","8.00"
"MFP","03 Jan 2021","19","8.00"
"MFP","03 Jan 2021","20","2.80"
"MFP","03 Jan 2021","21","4.02"
"MFP","03 Jan 2021","22","1.33"
"MFP","03 Jan 2021","23","1.33"
"MFP","03 Jan 2021","24","1.20"
