"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Jun 2021","1","0.60"
"MFP","01 Jun 2021","2","0.50"
"MFP","01 Jun 2021","3","0.01"
"MFP","01 Jun 2021","4","0.01"
"MFP","01 Jun 2021","5","0.01"
"MFP","01 Jun 2021","6","0.01"
"MFP","01 Jun 2021","7","0.01"
"MFP","01 Jun 2021","8","0.01"
"MFP","01 Jun 2021","9","0.01"
"MFP","01 Jun 2021","10","0.01"
"MFP","01 Jun 2021","11","0.01"
"MFP","01 Jun 2021","12","1.00"
"MFP","01 Jun 2021","13","1.10"
"MFP","01 Jun 2021","14","1.00"
"MFP","01 Jun 2021","15","4.34"
"MFP","01 Jun 2021","16","10.31"
"MFP","01 Jun 2021","17","2.78"
"MFP","01 Jun 2021","18","1.32"
"MFP","01 Jun 2021","19","1.20"
"MFP","01 Jun 2021","20","1.09"
"MFP","01 Jun 2021","21","0.88"
"MFP","01 Jun 2021","22","0.59"
"MFP","01 Jun 2021","23","1.00"
"MFP","01 Jun 2021","24","0.88"
"MFP","01 Jun 2021","25","0.88"
"MFP","01 Jun 2021","26","0.88"
"MFP","01 Jun 2021","27","1.20"
"MFP","01 Jun 2021","28","1.76"
"MFP","01 Jun 2021","29","1.36"
"MFP","01 Jun 2021","30","1.39"
"MFP","01 Jun 2021","31","0.56"
"MFP","01 Jun 2021","32","0.56"
"MFP","01 Jun 2021","33","0.50"
"MFP","01 Jun 2021","34","1.20"
"MFP","01 Jun 2021","35","1.28"
"MFP","01 Jun 2021","36","1.20"
"MFP","01 Jun 2021","37","1.73"
"MFP","01 Jun 2021","38","2.23"
"MFP","01 Jun 2021","39","1.51"
"MFP","01 Jun 2021","40","1.33"
"MFP","01 Jun 2021","41","1.00"
"MFP","01 Jun 2021","42","0.60"
"MFP","01 Jun 2021","43","0.89"
"MFP","01 Jun 2021","44","0.60"
"MFP","01 Jun 2021","45","0.88"
"MFP","01 Jun 2021","46","7.41"
"MFP","01 Jun 2021","47","1.20"
"MFP","01 Jun 2021","48","1.28"
"MFP","02 Jun 2021","1","0.70"
"MFP","02 Jun 2021","2","0.50"
"MFP","02 Jun 2021","3","0.01"
"MFP","02 Jun 2021","4","0.01"
"MFP","02 Jun 2021","5","0.01"
"MFP","02 Jun 2021","6","0.01"
"MFP","02 Jun 2021","7","0.01"
"MFP","02 Jun 2021","8","0.01"
"MFP","02 Jun 2021","9","0.01"
"MFP","02 Jun 2021","10","0.01"
"MFP","02 Jun 2021","11","0.01"
"MFP","02 Jun 2021","12","0.90"
"MFP","02 Jun 2021","13","1.00"
"MFP","02 Jun 2021","14","1.00"
"MFP","02 Jun 2021","15","2.26"
"MFP","02 Jun 2021","16","4.30"
"MFP","02 Jun 2021","17","4.20"
"MFP","02 Jun 2021","18","4.41"
"MFP","02 Jun 2021","19","8.77"
"MFP","02 Jun 2021","20","10.46"
"MFP","02 Jun 2021","21","10.83"
"MFP","02 Jun 2021","22","10.46"
"MFP","02 Jun 2021","23","10.46"
"MFP","02 Jun 2021","24","9.87"
"MFP","02 Jun 2021","25","8.00"
"MFP","02 Jun 2021","26","8.00"
"MFP","02 Jun 2021","27","10.70"
"MFP","02 Jun 2021","28","10.83"
"MFP","02 Jun 2021","29","10.71"
"MFP","02 Jun 2021","30","10.70"
"MFP","02 Jun 2021","31","36.78"
"MFP","02 Jun 2021","32","11.85"
"MFP","02 Jun 2021","33","15.88"
"MFP","02 Jun 2021","34","12.95"
"MFP","02 Jun 2021","35","13.33"
