"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Oct 2021","1","1.00"
"MFP","01 Oct 2021","2","0.60"
"MFP","01 Oct 2021","3","0.50"
"MFP","01 Oct 2021","4","0.01"
"MFP","01 Oct 2021","5","0.01"
"MFP","01 Oct 2021","6","0.50"
"MFP","01 Oct 2021","7","0.01"
"MFP","01 Oct 2021","8","0.01"
"MFP","01 Oct 2021","9","0.01"
"MFP","01 Oct 2021","10","0.01"
"MFP","01 Oct 2021","11","0.50"
"MFP","01 Oct 2021","12","1.10"
"MFP","01 Oct 2021","13","2.00"
"MFP","01 Oct 2021","14","1.33"
"MFP","01 Oct 2021","15","8.02"
"MFP","01 Oct 2021","16","8.29"
"MFP","01 Oct 2021","17","8.29"
"MFP","01 Oct 2021","18","8.00"
"MFP","01 Oct 2021","19","8.00"
"MFP","01 Oct 2021","20","8.00"
"MFP","01 Oct 2021","21","8.00"
"MFP","01 Oct 2021","22","1.33"
"MFP","01 Oct 2021","23","2.00"
"MFP","01 Oct 2021","24","2.00"
"MFP","01 Oct 2021","25","1.33"
"MFP","01 Oct 2021","26","1.33"
"MFP","01 Oct 2021","27","8.00"
"MFP","01 Oct 2021","28","8.00"
"MFP","01 Oct 2021","29","8.00"
"MFP","01 Oct 2021","30","8.00"
"MFP","01 Oct 2021","31","1.33"
"MFP","01 Oct 2021","32","1.33"
"MFP","01 Oct 2021","33","1.33"
"MFP","01 Oct 2021","34","8.00"
"MFP","01 Oct 2021","35","8.00"
"MFP","01 Oct 2021","36","8.00"
"MFP","01 Oct 2021","37","13.33"
"MFP","01 Oct 2021","38","12.12"
"MFP","01 Oct 2021","39","9.88"
"MFP","01 Oct 2021","40","9.88"
"MFP","01 Oct 2021","41","8.00"
"MFP","01 Oct 2021","42","3.23"
"MFP","01 Oct 2021","43","1.20"
"MFP","01 Oct 2021","44","7.43"
"MFP","01 Oct 2021","45","2.21"
"MFP","01 Oct 2021","46","1.20"
"MFP","01 Oct 2021","47","1.00"
"MFP","01 Oct 2021","48","1.00"
"MFP","02 Oct 2021","1","1.00"
"MFP","02 Oct 2021","2","0.60"
"MFP","02 Oct 2021","3","0.01"
"MFP","02 Oct 2021","4","0.01"
"MFP","02 Oct 2021","5","0.01"
"MFP","02 Oct 2021","6","0.50"
"MFP","02 Oct 2021","7","0.50"
"MFP","02 Oct 2021","8","0.01"
"MFP","02 Oct 2021","9","0.50"
"MFP","02 Oct 2021","10","0.01"
"MFP","02 Oct 2021","11","0.50"
"MFP","02 Oct 2021","12","1.20"
"MFP","02 Oct 2021","13","2.00"
"MFP","02 Oct 2021","14","2.00"
"MFP","02 Oct 2021","15","8.00"
"MFP","02 Oct 2021","16","8.00"
"MFP","02 Oct 2021","17","8.02"
"MFP","02 Oct 2021","18","8.09"
"MFP","02 Oct 2021","19","8.29"
"MFP","02 Oct 2021","20","8.29"
"MFP","02 Oct 2021","21","10.29"
"MFP","02 Oct 2021","22","12.11"
"MFP","02 Oct 2021","23","10.44"
"MFP","02 Oct 2021","24","3.10"
"MFP","02 Oct 2021","25","3.10"
"MFP","02 Oct 2021","26","3.10"
"MFP","02 Oct 2021","27","8.29"
"MFP","02 Oct 2021","28","4.50"
"MFP","02 Oct 2021","29","3.70"
"MFP","02 Oct 2021","30","4.71"
"MFP","02 Oct 2021","31","2.29"
"MFP","02 Oct 2021","32","2.29"
"MFP","02 Oct 2021","33","2.29"
"MFP","02 Oct 2021","34","12.81"
"MFP","02 Oct 2021","35","22.92"
"MFP","02 Oct 2021","36","23.47"
"MFP","02 Oct 2021","37","33.12"
"MFP","02 Oct 2021","38","41.71"
"MFP","02 Oct 2021","39","68.06"
"MFP","02 Oct 2021","40","68.35"
"MFP","02 Oct 2021","41","66.76"
"MFP","02 Oct 2021","42","58.51"
"MFP","02 Oct 2021","43","22.47"
"MFP","02 Oct 2021","44","130.88"
"MFP","02 Oct 2021","45","22.47"
"MFP","02 Oct 2021","46","12.11"
"MFP","02 Oct 2021","47","8.51"
