"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Apr 2021","1","1.00"
"MRP","PRIRESA","01 Apr 2021","2","1.00"
"MRP","PRIRESA","01 Apr 2021","3","1.00"
"MRP","PRIRESA","01 Apr 2021","4","0.72"
"MRP","PRIRESA","01 Apr 2021","5","0.71"
"MRP","PRIRESA","01 Apr 2021","6","0.13"
"MRP","PRIRESA","01 Apr 2021","7","0.13"
"MRP","PRIRESA","01 Apr 2021","8","0.13"
"MRP","PRIRESA","01 Apr 2021","9","0.13"
"MRP","PRIRESA","01 Apr 2021","10","0.13"
"MRP","PRIRESA","01 Apr 2021","11","1.00"
"MRP","PRIRESA","01 Apr 2021","12","1.00"
"MRP","PRIRESA","01 Apr 2021","13","1.00"
"MRP","PRIRESA","01 Apr 2021","14","0.71"
"MRP","PRIRESA","01 Apr 2021","15","0.71"
"MRP","PRIRESA","01 Apr 2021","16","0.71"
"MRP","PRIRESA","01 Apr 2021","17","0.59"
"MRP","PRIRESA","01 Apr 2021","18","0.71"
"MRP","PRIRESA","01 Apr 2021","19","0.71"
"MRP","PRIRESA","01 Apr 2021","20","0.71"
"MRP","PRIRESA","01 Apr 2021","21","0.59"
"MRP","PRIRESA","01 Apr 2021","22","0.88"
"MRP","PRIRESA","01 Apr 2021","23","0.59"
"MRP","PRIRESA","01 Apr 2021","24","0.59"
"MRP","PRIRESA","01 Apr 2021","25","0.59"
"MRP","PRIRESA","01 Apr 2021","26","0.59"
"MRP","PRIRESA","01 Apr 2021","27","0.59"
"MRP","PRIRESA","01 Apr 2021","28","0.59"
"MRP","PRIRESA","01 Apr 2021","29","0.06"
"MRP","PRIRESA","01 Apr 2021","30","0.06"
"MRP","PRIRESA","01 Apr 2021","31","0.07"
"MRP","PRIRESA","01 Apr 2021","32","0.06"
"MRP","PRIRESA","01 Apr 2021","33","0.41"
"MRP","PRIRESA","01 Apr 2021","34","0.14"
"MRP","PRIRESA","01 Apr 2021","35","0.59"
"MRP","PRIRESA","01 Apr 2021","36","0.59"
"MRP","PRIRESA","01 Apr 2021","37","0.59"
"MRP","PRIRESA","01 Apr 2021","38","0.26"
"MRP","PRIRESA","01 Apr 2021","39","1.00"
"MRP","PRIRESA","01 Apr 2021","40","1.00"
"MRP","PRIRESA","01 Apr 2021","41","0.99"
"MRP","PRIRESA","01 Apr 2021","42","0.99"
"MRP","PRIRESA","01 Apr 2021","43","1.00"
"MRP","PRIRESA","01 Apr 2021","44","1.00"
"MRP","PRIRESA","01 Apr 2021","45","1.00"
"MRP","PRIRESA","01 Apr 2021","46","0.59"
"MRP","PRIRESA","01 Apr 2021","47","0.59"
"MRP","PRIRESA","01 Apr 2021","48","1.67"
"MRP","PRIRESB","01 Apr 2021","1","0.85"
"MRP","PRIRESB","01 Apr 2021","2","0.85"
"MRP","PRIRESB","01 Apr 2021","3","0.85"
"MRP","PRIRESB","01 Apr 2021","4","0.61"
"MRP","PRIRESB","01 Apr 2021","5","0.60"
"MRP","PRIRESB","01 Apr 2021","6","0.11"
"MRP","PRIRESB","01 Apr 2021","7","0.11"
"MRP","PRIRESB","01 Apr 2021","8","0.11"
"MRP","PRIRESB","01 Apr 2021","9","0.11"
"MRP","PRIRESB","01 Apr 2021","10","0.11"
"MRP","PRIRESB","01 Apr 2021","11","0.85"
"MRP","PRIRESB","01 Apr 2021","12","0.85"
"MRP","PRIRESB","01 Apr 2021","13","0.85"
"MRP","PRIRESB","01 Apr 2021","14","0.60"
"MRP","PRIRESB","01 Apr 2021","15","0.60"
"MRP","PRIRESB","01 Apr 2021","16","0.60"
"MRP","PRIRESB","01 Apr 2021","17","0.50"
"MRP","PRIRESB","01 Apr 2021","18","0.60"
"MRP","PRIRESB","01 Apr 2021","19","0.60"
"MRP","PRIRESB","01 Apr 2021","20","0.60"
"MRP","PRIRESB","01 Apr 2021","21","0.50"
