"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Feb 2021","1","3.52"
"MRP","PRIRESA","01 Feb 2021","2","3.65"
"MRP","PRIRESA","01 Feb 2021","3","1.78"
"MRP","PRIRESA","01 Feb 2021","4","1.88"
"MRP","PRIRESA","01 Feb 2021","5","1.76"
"MRP","PRIRESA","01 Feb 2021","6","4.88"
"MRP","PRIRESA","01 Feb 2021","7","1.88"
"MRP","PRIRESA","01 Feb 2021","8","1.76"
"MRP","PRIRESA","01 Feb 2021","9","1.76"
"MRP","PRIRESA","01 Feb 2021","10","1.88"
"MRP","PRIRESA","01 Feb 2021","11","1.76"
"MRP","PRIRESA","01 Feb 2021","12","1.29"
"MRP","PRIRESA","01 Feb 2021","13","1.56"
"MRP","PRIRESA","01 Feb 2021","14","1.56"
"MRP","PRIRESA","01 Feb 2021","15","1.76"
"MRP","PRIRESA","01 Feb 2021","16","0.99"
"MRP","PRIRESA","01 Feb 2021","17","1.32"
"MRP","PRIRESA","01 Feb 2021","18","1.32"
"MRP","PRIRESA","01 Feb 2021","19","1.32"
"MRP","PRIRESA","01 Feb 2021","20","0.71"
"MRP","PRIRESA","01 Feb 2021","21","0.71"
"MRP","PRIRESA","01 Feb 2021","22","0.88"
"MRP","PRIRESA","01 Feb 2021","23","0.99"
"MRP","PRIRESA","01 Feb 2021","24","0.96"
"MRP","PRIRESA","01 Feb 2021","25","0.71"
"MRP","PRIRESA","01 Feb 2021","26","0.88"
"MRP","PRIRESA","01 Feb 2021","27","0.99"
"MRP","PRIRESA","01 Feb 2021","28","0.96"
"MRP","PRIRESA","01 Feb 2021","29","0.88"
"MRP","PRIRESA","01 Feb 2021","30","0.88"
"MRP","PRIRESA","01 Feb 2021","31","0.99"
"MRP","PRIRESA","01 Feb 2021","32","0.96"
"MRP","PRIRESA","01 Feb 2021","33","0.96"
"MRP","PRIRESA","01 Feb 2021","34","0.88"
"MRP","PRIRESA","01 Feb 2021","35","0.59"
"MRP","PRIRESA","01 Feb 2021","36","0.99"
"MRP","PRIRESA","01 Feb 2021","37","1.32"
"MRP","PRIRESA","01 Feb 2021","38","1.32"
"MRP","PRIRESA","01 Feb 2021","39","1.88"
"MRP","PRIRESA","01 Feb 2021","40","0.99"
"MRP","PRIRESA","01 Feb 2021","41","1.32"
"MRP","PRIRESA","01 Feb 2021","42","1.22"
"MRP","PRIRESA","01 Feb 2021","43","0.88"
"MRP","PRIRESA","01 Feb 2021","44","0.88"
"MRP","PRIRESA","01 Feb 2021","45","0.96"
"MRP","PRIRESA","01 Feb 2021","46","1.29"
"MRP","PRIRESA","01 Feb 2021","47","1.56"
"MRP","PRIRESA","01 Feb 2021","48","1.88"
"MRP","PRIRESB","01 Feb 2021","1","2.99"
"MRP","PRIRESB","01 Feb 2021","2","3.10"
"MRP","PRIRESB","01 Feb 2021","3","1.51"
"MRP","PRIRESB","01 Feb 2021","4","1.60"
"MRP","PRIRESB","01 Feb 2021","5","1.50"
"MRP","PRIRESB","01 Feb 2021","6","4.15"
"MRP","PRIRESB","01 Feb 2021","7","1.60"
