"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Nov 2021","1","58.82"
"MRP","PRIRESA","01 Nov 2021","2","58.82"
"MRP","PRIRESA","01 Nov 2021","3","58.82"
"MRP","PRIRESA","01 Nov 2021","4","29.04"
"MRP","PRIRESA","01 Nov 2021","5","30.91"
"MRP","PRIRESA","01 Nov 2021","6","41.01"
"MRP","PRIRESA","01 Nov 2021","7","29.04"
"MRP","PRIRESA","01 Nov 2021","8","29.04"
"MRP","PRIRESA","01 Nov 2021","9","29.04"
"MRP","PRIRESA","01 Nov 2021","10","29.04"
"MRP","PRIRESA","01 Nov 2021","11","29.04"
"MRP","PRIRESA","01 Nov 2021","12","29.04"
"MRP","PRIRESA","01 Nov 2021","13","4.88"
"MRP","PRIRESA","01 Nov 2021","14","1.88"
"MRP","PRIRESA","01 Nov 2021","15","1.33"
"MRP","PRIRESA","01 Nov 2021","16","1.32"
"MRP","PRIRESA","01 Nov 2021","17","0.86"
"MRP","PRIRESA","01 Nov 2021","18","0.14"
"MRP","PRIRESA","01 Nov 2021","19","0.14"
"MRP","PRIRESA","01 Nov 2021","20","0.14"
"MRP","PRIRESA","01 Nov 2021","21","0.14"
"MRP","PRIRESA","01 Nov 2021","22","0.06"
"MRP","PRIRESA","01 Nov 2021","23","0.06"
"MRP","PRIRESA","01 Nov 2021","24","0.06"
"MRP","PRIRESA","01 Nov 2021","25","0.06"
"MRP","PRIRESA","01 Nov 2021","26","1.32"
"MRP","PRIRESA","01 Nov 2021","27","1.32"
"MRP","PRIRESA","01 Nov 2021","28","0.88"
"MRP","PRIRESA","01 Nov 2021","29","1.33"
"MRP","PRIRESA","01 Nov 2021","30","1.33"
"MRP","PRIRESA","01 Nov 2021","31","1.76"
"MRP","PRIRESA","01 Nov 2021","32","0.88"
"MRP","PRIRESA","01 Nov 2021","33","1.32"
"MRP","PRIRESA","01 Nov 2021","34","1.32"
"MRP","PRIRESA","01 Nov 2021","35","1.32"
"MRP","PRIRESA","01 Nov 2021","36","1.33"
"MRP","PRIRESA","01 Nov 2021","37","1.33"
"MRP","PRIRESA","01 Nov 2021","38","1.33"
"MRP","PRIRESA","01 Nov 2021","39","1.33"
"MRP","PRIRESA","01 Nov 2021","40","1.88"
"MRP","PRIRESA","01 Nov 2021","41","1.33"
"MRP","PRIRESA","01 Nov 2021","42","1.33"
"MRP","PRIRESA","01 Nov 2021","43","1.88"
"MRP","PRIRESA","01 Nov 2021","44","2.13"
"MRP","PRIRESA","01 Nov 2021","45","1.88"
"MRP","PRIRESA","01 Nov 2021","46","2.13"
"MRP","PRIRESA","01 Nov 2021","47","7.47"
"MRP","PRIRESA","01 Nov 2021","48","13.33"
"MRP","PRIRESB","01 Nov 2021","1","50.00"
"MRP","PRIRESB","01 Nov 2021","2","50.00"
"MRP","PRIRESB","01 Nov 2021","3","50.00"
"MRP","PRIRESB","01 Nov 2021","4","24.68"
"MRP","PRIRESB","01 Nov 2021","5","26.28"
"MRP","PRIRESB","01 Nov 2021","6","34.86"
"MRP","PRIRESB","01 Nov 2021","7","24.68"
"MRP","PRIRESB","01 Nov 2021","8","24.68"
"MRP","PRIRESB","01 Nov 2021","9","24.68"
"MRP","PRIRESB","01 Nov 2021","10","24.68"
"MRP","PRIRESB","01 Nov 2021","11","24.68"
"MRP","PRIRESB","01 Nov 2021","12","24.68"
"MRP","PRIRESB","01 Nov 2021","13","4.15"
"MRP","PRIRESB","01 Nov 2021","14","1.60"
"MRP","PRIRESB","01 Nov 2021","15","1.13"
"MRP","PRIRESB","01 Nov 2021","16","1.12"
"MRP","PRIRESB","01 Nov 2021","17","0.73"
"MRP","PRIRESB","01 Nov 2021","18","0.12"
"MRP","PRIRESB","01 Nov 2021","19","0.12"
"MRP","PRIRESB","01 Nov 2021","20","0.12"
"MRP","PRIRESB","01 Nov 2021","21","0.12"
"MRP","PRIRESB","01 Nov 2021","22","0.05"
"MRP","PRIRESB","01 Nov 2021","23","0.05"
"MRP","PRIRESB","01 Nov 2021","24","0.05"
"MRP","PRIRESB","01 Nov 2021","25","0.05"
"MRP","PRIRESB","01 Nov 2021","26","1.12"
"MRP","PRIRESB","01 Nov 2021","27","1.12"
"MRP","PRIRESB","01 Nov 2021","28","0.75"
"MRP","PRIRESB","01 Nov 2021","29","1.13"
"MRP","PRIRESB","01 Nov 2021","30","1.13"
"MRP","PRIRESB","01 Nov 2021","31","1.50"
"MRP","PRIRESB","01 Nov 2021","32","0.75"
"MRP","PRIRESB","01 Nov 2021","33","1.12"
"MRP","PRIRESB","01 Nov 2021","34","1.12"
"MRP","PRIRESB","01 Nov 2021","35","1.12"
"MRP","PRIRESB","01 Nov 2021","36","1.13"
"MRP","PRIRESB","01 Nov 2021","37","1.13"
"MRP","PRIRESB","01 Nov 2021","38","1.13"
"MRP","PRIRESB","01 Nov 2021","39","1.13"
"MRP","PRIRESB","01 Nov 2021","40","1.60"
"MRP","PRIRESB","01 Nov 2021","41","1.13"
"MRP","PRIRESB","01 Nov 2021","42","1.13"
"MRP","PRIRESB","01 Nov 2021","43","1.60"
"MRP","PRIRESB","01 Nov 2021","44","1.81"
"MRP","PRIRESB","01 Nov 2021","45","1.60"
"MRP","PRIRESB","01 Nov 2021","46","1.81"
"MRP","PRIRESB","01 Nov 2021","47","6.35"
"MRP","PRIRESB","01 Nov 2021","48","11.33"
"MRP","PRIRESC","01 Nov 2021","1","44.12"
"MRP","PRIRESC","01 Nov 2021","2","44.12"
"MRP","PRIRESC","01 Nov 2021","3","44.12"
"MRP","PRIRESC","01 Nov 2021","4","21.78"
"MRP","PRIRESC","01 Nov 2021","5","23.19"
"MRP","PRIRESC","01 Nov 2021","6","30.76"
"MRP","PRIRESC","01 Nov 2021","7","21.78"
"MRP","PRIRESC","01 Nov 2021","8","21.78"
"MRP","PRIRESC","01 Nov 2021","9","21.78"
"MRP","PRIRESC","01 Nov 2021","10","21.78"
"MRP","PRIRESC","01 Nov 2021","11","21.78"
"MRP","PRIRESC","01 Nov 2021","12","21.78"
"MRP","PRIRESC","01 Nov 2021","13","3.66"
"MRP","PRIRESC","01 Nov 2021","14","1.41"
"MRP","PRIRESC","01 Nov 2021","15","1.00"
"MRP","PRIRESC","01 Nov 2021","16","0.99"
"MRP","PRIRESC","01 Nov 2021","17","0.64"
"MRP","PRIRESC","01 Nov 2021","18","0.11"
"MRP","PRIRESC","01 Nov 2021","19","0.11"
"MRP","PRIRESC","01 Nov 2021","20","0.11"
"MRP","PRIRESC","01 Nov 2021","21","0.11"
"MRP","PRIRESC","01 Nov 2021","22","0.04"
"MRP","PRIRESC","01 Nov 2021","23","0.04"
"MRP","PRIRESC","01 Nov 2021","24","0.04"
"MRP","PRIRESC","01 Nov 2021","25","0.04"
