"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Sep 2021","1","4.88"
"MRP","PRIRESA","01 Sep 2021","2","4.88"
"MRP","PRIRESA","01 Sep 2021","3","2.13"
"MRP","PRIRESA","01 Sep 2021","4","7.47"
"MRP","PRIRESA","01 Sep 2021","5","7.47"
"MRP","PRIRESA","01 Sep 2021","6","8.00"
"MRP","PRIRESA","01 Sep 2021","7","7.47"
"MRP","PRIRESA","01 Sep 2021","8","2.00"
"MRP","PRIRESA","01 Sep 2021","9","2.00"
"MRP","PRIRESA","01 Sep 2021","10","1.88"
"MRP","PRIRESA","01 Sep 2021","11","0.88"
"MRP","PRIRESA","01 Sep 2021","12","1.49"
"MRP","PRIRESA","01 Sep 2021","13","2.00"
"MRP","PRIRESA","01 Sep 2021","14","1.88"
"MRP","PRIRESA","01 Sep 2021","15","2.00"
"MRP","PRIRESA","01 Sep 2021","16","3.23"
"MRP","PRIRESA","01 Sep 2021","17","4.93"
"MRP","PRIRESA","01 Sep 2021","18","4.88"
"MRP","PRIRESA","01 Sep 2021","19","8.00"
"MRP","PRIRESA","01 Sep 2021","20","8.00"
"MRP","PRIRESA","01 Sep 2021","21","2.00"
"MRP","PRIRESA","01 Sep 2021","22","2.00"
"MRP","PRIRESA","01 Sep 2021","23","0.80"
"MRP","PRIRESA","01 Sep 2021","24","0.80"
"MRP","PRIRESA","01 Sep 2021","25","0.59"
"MRP","PRIRESA","01 Sep 2021","26","0.06"
"MRP","PRIRESA","01 Sep 2021","27","0.06"
"MRP","PRIRESA","01 Sep 2021","28","0.06"
"MRP","PRIRESA","01 Sep 2021","29","0.06"
"MRP","PRIRESA","01 Sep 2021","30","0.06"
"MRP","PRIRESA","01 Sep 2021","31","0.06"
"MRP","PRIRESA","01 Sep 2021","32","0.06"
"MRP","PRIRESA","01 Sep 2021","33","0.06"
"MRP","PRIRESA","01 Sep 2021","34","0.06"
"MRP","PRIRESA","01 Sep 2021","35","0.06"
"MRP","PRIRESA","01 Sep 2021","36","0.06"
"MRP","PRIRESA","01 Sep 2021","37","0.06"
"MRP","PRIRESA","01 Sep 2021","38","0.06"
"MRP","PRIRESA","01 Sep 2021","39","0.06"
"MRP","PRIRESA","01 Sep 2021","40","0.06"
"MRP","PRIRESA","01 Sep 2021","41","0.06"
"MRP","PRIRESA","01 Sep 2021","42","0.06"
"MRP","PRIRESA","01 Sep 2021","43","0.06"
"MRP","PRIRESA","01 Sep 2021","44","0.06"
"MRP","PRIRESA","01 Sep 2021","45","0.06"
"MRP","PRIRESA","01 Sep 2021","46","1.49"
"MRP","PRIRESA","01 Sep 2021","47","0.80"
"MRP","PRIRESA","01 Sep 2021","48","0.16"
"MRP","PRIRESB","01 Sep 2021","1","4.15"
"MRP","PRIRESB","01 Sep 2021","2","4.15"
"MRP","PRIRESB","01 Sep 2021","3","1.81"
"MRP","PRIRESB","01 Sep 2021","4","6.35"
"MRP","PRIRESB","01 Sep 2021","5","6.35"
"MRP","PRIRESB","01 Sep 2021","6","6.80"
"MRP","PRIRESB","01 Sep 2021","7","6.35"
"MRP","PRIRESB","01 Sep 2021","8","1.70"
"MRP","PRIRESB","01 Sep 2021","9","1.70"
"MRP","PRIRESB","01 Sep 2021","10","1.60"
"MRP","PRIRESB","01 Sep 2021","11","0.75"
"MRP","PRIRESB","01 Sep 2021","12","1.27"
"MRP","PRIRESB","01 Sep 2021","13","1.70"
"MRP","PRIRESB","01 Sep 2021","14","1.60"
"MRP","PRIRESB","01 Sep 2021","15","1.70"
"MRP","PRIRESB","01 Sep 2021","16","2.75"
"MRP","PRIRESB","01 Sep 2021","17","4.19"
"MRP","PRIRESB","01 Sep 2021","18","4.15"
"MRP","PRIRESB","01 Sep 2021","19","6.80"
"MRP","PRIRESB","01 Sep 2021","20","6.80"
"MRP","PRIRESB","01 Sep 2021","21","1.70"
"MRP","PRIRESB","01 Sep 2021","22","1.70"
"MRP","PRIRESB","01 Sep 2021","23","0.68"
"MRP","PRIRESB","01 Sep 2021","24","0.68"
"MRP","PRIRESB","01 Sep 2021","25","0.50"
"MRP","PRIRESB","01 Sep 2021","26","0.05"
"MRP","PRIRESB","01 Sep 2021","27","0.05"
"MRP","PRIRESB","01 Sep 2021","28","0.05"
"MRP","PRIRESB","01 Sep 2021","29","0.05"
"MRP","PRIRESB","01 Sep 2021","30","0.05"
"MRP","PRIRESB","01 Sep 2021","31","0.05"
"MRP","PRIRESB","01 Sep 2021","32","0.05"
"MRP","PRIRESB","01 Sep 2021","33","0.05"
"MRP","PRIRESB","01 Sep 2021","34","0.05"
"MRP","PRIRESB","01 Sep 2021","35","0.05"
"MRP","PRIRESB","01 Sep 2021","36","0.05"
"MRP","PRIRESB","01 Sep 2021","37","0.05"
"MRP","PRIRESB","01 Sep 2021","38","0.05"
"MRP","PRIRESB","01 Sep 2021","39","0.05"
"MRP","PRIRESB","01 Sep 2021","40","0.05"
"MRP","PRIRESB","01 Sep 2021","41","0.05"
"MRP","PRIRESB","01 Sep 2021","42","0.05"
"MRP","PRIRESB","01 Sep 2021","43","0.05"
"MRP","PRIRESB","01 Sep 2021","44","0.05"
"MRP","PRIRESB","01 Sep 2021","45","0.05"
"MRP","PRIRESB","01 Sep 2021","46","1.27"
"MRP","PRIRESB","01 Sep 2021","47","0.68"
"MRP","PRIRESB","01 Sep 2021","48","0.14"
"MRP","PRIRESC","01 Sep 2021","1","3.66"
"MRP","PRIRESC","01 Sep 2021","2","3.66"
"MRP","PRIRESC","01 Sep 2021","3","1.60"
"MRP","PRIRESC","01 Sep 2021","4","5.60"
"MRP","PRIRESC","01 Sep 2021","5","5.60"
"MRP","PRIRESC","01 Sep 2021","6","6.00"
"MRP","PRIRESC","01 Sep 2021","7","5.60"
"MRP","PRIRESC","01 Sep 2021","8","1.50"
"MRP","PRIRESC","01 Sep 2021","9","1.50"
"MRP","PRIRESC","01 Sep 2021","10","1.41"
"MRP","PRIRESC","01 Sep 2021","11","0.66"
"MRP","PRIRESC","01 Sep 2021","12","1.12"
"MRP","PRIRESC","01 Sep 2021","13","1.50"
"MRP","PRIRESC","01 Sep 2021","14","1.41"
"MRP","PRIRESC","01 Sep 2021","15","1.50"
"MRP","PRIRESC","01 Sep 2021","16","2.42"
"MRP","PRIRESC","01 Sep 2021","17","3.70"
"MRP","PRIRESC","01 Sep 2021","18","3.66"
"MRP","PRIRESC","01 Sep 2021","19","6.00"
"MRP","PRIRESC","01 Sep 2021","20","6.00"
"MRP","PRIRESC","01 Sep 2021","21","1.50"
"MRP","PRIRESC","01 Sep 2021","22","1.50"
"MRP","PRIRESC","01 Sep 2021","23","0.60"
"MRP","PRIRESC","01 Sep 2021","24","0.60"
"MRP","PRIRESC","01 Sep 2021","25","0.44"
"MRP","PRIRESC","01 Sep 2021","26","0.04"
"MRP","PRIRESC","01 Sep 2021","27","0.04"
"MRP","PRIRESC","01 Sep 2021","28","0.04"
"MRP","PRIRESC","01 Sep 2021","29","0.04"
"MRP","PRIRESC","01 Sep 2021","30","0.04"
"MRP","PRIRESC","01 Sep 2021","31","0.04"
"MRP","PRIRESC","01 Sep 2021","32","0.04"
"MRP","PRIRESC","01 Sep 2021","33","0.04"
"MRP","PRIRESC","01 Sep 2021","34","0.04"
"MRP","PRIRESC","01 Sep 2021","35","0.04"
"MRP","PRIRESC","01 Sep 2021","36","0.04"
"MRP","PRIRESC","01 Sep 2021","37","0.04"
"MRP","PRIRESC","01 Sep 2021","38","0.04"
"MRP","PRIRESC","01 Sep 2021","39","0.04"
"MRP","PRIRESC","01 Sep 2021","40","0.04"
