"INFORMATION TYPE","DATE","MARKET PARTICIPANT","FACILITY NAME","FACILITY REGISTRATION STATUS","COMMISSIONING GENERATION FACILITY","FACILITY GENERATION TYPE","EMBEDDED STATUS","MAX GENERATION CAPACITY (MW)","MIN STABLE LOAD (MW)","MAX LOAD CURTAILMENT CAPACITY (MW)","MAX REGULATION CAPACITY (MW)","MAX PRIMARY RESERVE CAPACITY (MW)","MAX SECONDARY RESERVE CAPACITY (MW)","MAX CONTINGENCY RESERVE CAPACITY (MW)","FREQUENCY RESPONSIVE STATUS","LAST CHANGE DATE"
"RC","01 Oct 2021","AIR LIQUIDE SINGAPORE PTE LTD","DG : SOXHYD : GENR 2","GRF","-","ST","Y","13.600","-","-","-","-","-","-","NFR","29 Mar 2017"
"RC","01 Oct 2021","CLEANTECH SOLAR SGP ASSETS","IGS : 26TUAS12 : PV CTC1","GSF","-","IGS","Y","0.150","0.000","-","-","-","-","-","NFR","19 Mar 2019"
"RC","01 Oct 2021","CLEANTECH SOLAR SGP ASSETS","IGS : 6TSTH15 : PV CDT1","GSF","-","IGS","N","0.500","0.000","-","-","-","-","-","NFR","19 Nov 2019"
"RC","01 Oct 2021","CLEANTECH SOLAR SGP ASSETS","IGS : JKCIR : PV YMZ1","GSF","-","IGS","Y","1.260","0.000","-","-","-","-","-","NFR","20 Oct 2017"
"RC","01 Oct 2021","ENEL X SINGAPORE PTE LTD","IL_AIRLI : AYMB_RD : COMP","-","-","-","-","-","-","0.000","-","-","-","1.900","-","22 Oct 2020"
"RC","01 Oct 2021","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON G3","GRF","-","CCGT/COGEN/TRIGEN","Y","110.000","-","-","-","-","-","-","NFR","30 Apr 2013"
"RC","01 Oct 2021","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON G4","GRF","-","CCGT/COGEN/TRIGEN","Y","110.000","-","-","-","-","-","-","NFR","30 Apr 2013"
"RC","01 Oct 2021","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON GA","GRF","-","CCGT/COGEN/TRIGEN","Y","40.300","-","-","-","-","-","-","NFR","01 Jun 2018"
"RC","01 Oct 2021","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON GB","GRF","-","CCGT/COGEN/TRIGEN","Y","40.300","-","-","-","-","-","-","NFR","01 Jun 2018"
"RC","01 Oct 2021","GREEN POWER ASIA PTE LTD","DG : GPAFOL : GENR","GSF","-","CCGT/COGEN/TRIGEN","Y","7.960","0.000","-","-","-","-","-","NFR","20 Apr 2016"
