"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 May 2021","1","112.16","0.00","5885.047","0.000"
"USEP","01 May 2021","2","102.94","0.00","5750.524","0.000"
"USEP","01 May 2021","3","102.03","0.00","5671.973","0.000"
"USEP","01 May 2021","4","101.97","0.00","5608.690","0.000"
"USEP","01 May 2021","5","112.67","0.00","5546.903","0.000"
"USEP","01 May 2021","6","90.74","0.00","5480.876","0.000"
"USEP","01 May 2021","7","90.63","0.00","5435.778","0.000"
"USEP","01 May 2021","8","90.54","0.00","5383.792","0.000"
"USEP","01 May 2021","9","90.15","0.00","5362.615","0.000"
"USEP","01 May 2021","10","87.63","0.00","5357.899","0.000"
"USEP","01 May 2021","11","90.46","0.00","5402.310","0.000"
"USEP","01 May 2021","12","90.54","0.00","5431.693","0.000"
"USEP","01 May 2021","13","89.14","0.00","5468.789","0.000"
"USEP","01 May 2021","14","90.55","0.00","5506.154","0.000"
"USEP","01 May 2021","15","96.49","0.00","5599.470","0.000"
"USEP","01 May 2021","16","104.64","0.00","5689.084","0.000"
"USEP","01 May 2021","17","112.92","0.00","5792.088","0.000"
"USEP","01 May 2021","18","99.83","0.00","5852.637","0.000"
"USEP","01 May 2021","19","90.70","0.00","5931.014","0.000"
"USEP","01 May 2021","20","90.72","0.00","6021.980","0.000"
"USEP","01 May 2021","21","90.72","0.00","6077.271","0.000"
"USEP","01 May 2021","22","90.70","0.00","6105.680","0.000"
"USEP","01 May 2021","23","90.71","0.00","6106.058","0.000"
"USEP","01 May 2021","24","85.87","0.00","6096.127","0.000"
"USEP","01 May 2021","25","85.66","0.00","6100.173","0.000"
"USEP","01 May 2021","26","83.64","0.00","6108.120","0.000"
"USEP","01 May 2021","27","83.86","0.00","6143.790","0.000"
"USEP","01 May 2021","28","83.64","0.00","6175.608","0.000"
"USEP","01 May 2021","29","83.64","0.00","6183.808","0.000"
"USEP","01 May 2021","30","83.66","0.00","6203.251","0.000"
"USEP","01 May 2021","31","85.03","0.00","6231.282","0.000"
"USEP","01 May 2021","32","85.03","0.00","6234.686","0.000"
"USEP","01 May 2021","33","83.66","0.00","6225.462","0.000"
"USEP","01 May 2021","34","83.66","0.00","6228.876","0.000"
"USEP","01 May 2021","35","83.66","0.00","6215.596","0.000"
"USEP","01 May 2021","36","83.58","0.00","6193.440","0.000"
"USEP","01 May 2021","37","83.54","0.00","6230.869","0.000"
"USEP","01 May 2021","38","83.65","0.00","6301.716","0.000"
"USEP","01 May 2021","39","87.63","0.00","6393.189","0.000"
"USEP","01 May 2021","40","94.62","0.00","6441.587","0.000"
"USEP","01 May 2021","41","90.09","0.00","6456.254","0.000"
"USEP","01 May 2021","42","92.79","0.00","6460.220","0.000"
"USEP","01 May 2021","43","97.18","0.00","6451.408","0.000"
"USEP","01 May 2021","44","87.18","0.00","6364.204","0.000"
"USEP","01 May 2021","45","85.86","0.00","6254.039","0.000"
"USEP","01 May 2021","46","87.07","0.00","6156.906","0.000"
"USEP","01 May 2021","47","96.03","0.00","6061.526","0.000"
"USEP","01 May 2021","48","86.74","0.00","5946.322","0.000"
"USEP","02 May 2021","1","90.83","0.00","5808.543","0.000"
"USEP","02 May 2021","2","88.91","0.00","5687.569","0.000"
"USEP","02 May 2021","3","85.92","0.00","5591.310","0.000"
"USEP","02 May 2021","4","85.32","0.00","5515.125","0.000"
"USEP","02 May 2021","5","84.85","0.00","5442.672","0.000"
"USEP","02 May 2021","6","84.71","0.00","5406.585","0.000"
"USEP","02 May 2021","7","84.38","0.00","5364.668","0.000"
"USEP","02 May 2021","8","84.12","0.00","5341.885","0.000"
"USEP","02 May 2021","9","83.71","0.00","5315.162","0.000"
"USEP","02 May 2021","10","83.92","0.00","5320.365","0.000"
"USEP","02 May 2021","11","84.37","0.00","5371.949","0.000"
"USEP","02 May 2021","12","85.40","0.00","5419.745","0.000"
"USEP","02 May 2021","13","85.94","0.00","5450.778","0.000"
"USEP","02 May 2021","14","86.38","0.00","5480.384","0.000"
"USEP","02 May 2021","15","87.73","0.00","5590.077","0.000"
"USEP","02 May 2021","16","89.69","0.00","5715.480","0.000"
"USEP","02 May 2021","17","90.71","0.00","5808.350","0.000"
"USEP","02 May 2021","18","89.42","0.00","5856.414","0.000"
"USEP","02 May 2021","19","86.91","0.00","5966.540","0.000"
"USEP","02 May 2021","20","87.86","0.00","6050.185","0.000"
"USEP","02 May 2021","21","88.61","0.00","6118.552","0.000"
"USEP","02 May 2021","22","86.10","0.00","6162.512","0.000"
"USEP","02 May 2021","23","86.10","0.00","6156.409","0.000"
"USEP","02 May 2021","24","85.48","0.00","6143.452","0.000"
"USEP","02 May 2021","25","84.45","0.00","6115.804","0.000"
"USEP","02 May 2021","26","84.45","0.00","6130.962","0.000"
"USEP","02 May 2021","27","85.73","0.00","6163.963","0.000"
"USEP","02 May 2021","28","85.48","0.00","6178.272","0.000"
"USEP","02 May 2021","29","84.61","0.00","6173.172","0.000"
"USEP","02 May 2021","30","84.61","0.00","6178.262","0.000"
"USEP","02 May 2021","31","85.48","0.00","6184.280","0.000"
"USEP","02 May 2021","32","85.73","0.00","6206.347","0.000"
"USEP","02 May 2021","33","85.74","0.00","6230.680","0.000"
"USEP","02 May 2021","34","85.73","0.00","6237.748","0.000"
"USEP","02 May 2021","35","86.38","0.00","6254.337","0.000"
