"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Oct 2021","1","130.70","0.00","5631.591","0.000"
"USEP","01 Oct 2021","2","124.54","0.00","5540.163","0.000"
"USEP","01 Oct 2021","3","118.41","0.00","5451.275","0.000"
"USEP","01 Oct 2021","4","113.14","0.00","5394.120","0.000"
"USEP","01 Oct 2021","5","112.96","0.00","5351.795","0.000"
"USEP","01 Oct 2021","6","112.73","0.00","5322.090","0.000"
"USEP","01 Oct 2021","7","112.63","0.00","5304.521","0.000"
"USEP","01 Oct 2021","8","112.08","0.00","5274.060","0.000"
"USEP","01 Oct 2021","9","112.10","0.00","5284.318","0.000"
"USEP","01 Oct 2021","10","112.38","0.00","5296.102","0.000"
"USEP","01 Oct 2021","11","116.70","0.00","5384.995","0.000"
"USEP","01 Oct 2021","12","130.25","0.00","5538.146","0.000"
"USEP","01 Oct 2021","13","130.77","0.00","5708.144","0.000"
"USEP","01 Oct 2021","14","132.65","0.00","5860.594","0.000"
"USEP","01 Oct 2021","15","120.04","0.00","6057.232","0.000"
"USEP","01 Oct 2021","16","130.78","0.00","6301.940","0.000"
"USEP","01 Oct 2021","17","126.57","0.00","6519.497","0.000"
"USEP","01 Oct 2021","18","123.66","0.00","6664.606","0.000"
"USEP","01 Oct 2021","19","128.22","0.00","6741.954","0.000"
"USEP","01 Oct 2021","20","130.98","0.00","6798.055","0.000"
"USEP","01 Oct 2021","21","131.19","0.00","6857.218","0.000"
"USEP","01 Oct 2021","22","130.98","0.00","6848.829","0.000"
"USEP","01 Oct 2021","23","130.98","0.00","6855.996","0.000"
"USEP","01 Oct 2021","24","128.20","0.00","6796.480","0.000"
"USEP","01 Oct 2021","25","127.89","0.00","6773.653","0.000"
"USEP","01 Oct 2021","26","130.98","0.00","6779.309","0.000"
"USEP","01 Oct 2021","27","130.98","0.00","6826.340","0.000"
"USEP","01 Oct 2021","28","138.02","0.00","6856.528","0.000"
"USEP","01 Oct 2021","29","143.09","0.00","6865.141","0.000"
"USEP","01 Oct 2021","30","153.24","0.00","6871.825","0.000"
"USEP","01 Oct 2021","31","148.10","0.00","6870.140","0.000"
"USEP","01 Oct 2021","32","153.16","0.00","6880.483","0.000"
"USEP","01 Oct 2021","33","138.18","0.00","6878.520","0.000"
"USEP","01 Oct 2021","34","143.06","0.00","6858.461","0.000"
"USEP","01 Oct 2021","35","148.12","0.00","6836.474","0.000"
"USEP","01 Oct 2021","36","130.97","0.00","6712.273","0.000"
"USEP","01 Oct 2021","37","127.89","0.00","6618.574","0.000"
"USEP","01 Oct 2021","38","130.96","0.00","6623.584","0.000"
"USEP","01 Oct 2021","39","138.03","0.00","6639.865","0.000"
"USEP","01 Oct 2021","40","131.21","0.00","6604.444","0.000"
"USEP","01 Oct 2021","41","131.07","0.00","6542.831","0.000"
"USEP","01 Oct 2021","42","131.07","0.00","6482.918","0.000"
"USEP","01 Oct 2021","43","130.98","0.00","6403.765","0.000"
"USEP","01 Oct 2021","44","130.96","0.00","6265.833","0.000"
"USEP","01 Oct 2021","45","129.21","0.00","6126.405","0.000"
"USEP","01 Oct 2021","46","120.31","0.00","6000.877","0.000"
