"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Sep 2021","1","110.20","0.00","5635.433","0.000"
"USEP","01 Sep 2021","2","104.79","0.00","5526.635","0.000"
"USEP","01 Sep 2021","3","97.28","0.00","5443.318","0.000"
"USEP","01 Sep 2021","4","91.63","0.00","5368.196","0.000"
"USEP","01 Sep 2021","5","87.16","0.00","5314.843","0.000"
"USEP","01 Sep 2021","6","88.09","0.00","5286.400","0.000"
"USEP","01 Sep 2021","7","86.67","0.00","5246.610","0.000"
"USEP","01 Sep 2021","8","83.60","0.00","5228.192","0.000"
"USEP","01 Sep 2021","9","83.60","0.00","5222.277","0.000"
"USEP","01 Sep 2021","10","88.66","0.00","5238.460","0.000"
"USEP","01 Sep 2021","11","88.64","0.00","5325.191","0.000"
"USEP","01 Sep 2021","12","106.20","0.00","5516.054","0.000"
"USEP","01 Sep 2021","13","113.52","0.00","5699.357","0.000"
"USEP","01 Sep 2021","14","117.11","0.00","5884.440","0.000"
"USEP","01 Sep 2021","15","104.26","0.00","6084.254","0.000"
"USEP","01 Sep 2021","16","113.71","0.00","6313.893","0.000"
"USEP","01 Sep 2021","17","138.33","0.00","6545.296","0.000"
"USEP","01 Sep 2021","18","143.48","0.00","6664.263","0.000"
"USEP","01 Sep 2021","19","166.07","0.00","6741.691","0.000"
"USEP","01 Sep 2021","20","141.96","0.00","6773.449","0.000"
"USEP","01 Sep 2021","21","117.62","0.00","6819.476","0.000"
"USEP","01 Sep 2021","22","113.93","0.00","6792.280","0.000"
"USEP","01 Sep 2021","23","113.91","0.00","6784.895","0.000"
"USEP","01 Sep 2021","24","110.15","0.00","6730.036","0.000"
"USEP","01 Sep 2021","25","101.86","0.00","6694.794","0.000"
"USEP","01 Sep 2021","26","101.78","0.00","6712.969","0.000"
"USEP","01 Sep 2021","27","101.89","0.00","6770.050","0.000"
"USEP","01 Sep 2021","28","103.76","0.00","6785.735","0.000"
"USEP","01 Sep 2021","29","113.71","0.00","6772.202","0.000"
"USEP","01 Sep 2021","30","108.08","0.00","6769.220","0.000"
"USEP","01 Sep 2021","31","109.10","0.00","6773.315","0.000"
"USEP","01 Sep 2021","32","104.84","0.00","6795.665","0.000"
"USEP","01 Sep 2021","33","105.18","0.00","6790.103","0.000"
"USEP","01 Sep 2021","34","110.41","0.00","6816.047","0.000"
"USEP","01 Sep 2021","35","104.56","0.00","6782.683","0.000"
"USEP","01 Sep 2021","36","101.88","0.00","6710.787","0.000"
"USEP","01 Sep 2021","37","101.88","0.00","6659.924","0.000"
"USEP","01 Sep 2021","38","109.02","0.00","6678.741","0.000"
"USEP","01 Sep 2021","39","113.71","0.00","6705.991","0.000"
"USEP","01 Sep 2021","40","113.69","0.00","6680.117","0.000"
"USEP","01 Sep 2021","41","113.93","0.00","6665.088","0.000"
"USEP","01 Sep 2021","42","113.92","0.00","6632.505","0.000"
"USEP","01 Sep 2021","43","113.59","0.00","6539.422","0.000"
"USEP","01 Sep 2021","44","107.03","0.00","6382.380","0.000"
"USEP","01 Sep 2021","45","96.17","0.00","6204.006","0.000"
"USEP","01 Sep 2021","46","108.35","0.00","6045.250","0.000"
"USEP","01 Sep 2021","47","103.54","0.00","5887.979","0.000"
"USEP","01 Sep 2021","48","96.86","0.00","5783.375","0.000"
"USEP","02 Sep 2021","1","115.57","0.00","5689.870","0.000"
"USEP","02 Sep 2021","2","112.97","0.00","5590.196","0.000"
"USEP","02 Sep 2021","3","93.90","0.00","5448.775","0.000"
"USEP","02 Sep 2021","4","92.37","0.00","5388.385","0.000"
"USEP","02 Sep 2021","5","90.66","0.00","5339.912","0.000"
"USEP","02 Sep 2021","6","88.89","0.00","5299.774","0.000"
"USEP","02 Sep 2021","7","88.68","0.00","5268.831","0.000"
"USEP","02 Sep 2021","8","88.67","0.00","5248.404","0.000"
"USEP","02 Sep 2021","9","88.67","0.00","5234.334","0.000"
"USEP","02 Sep 2021","10","88.66","0.00","5225.945","0.000"
"USEP","02 Sep 2021","11","89.91","0.00","5296.569","0.000"
"USEP","02 Sep 2021","12","99.39","0.00","5450.137","0.000"
"USEP","02 Sep 2021","13","115.54","0.00","5636.497","0.000"
"USEP","02 Sep 2021","14","115.57","0.00","5809.547","0.000"
"USEP","02 Sep 2021","15","155.96","0.00","6006.791","0.000"
"USEP","02 Sep 2021","16","268.22","0.00","6230.163","0.000"
"USEP","02 Sep 2021","17","318.52","0.00","6442.954","0.000"
"USEP","02 Sep 2021","18","268.23","0.00","6585.334","0.000"
"USEP","02 Sep 2021","19","268.29","0.00","6666.290","0.000"
"USEP","02 Sep 2021","20","268.29","0.00","6717.859","0.000"
"USEP","02 Sep 2021","21","311.55","0.00","6767.405","0.000"
"USEP","02 Sep 2021","22","273.47","0.00","6775.471","0.000"
"USEP","02 Sep 2021","23","268.03","14.97","6710.206","33.000"
"USEP","02 Sep 2021","24","217.88","0.00","6677.180","0.000"
"USEP","02 Sep 2021","25","167.39","0.00","6639.482","0.000"
"USEP","02 Sep 2021","26","167.70","0.00","6650.476","0.000"
"USEP","02 Sep 2021","27","257.55","0.00","6681.479","0.000"
"USEP","02 Sep 2021","28","257.55","0.00","6683.601","0.000"
"USEP","02 Sep 2021","29","178.63","0.00","6689.471","0.000"
"USEP","02 Sep 2021","30","166.48","0.00","6667.294","0.000"
"USEP","02 Sep 2021","31","158.67","0.00","6659.397","0.000"
"USEP","02 Sep 2021","32","158.47","0.00","6666.529","0.000"
"USEP","02 Sep 2021","33","145.97","0.00","6651.694","0.000"
"USEP","02 Sep 2021","34","140.86","0.00","6635.477","0.000"
"USEP","02 Sep 2021","35","117.01","0.00","6576.895","0.000"
"USEP","02 Sep 2021","36","116.07","0.00","6473.634","0.000"
"USEP","02 Sep 2021","37","135.65","0.00","6450.652","0.000"
"USEP","02 Sep 2021","38","259.89","0.00","6501.202","0.000"
"USEP","02 Sep 2021","39","268.26","0.00","6544.456","0.000"
"USEP","02 Sep 2021","40","268.27","0.00","6533.954","0.000"
"USEP","02 Sep 2021","41","268.25","0.00","6505.620","0.000"
"USEP","02 Sep 2021","42","135.66","0.00","6457.864","0.000"
"USEP","02 Sep 2021","43","140.72","0.00","6380.123","0.000"
"USEP","02 Sep 2021","44","120.85","0.00","6249.392","0.000"
"USEP","02 Sep 2021","45","115.59","0.00","6086.525","0.000"
"USEP","02 Sep 2021","46","109.89","0.00","5950.541","0.000"
"USEP","02 Sep 2021","47","115.24","0.00","5814.278","0.000"
"USEP","02 Sep 2021","48","104.12","0.00","5717.910","0.000"
"USEP","03 Sep 2021","1","119.73","0.00","5632.377","0.000"
"USEP","03 Sep 2021","2","115.96","0.00","5531.968","0.000"
"USEP","03 Sep 2021","3","109.26","0.00","5391.724","0.000"
"USEP","03 Sep 2021","4","96.36","0.00","5317.378","0.000"
"USEP","03 Sep 2021","5","95.20","0.00","5266.729","0.000"
"USEP","03 Sep 2021","6","95.08","0.00","5235.631","0.000"
"USEP","03 Sep 2021","7","90.52","0.00","5205.344","0.000"
"USEP","03 Sep 2021","8","90.31","0.00","5179.262","0.000"
"USEP","03 Sep 2021","9","90.61","0.00","5187.641","0.000"
"USEP","03 Sep 2021","10","91.25","0.00","5204.907","0.000"
"USEP","03 Sep 2021","11","95.44","0.00","5288.269","0.000"
"USEP","03 Sep 2021","12","115.51","0.00","5451.175","0.000"
"USEP","03 Sep 2021","13","117.29","0.00","5624.087","0.000"
"USEP","03 Sep 2021","14","123.18","0.00","5771.884","0.000"
"USEP","03 Sep 2021","15","101.76","0.00","5931.332","0.000"
"USEP","03 Sep 2021","16","115.68","0.00","6163.386","0.000"
"USEP","03 Sep 2021","17","124.35","0.00","6414.824","0.000"
"USEP","03 Sep 2021","18","119.54","0.00","6553.661","0.000"
"USEP","03 Sep 2021","19","153.31","0.00","6624.438","0.000"
"USEP","03 Sep 2021","20","174.21","0.00","6681.285","0.000"
"USEP","03 Sep 2021","21","206.15","0.00","6740.657","0.000"
"USEP","03 Sep 2021","22","3018.43","0.00","6774.915","0.000"
"USEP","03 Sep 2021","23","1916.67","0.00","6783.961","0.000"
"USEP","03 Sep 2021","24","1919.01","0.00","6726.333","0.000"
"USEP","03 Sep 2021","25","735.67","4500.00","6638.497","35.000"
"USEP","03 Sep 2021","26","364.65","3106.98","6639.437","35.000"
"USEP","03 Sep 2021","27","422.62","4500.00","6686.930","35.000"
"USEP","03 Sep 2021","28","303.59","2640.38","6630.043","35.000"
"USEP","03 Sep 2021","29","280.46","578.24","6614.492","35.000"
"USEP","03 Sep 2021","30","153.46","0.00","6644.383","0.000"
"USEP","03 Sep 2021","31","153.46","0.00","6645.059","0.000"
"USEP","03 Sep 2021","32","117.37","0.00","6674.476","0.000"
"USEP","03 Sep 2021","33","116.07","0.00","6680.818","0.000"
"USEP","03 Sep 2021","34","116.06","0.00","6673.646","0.000"
"USEP","03 Sep 2021","35","115.72","0.00","6625.045","0.000"
"USEP","03 Sep 2021","36","115.73","0.00","6542.304","0.000"
"USEP","03 Sep 2021","37","115.72","0.00","6502.316","0.000"
"USEP","03 Sep 2021","38","117.26","0.00","6547.225","0.000"
"USEP","03 Sep 2021","39","118.77","0.00","6582.039","0.000"
"USEP","03 Sep 2021","40","118.79","0.00","6569.773","0.000"
"USEP","03 Sep 2021","41","120.32","0.00","6553.348","0.000"
"USEP","03 Sep 2021","42","120.32","0.00","6527.732","0.000"
"USEP","03 Sep 2021","43","115.75","0.00","6444.022","0.000"
"USEP","03 Sep 2021","44","113.42","0.00","6324.693","0.000"
"USEP","03 Sep 2021","45","107.80","0.00","6202.595","0.000"
"USEP","03 Sep 2021","46","101.82","0.00","6099.487","0.000"
"USEP","03 Sep 2021","47","123.75","0.00","5980.843","0.000"
"USEP","03 Sep 2021","48","115.68","0.00","5909.544","0.000"
"USEP","04 Sep 2021","1","132.70","0.00","5829.069","0.000"
"USEP","04 Sep 2021","2","115.65","0.00","5718.055","0.000"
"USEP","04 Sep 2021","3","107.77","0.00","5579.402","0.000"
"USEP","04 Sep 2021","4","92.73","0.00","5504.220","0.000"
"USEP","04 Sep 2021","5","92.19","0.00","5435.898","0.000"
