"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Apr 2021","1","92.08","92.85","0.02","-1.68","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","2","90.80","91.73","0.01","-1.83","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","3","91.03","91.73","0.01","-1.60","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","4","86.87","87.36","0.01","-1.39","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","5","86.70","87.24","0.01","-1.44","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","6","85.67","86.21","0.01","-1.44","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","7","85.76","86.21","0.01","-1.35","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","8","85.54","86.32","0.01","-1.68","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","9","84.42","85.41","0.01","-1.89","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","10","85.01","86.32","0.01","-2.21","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","11","86.92","87.80","0.01","-1.78","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","12","95.91","95.67","0.02","-0.67","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","13","96.70","96.90","0.09","-1.18","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","14","100.78","100.97","0.09","-1.17","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","15","95.93","95.81","0.17","-0.94","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","16","97.71","97.78","0.33","-1.29","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","17","99.35","99.33","0.33","-1.20","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","18","99.77","100.13","0.39","-1.64","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","19","100.24","100.54","0.33","-1.52","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","20","116.04","116.82","0.53","-2.20","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","21","134.22","134.65","0.81","-2.13","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","22","137.02","137.57","0.77","-2.21","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","23","135.47","135.71","0.75","-1.88","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","24","117.24","117.38","0.46","-1.50","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","25","138.61","138.72","0.70","-1.70","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","26","101.51","101.50","0.29","-1.17","0.00","0.21","0.3357","0.0421","0.3031"
"WEP","01 Apr 2021","27","99.80","99.86","0.27","-1.23","0.00","0.21","0.3357","0.0421","0.3031"
