"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Dec 2021","1","995.05","1007.37","0.33","-13.40","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","2","1979.32","2000.90","0.28","-22.61","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","3","1536.18","1551.55","0.18","-16.31","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","4","1534.25","1549.49","0.14","-16.13","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","5","922.90","930.27","0.13","-8.25","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","6","574.75","579.27","0.13","-5.41","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","7","472.54","475.45","0.13","-3.79","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","8","354.49","357.65","0.12","-4.04","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","9","355.42","357.65","0.13","-3.11","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","10","355.55","357.84","0.13","-3.17","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","11","586.28","587.89","0.13","-2.49","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","12","1547.39","1549.68","0.25","-3.29","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","13","1998.58","2006.36","0.48","-9.01","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","14","2485.78","2508.82","0.54","-24.33","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","15","1533.08","1552.77","1.45","-21.89","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","16","2989.75","3020.29","4.91","-36.20","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","17","2992.93","3010.51","4.87","-45.96","22.75","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","18","3607.20","3625.44","6.03","-36.54","11.51","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","19","3142.99","3157.26","4.48","-41.44","21.93","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","20","3623.42","3640.33","5.01","-44.34","21.67","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","21","3531.01","3552.77","4.40","-48.32","21.41","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","22","3601.33","3626.36","3.18","-50.27","21.31","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","23","3441.54","3462.26","2.89","-45.63","21.27","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","24","3001.11","3006.67","2.84","-30.60","21.45","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","25","516.09","496.34","2.81","-5.43","21.61","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","26","413.47","394.35","2.79","-6.09","21.66","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","27","519.39","501.43","3.14","-7.42","21.49","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","28","1178.76","1176.77","3.23","-23.31","21.32","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","29","1179.11","1176.67","3.10","-22.67","21.25","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","30","2975.74","3006.61","3.04","-55.92","21.25","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","31","3115.27","3167.35","2.78","-55.62","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","32","2977.11","3006.75","2.79","-54.10","20.92","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","33","3117.27","3157.38","2.76","-64.81","21.19","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","34","3122.79","3157.47","3.13","-59.82","21.26","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","35","2632.73","2664.34","3.10","-56.81","21.35","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","36","517.13","501.53","3.30","-9.98","21.53","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","37","559.90","544.01","4.53","-11.30","21.91","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","38","1549.34","1553.11","4.79","-31.24","21.93","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","39","2985.31","3038.48","4.08","-58.00","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","40","3105.08","3147.45","4.10","-47.22","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","41","3110.45","3147.81","4.26","-42.37","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","42","2628.94","2664.60","3.13","-39.54","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","43","3507.47","3548.90","3.42","-45.61","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","44","2668.92","2710.26","3.12","-45.21","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","45","2635.62","2663.40","0.62","-29.15","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","46","1997.88","2026.77","0.52","-30.17","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","47","1869.08","1893.81","0.20","-25.68","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","01 Dec 2021","48","1979.93","2004.49","0.18","-25.49","0.00","0.20","0.3491","0.0000","0.2043"
"WEP","02 Dec 2021","1","2471.70","2502.13","0.24","-31.43","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","2","1995.43","2018.68","0.14","-24.15","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","3","1973.30","1999.12","0.10","-26.68","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","4","1979.44","1999.32","0.10","-20.74","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","5","1870.47","1890.62","0.11","-21.02","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","6","1567.86","1585.93","0.11","-18.94","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","7","1487.17","1501.31","0.11","-15.01","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","8","1495.22","1501.27","0.10","-6.91","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","9","1494.25","1501.23","0.11","-7.85","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","10","1487.70","1501.29","0.11","-14.46","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","11","1872.58","1886.82","0.11","-15.11","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","12","2021.80","2016.64","0.21","4.19","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","13","2613.85","2602.78","0.40","9.91","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","14","2539.30","2518.44","0.43","-4.82","24.49","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","15","2542.03","2532.29","1.46","-13.12","20.65","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","16","2982.16","3004.17","1.66","-29.97","5.55","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","17","3180.86","3167.78","4.93","-15.93","23.32","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","18","3653.16","3625.65","6.19","-2.40","22.96","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","19","3146.42","3147.21","4.31","-11.87","6.01","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","20","4508.52","4498.79","4.66","3.96","0.35","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","21","4523.06","4499.09","4.20","18.74","0.27","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","22","4530.93","4499.09","3.68","27.14","0.27","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","23","4520.02","4498.71","4.34","16.20","0.01","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","24","3630.61","3626.37","3.33","-22.18","22.32","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","25","4534.10","4498.76","4.57","30.01","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","26","4528.66","4498.74","4.64","24.52","0.01","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","27","4533.75","4498.73","5.13","29.13","0.00","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","28","3727.05","3712.71","5.16","-14.12","22.54","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","29","3701.64","3686.96","5.02","-13.59","22.48","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","30","1241.90","1216.94","4.94","-3.28","22.54","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","31","1203.83","1178.64","4.22","-2.43","22.64","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","32","642.09","617.55","3.30","-2.07","22.56","0.20","0.3491","0.0000","0.2106"
"WEP","02 Dec 2021","33","515.60","492.78","2.96","-3.37","22.47","0.20","0.3491","0.0000","0.2106"
