"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jul 2021","1","113.23","113.39","0.03","-0.95","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","2","106.81","106.90","0.01","-0.87","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","3","99.99","99.94","0.01","-0.72","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","4","96.01","95.79","0.01","-0.56","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","5","96.24","95.77","0.01","-0.30","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","6","92.52","92.45","0.01","-0.70","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","7","92.08","91.68","0.01","-0.37","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","8","91.90","91.68","0.01","-0.56","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","9","92.05","91.63","0.01","-0.36","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","10","91.73","91.68","0.01","-0.73","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","11","96.64","96.89","0.01","-1.03","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","12","99.93","99.87","0.02","-0.72","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","13","113.48","113.31","0.16","-0.76","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","14","139.64","139.67","0.16","-0.96","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","15","103.13","102.90","0.22","-0.76","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","16","110.87","110.45","0.24","-0.59","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","17","162.48","162.51","0.25","-1.04","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","18","138.37","138.39","0.17","-0.96","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","19","159.55","160.51","0.19","-1.91","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","20","205.98","206.76","0.33","-1.87","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","21","242.50","244.14","0.52","-2.92","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","22","279.54","280.41","1.33","-2.97","0.00","0.13","0.3491","0.0000","0.2869"
"WEP","01 Jul 2021","23","279.36","280.40","1.35","-3.15","0.00","0.13","0.3491","0.0000","0.2869"
