"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Mar 2021","1","87.52","88.49","0.09","-1.75","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","2","84.44","85.77","0.01","-2.02","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","3","86.70","87.88","0.01","-1.88","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","4","84.67","85.76","0.01","-1.78","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","5","84.69","85.65","0.01","-1.65","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","6","84.99","85.63","0.01","-1.33","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","7","84.96","85.63","0.01","-1.36","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","8","84.94","85.62","0.01","-1.38","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","9","84.64","85.62","0.01","-1.67","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","10","83.40","84.04","0.01","-1.34","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","11","84.70","85.65","0.01","-1.64","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","12","85.20","85.77","0.04","-1.30","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","13","84.94","85.81","0.17","-1.73","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","14","87.64","88.50","0.16","-1.70","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","15","92.58","93.53","0.25","-1.89","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","16","99.00","99.96","0.40","-2.05","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","17","123.35","123.80","0.88","-2.02","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","18","210.42","209.40","2.71","-2.38","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","19","271.90","270.72","3.64","-3.15","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","20","275.11","273.71","3.30","-2.59","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","21","139.31","139.40","0.89","-1.66","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","22","110.28","111.48","0.38","-2.27","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","23","109.25","110.12","0.36","-1.91","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","24","109.15","110.12","0.35","-2.00","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","25","96.94","97.81","0.18","-1.74","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","26","99.68","100.84","0.21","-2.05","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","27","110.84","111.69","0.42","-1.95","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","28","119.71","120.87","0.56","-2.40","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","29","124.33","126.18","0.59","-3.13","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","30","122.92","124.92","0.58","-3.26","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","31","138.65","141.29","0.33","-3.65","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","32","149.25","151.44","0.50","-3.37","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","33","190.17","192.56","1.13","-4.21","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","34","340.09","342.99","3.07","-6.66","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","35","286.64","287.95","3.04","-5.03","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","36","136.82","138.09","0.88","-2.83","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","37","137.00","137.46","1.10","-2.24","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","38","116.76","117.62","0.66","-2.21","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","39","110.23","110.15","0.46","-1.07","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","40","111.80","112.22","0.27","-1.38","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","41","100.19","100.62","0.15","-1.26","0.00","0.07","0.3357","0.0411","0.2393"
"WEP","01 Mar 2021","42","132.41","132.54","0.76","-1.57","0.00","0.07","0.3357","0.0411","0.2393"
