"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Oct 2021","1","131.84","130.70","0.02","0.36","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","2","125.16","124.54","0.01","-0.15","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","3","119.16","118.41","0.01","-0.02","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","4","113.85","113.14","0.00","-0.05","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","5","113.54","112.96","0.00","-0.18","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","6","113.33","112.73","0.01","-0.17","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","7","113.49","112.63","0.00","0.10","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","8","113.10","112.08","0.00","0.26","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","9","112.74","112.10","0.00","-0.12","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","10","113.31","112.38","0.00","0.17","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","11","117.43","116.70","0.01","-0.04","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","12","131.34","130.25","0.02","0.31","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","13","131.45","130.77","0.04","-0.12","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","14","133.19","132.65","0.03","-0.25","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","15","120.38","120.04","0.18","-0.60","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","16","131.59","130.78","0.19","-0.14","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","17","126.58","126.57","0.18","-0.93","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","18","123.58","123.66","0.17","-1.01","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","19","127.71","128.22","0.16","-1.43","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","20","130.48","130.98","0.14","-1.40","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","21","130.14","131.19","0.14","-1.95","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","22","129.67","130.98","0.02","-2.09","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","23","130.12","130.98","0.03","-1.65","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","24","127.61","128.20","0.03","-1.38","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","25","127.05","127.89","0.02","-1.62","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","26","129.72","130.98","0.02","-2.04","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","27","128.10","130.98","0.14","-3.78","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","28","136.74","138.02","0.14","-2.18","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","29","141.57","143.09","0.13","-2.41","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","30","151.86","153.24","0.13","-2.27","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","31","143.61","148.10","0.02","-5.27","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","32","148.42","153.16","0.02","-5.52","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","33","133.75","138.18","0.02","-5.21","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","34","138.88","143.06","0.14","-5.07","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","35","145.69","148.12","0.14","-3.32","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","36","130.74","130.97","0.14","-1.13","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","37","127.76","127.89","0.30","-1.19","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","38","130.51","130.96","0.26","-1.46","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","39","138.31","138.03","0.20","-0.68","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","40","131.41","131.21","0.20","-0.76","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","41","131.43","131.07","0.15","-0.55","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","42","131.13","131.07","0.06","-0.76","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","43","131.20","130.98","0.02","-0.56","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","44","131.28","130.96","0.13","-0.57","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","45","130.32","129.21","0.04","0.31","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","46","121.48","120.31","0.02","0.39","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","47","117.41","116.15","0.02","0.48","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","01 Oct 2021","48","115.65","114.43","0.02","0.44","0.00","0.19","0.3491","0.0000","0.2201"
"WEP","02 Oct 2021","1","138.00","135.91","0.02","1.29","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","2","135.02","132.61","0.01","1.63","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","3","113.04","111.48","0.00","0.78","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","4","101.73","100.43","0.00","0.52","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","5","94.23","92.86","0.00","0.59","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","6","93.36","91.78","0.01","0.79","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","7","92.54","91.10","0.01","0.65","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","8","92.26","90.65","0.00","0.84","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","9","92.29","90.59","0.01","0.91","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","10","91.99","90.59","0.00","0.63","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","11","92.65","91.29","0.01","0.57","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","12","94.47","92.95","0.02","0.72","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","13","102.02","100.42","0.05","0.77","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","14","114.01","112.70","0.04","0.49","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","15","117.07","115.92","0.19","0.19","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","16","137.14","135.72","0.20","0.45","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","17","137.12","135.97","0.19","0.19","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","18","115.84","114.67","0.19","0.20","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","19","123.35","122.14","0.18","0.26","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","20","126.24","124.98","0.16","0.32","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","21","130.41","129.87","0.19","-0.42","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","22","134.12","133.38","0.21","-0.24","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","23","130.67","130.02","0.18","-0.31","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","24","115.12","114.91","0.05","-0.62","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","25","114.95","114.91","0.05","-0.79","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","26","115.02","114.62","0.05","-0.43","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","27","118.94","118.36","0.16","-0.36","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","28","114.93","114.61","0.09","-0.55","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","29","113.78","113.69","0.07","-0.76","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","30","114.81","114.83","0.09","-0.89","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","31","115.13","114.84","0.04","-0.52","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","32","115.23","114.83","0.04","-0.42","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","33","114.16","113.70","0.04","-0.35","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","34","122.28","122.43","0.24","-1.16","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","35","136.10","136.00","0.43","-1.10","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","36","135.65","136.02","0.47","-1.61","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","37","136.16","136.07","0.79","-1.47","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","38","151.82","151.28","0.94","-1.17","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","39","180.26","179.44","1.43","-1.38","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","40","182.15","180.99","1.45","-1.07","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","41","185.80","185.07","1.30","-1.35","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","42","177.79","176.84","1.05","-0.87","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","43","144.86","143.79","0.37","-0.08","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","44","261.20","257.87","2.29","0.26","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","45","153.19","151.25","0.43","0.73","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","46","137.17","135.99","0.22","0.19","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","47","137.64","136.03","0.15","0.69","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","02 Oct 2021","48","152.80","151.17","0.21","0.65","0.00","0.19","0.3491","0.0000","0.2354"
"WEP","03 Oct 2021","1","139.86","138.57","0.17","0.34","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","2","137.18","135.80","0.04","0.56","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","3","123.50","122.14","0.02","0.56","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","4","114.99","113.72","0.01","0.48","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","5","112.50","111.38","0.01","0.33","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","6","103.63","102.65","0.01","0.19","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","7","93.06","91.79","0.01","0.48","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","8","92.91","91.80","0.01","0.32","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","9","92.37","91.13","0.01","0.45","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","10","92.33","91.13","0.01","0.41","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","11","92.46","91.22","0.01","0.45","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","12","93.28","91.90","0.05","0.56","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","13","101.98","100.73","0.18","0.29","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","14","101.42","100.74","0.18","-0.28","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","15","112.83","111.86","0.20","-0.01","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","16","115.68","114.51","0.25","0.15","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","17","120.19","119.42","0.24","-0.25","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","18","136.99","135.85","0.36","0.00","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","19","136.45","135.93","0.30","-0.56","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","20","136.97","135.94","0.26","-0.01","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","21","136.58","135.99","0.24","-0.42","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","22","121.81","121.27","0.21","-0.45","0.00","0.19","0.3491","0.0000","0.2377"
"WEP","03 Oct 2021","23","115.38","114.80","0.16","-0.36","0.00","0.19","0.3491","0.0000","0.2377"
