"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Apr 2021","1","1.20"
"MFP","01 Apr 2021","2","1.00"
"MFP","01 Apr 2021","3","0.90"
"MFP","01 Apr 2021","4","0.90"
"MFP","01 Apr 2021","5","0.90"
"MFP","01 Apr 2021","6","0.90"
"MFP","01 Apr 2021","7","0.90"
"MFP","01 Apr 2021","8","0.90"
"MFP","01 Apr 2021","9","0.90"
"MFP","01 Apr 2021","10","0.90"
"MFP","01 Apr 2021","11","1.00"
"MFP","01 Apr 2021","12","1.28"
"MFP","01 Apr 2021","13","4.50"
"MFP","01 Apr 2021","14","4.50"
"MFP","01 Apr 2021","15","8.00"
"MFP","01 Apr 2021","16","15.00"
"MFP","01 Apr 2021","17","15.88"
"MFP","01 Apr 2021","18","18.29"
"MFP","01 Apr 2021","19","17.00"
"MFP","01 Apr 2021","20","30.31"
"MFP","01 Apr 2021","21","47.88"
"MFP","01 Apr 2021","22","49.80"
"MFP","01 Apr 2021","23","48.20"
"MFP","01 Apr 2021","24","29.90"
"MFP","01 Apr 2021","25","45.88"
"MFP","01 Apr 2021","26","18.71"
"MFP","01 Apr 2021","27","16.18"
"MFP","01 Apr 2021","28","15.22"
"MFP","01 Apr 2021","29","15.59"
"MFP","01 Apr 2021","30","11.93"
"MFP","01 Apr 2021","31","11.31"
"MFP","01 Apr 2021","32","11.01"
"MFP","01 Apr 2021","33","11.08"
"MFP","01 Apr 2021","34","11.00"
"MFP","01 Apr 2021","35","9.48"
"MFP","01 Apr 2021","36","3.61"
"MFP","01 Apr 2021","37","11.76"
"MFP","01 Apr 2021","38","13.33"
"MFP","01 Apr 2021","39","37.24"
"MFP","01 Apr 2021","40","40.11"
"MFP","01 Apr 2021","41","17.27"
"MFP","01 Apr 2021","42","15.86"
"MFP","01 Apr 2021","43","10.91"
"MFP","01 Apr 2021","44","6.25"
"MFP","01 Apr 2021","45","3.17"
"MFP","01 Apr 2021","46","1.20"
"MFP","01 Apr 2021","47","1.20"
"MFP","01 Apr 2021","48","7.12"
"MFP","02 Apr 2021","1","8.00"
"MFP","02 Apr 2021","2","2.49"
"MFP","02 Apr 2021","3","2.49"
"MFP","02 Apr 2021","4","2.49"
"MFP","02 Apr 2021","5","3.32"
"MFP","02 Apr 2021","6","3.65"
"MFP","02 Apr 2021","7","2.84"
"MFP","02 Apr 2021","8","1.33"
"MFP","02 Apr 2021","9","0.88"
"MFP","02 Apr 2021","10","1.16"
"MFP","02 Apr 2021","11","2.49"
"MFP","02 Apr 2021","12","3.04"
"MFP","02 Apr 2021","13","3.72"
"MFP","02 Apr 2021","14","2.05"
"MFP","02 Apr 2021","15","8.00"
"MFP","02 Apr 2021","16","8.00"
"MFP","02 Apr 2021","17","8.00"
"MFP","02 Apr 2021","18","9.88"
"MFP","02 Apr 2021","19","12.24"
"MFP","02 Apr 2021","20","18.09"
"MFP","02 Apr 2021","21","24.79"
"MFP","02 Apr 2021","22","8.00"
"MFP","02 Apr 2021","23","8.00"
"MFP","02 Apr 2021","24","4.81"
"MFP","02 Apr 2021","25","3.89"
"MFP","02 Apr 2021","26","3.69"
