"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Dec 2021","1","21.48"
"MFP","01 Dec 2021","2","21.00"
"MFP","01 Dec 2021","3","14.83"
"MFP","01 Dec 2021","4","11.00"
"MFP","01 Dec 2021","5","10.00"
"MFP","01 Dec 2021","6","10.00"
"MFP","01 Dec 2021","7","10.00"
"MFP","01 Dec 2021","8","10.00"
"MFP","01 Dec 2021","9","10.00"
"MFP","01 Dec 2021","10","10.00"
"MFP","01 Dec 2021","11","10.00"
"MFP","01 Dec 2021","12","13.90"
"MFP","01 Dec 2021","13","23.91"
"MFP","01 Dec 2021","14","28.15"
"MFP","01 Dec 2021","15","69.50"
"MFP","01 Dec 2021","16","233.73"
"MFP","01 Dec 2021","17","245.14"
"MFP","01 Dec 2021","18","299.97"
"MFP","01 Dec 2021","19","241.36"
"MFP","01 Dec 2021","20","299.88"
"MFP","01 Dec 2021","21","274.26"
"MFP","01 Dec 2021","22","218.70"
"MFP","01 Dec 2021","23","195.64"
"MFP","01 Dec 2021","24","195.64"
"MFP","01 Dec 2021","25","193.82"
"MFP","01 Dec 2021","26","189.99"
"MFP","01 Dec 2021","27","194.64"
"MFP","01 Dec 2021","28","199.70"
"MFP","01 Dec 2021","29","197.06"
"MFP","01 Dec 2021","30","197.06"
"MFP","01 Dec 2021","31","195.09"
"MFP","01 Dec 2021","32","195.09"
"MFP","01 Dec 2021","33","194.90"
"MFP","01 Dec 2021","34","197.06"
"MFP","01 Dec 2021","35","197.09"
"MFP","01 Dec 2021","36","195.09"
"MFP","01 Dec 2021","37","218.70"
"MFP","01 Dec 2021","38","242.64"
"MFP","01 Dec 2021","39","218.70"
"MFP","01 Dec 2021","40","218.70"
"MFP","01 Dec 2021","41","246.52"
"MFP","01 Dec 2021","42","197.43"
"MFP","01 Dec 2021","43","235.82"
"MFP","01 Dec 2021","44","203.43"
"MFP","01 Dec 2021","45","37.41"
"MFP","01 Dec 2021","46","33.00"
"MFP","01 Dec 2021","47","12.83"
"MFP","01 Dec 2021","48","12.12"
"MFP","02 Dec 2021","1","15.88"
"MFP","02 Dec 2021","2","11.01"
"MFP","02 Dec 2021","3","8.43"
"MFP","02 Dec 2021","4","8.43"
"MFP","02 Dec 2021","5","8.88"
"MFP","02 Dec 2021","6","8.88"
"MFP","02 Dec 2021","7","8.88"
"MFP","02 Dec 2021","8","8.00"
"MFP","02 Dec 2021","9","8.88"
"MFP","02 Dec 2021","10","8.43"
"MFP","02 Dec 2021","11","8.43"
"MFP","02 Dec 2021","12","12.12"
"MFP","02 Dec 2021","13","20.48"
"MFP","02 Dec 2021","14","23.00"
"MFP","02 Dec 2021","15","70.98"
"MFP","02 Dec 2021","16","79.50"
"MFP","02 Dec 2021","17","245.14"
"MFP","02 Dec 2021","18","299.87"
"MFP","02 Dec 2021","19","241.36"
"MFP","02 Dec 2021","20","300.00"
"MFP","02 Dec 2021","21","300.00"
"MFP","02 Dec 2021","22","300.00"
"MFP","02 Dec 2021","23","280.49"
"MFP","02 Dec 2021","24","218.66"
"MFP","02 Dec 2021","25","300.00"
"MFP","02 Dec 2021","26","300.00"
"MFP","02 Dec 2021","27","300.00"
"MFP","02 Dec 2021","28","300.00"
"MFP","02 Dec 2021","29","300.00"
"MFP","02 Dec 2021","30","300.00"
"MFP","02 Dec 2021","31","277.48"
"MFP","02 Dec 2021","32","216.83"
"MFP","02 Dec 2021","33","196.15"
"MFP","02 Dec 2021","34","216.83"
"MFP","02 Dec 2021","35","216.83"
"MFP","02 Dec 2021","36","233.83"
"MFP","02 Dec 2021","37","272.89"
"MFP","02 Dec 2021","38","299.87"
"MFP","02 Dec 2021","39","299.87"
"MFP","02 Dec 2021","40","299.87"
"MFP","02 Dec 2021","41","273.37"
"MFP","02 Dec 2021","42","235.64"
"MFP","02 Dec 2021","43","103.00"
"MFP","02 Dec 2021","44","211.03"
"MFP","02 Dec 2021","45","71.98"
"MFP","02 Dec 2021","46","34.88"
"MFP","02 Dec 2021","47","33.33"
"MFP","02 Dec 2021","48","15.88"
"MFP","03 Dec 2021","1","24.36"
"MFP","03 Dec 2021","2","28.71"
"MFP","03 Dec 2021","3","15.88"
"MFP","03 Dec 2021","4","8.88"
"MFP","03 Dec 2021","5","8.88"
"MFP","03 Dec 2021","6","8.00"
"MFP","03 Dec 2021","7","8.00"
"MFP","03 Dec 2021","8","8.00"
"MFP","03 Dec 2021","9","8.00"
"MFP","03 Dec 2021","10","1.20"
"MFP","03 Dec 2021","11","0.88"
"MFP","03 Dec 2021","12","8.00"
"MFP","03 Dec 2021","13","8.88"
"MFP","03 Dec 2021","14","9.88"
"MFP","03 Dec 2021","15","10.00"
"MFP","03 Dec 2021","16","18.38"
"MFP","03 Dec 2021","17","12.12"
"MFP","03 Dec 2021","18","12.12"
"MFP","03 Dec 2021","19","12.12"
"MFP","03 Dec 2021","20","18.75"
"MFP","03 Dec 2021","21","24.19"
"MFP","03 Dec 2021","22","81.18"
"MFP","03 Dec 2021","23","81.18"
"MFP","03 Dec 2021","24","17.43"
"MFP","03 Dec 2021","25","17.03"
"MFP","03 Dec 2021","26","17.43"
"MFP","03 Dec 2021","27","54.53"
"MFP","03 Dec 2021","28","107.95"
"MFP","03 Dec 2021","29","184.42"
"MFP","03 Dec 2021","30","184.42"
"MFP","03 Dec 2021","31","184.24"
"MFP","03 Dec 2021","32","184.24"
"MFP","03 Dec 2021","33","184.24"
"MFP","03 Dec 2021","34","184.42"
"MFP","03 Dec 2021","35","131.79"
"MFP","03 Dec 2021","36","26.03"
"MFP","03 Dec 2021","37","29.20"
"MFP","03 Dec 2021","38","20.99"
"MFP","03 Dec 2021","39","18.83"
"MFP","03 Dec 2021","40","18.87"
"MFP","03 Dec 2021","41","18.75"
"MFP","03 Dec 2021","42","14.88"
"MFP","03 Dec 2021","43","79.99"
"MFP","03 Dec 2021","44","9.88"
"MFP","03 Dec 2021","45","10.00"
"MFP","03 Dec 2021","46","9.19"
"MFP","03 Dec 2021","47","10.00"
"MFP","03 Dec 2021","48","8.88"
"MFP","04 Dec 2021","1","3.57"
"MFP","04 Dec 2021","2","2.81"
"MFP","04 Dec 2021","3","0.88"
"MFP","04 Dec 2021","4","0.88"
"MFP","04 Dec 2021","5","0.01"
"MFP","04 Dec 2021","6","0.01"
"MFP","04 Dec 2021","7","0.01"
"MFP","04 Dec 2021","8","0.01"
"MFP","04 Dec 2021","9","0.01"
"MFP","04 Dec 2021","10","0.01"
"MFP","04 Dec 2021","11","0.01"
"MFP","04 Dec 2021","12","8.00"
"MFP","04 Dec 2021","13","10.00"
"MFP","04 Dec 2021","14","9.88"
"MFP","04 Dec 2021","15","12.12"
"MFP","04 Dec 2021","16","12.21"
"MFP","04 Dec 2021","17","12.12"
"MFP","04 Dec 2021","18","23.23"
"MFP","04 Dec 2021","19","24.16"
"MFP","04 Dec 2021","20","13.33"
"MFP","04 Dec 2021","21","10.00"
"MFP","04 Dec 2021","22","8.88"
"MFP","04 Dec 2021","23","9.88"
"MFP","04 Dec 2021","24","8.00"
"MFP","04 Dec 2021","25","8.00"
