"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Feb 2021","1","0.60"
"MFP","01 Feb 2021","2","0.01"
"MFP","01 Feb 2021","3","0.01"
"MFP","01 Feb 2021","4","0.01"
"MFP","01 Feb 2021","5","0.01"
"MFP","01 Feb 2021","6","0.01"
"MFP","01 Feb 2021","7","0.01"
"MFP","01 Feb 2021","8","0.01"
"MFP","01 Feb 2021","9","0.01"
"MFP","01 Feb 2021","10","0.01"
"MFP","01 Feb 2021","11","0.01"
"MFP","01 Feb 2021","12","0.90"
"MFP","01 Feb 2021","13","0.90"
"MFP","01 Feb 2021","14","1.49"
"MFP","01 Feb 2021","15","1.20"
"MFP","01 Feb 2021","16","11.33"
"MFP","01 Feb 2021","17","16.69"
"MFP","01 Feb 2021","18","23.00"
"MFP","01 Feb 2021","19","23.58"
"MFP","01 Feb 2021","20","17.88"
"MFP","01 Feb 2021","21","21.08"
"MFP","01 Feb 2021","22","17.00"
"MFP","01 Feb 2021","23","20.00"
"MFP","01 Feb 2021","24","13.32"
"MFP","01 Feb 2021","25","11.31"
"MFP","01 Feb 2021","26","12.12"
"MFP","01 Feb 2021","27","19.87"
"MFP","01 Feb 2021","28","22.58"
"MFP","01 Feb 2021","29","22.14"
"MFP","01 Feb 2021","30","20.09"
"MFP","01 Feb 2021","31","19.93"
"MFP","01 Feb 2021","32","23.99"
"MFP","01 Feb 2021","33","24.99"
"MFP","01 Feb 2021","34","23.49"
"MFP","01 Feb 2021","35","17.88"
"MFP","01 Feb 2021","36","12.71"
"MFP","01 Feb 2021","37","21.66"
"MFP","01 Feb 2021","38","13.33"
"MFP","01 Feb 2021","39","28.99"
"MFP","01 Feb 2021","40","19.87"
"MFP","01 Feb 2021","41","13.33"
"MFP","01 Feb 2021","42","12.12"
"MFP","01 Feb 2021","43","9.64"
"MFP","01 Feb 2021","44","6.89"
"MFP","01 Feb 2021","45","4.39"
"MFP","01 Feb 2021","46","1.28"
"MFP","01 Feb 2021","47","1.20"
"MFP","01 Feb 2021","48","0.90"
"MFP","02 Feb 2021","1","1.00"
"MFP","02 Feb 2021","2","0.60"
"MFP","02 Feb 2021","3","0.50"
"MFP","02 Feb 2021","4","0.50"
"MFP","02 Feb 2021","5","0.01"
"MFP","02 Feb 2021","6","0.50"
"MFP","02 Feb 2021","7","0.50"
"MFP","02 Feb 2021","8","0.01"
"MFP","02 Feb 2021","9","0.01"
"MFP","02 Feb 2021","10","0.01"
"MFP","02 Feb 2021","11","0.50"
"MFP","02 Feb 2021","12","1.00"
"MFP","02 Feb 2021","13","1.28"
"MFP","02 Feb 2021","14","1.48"
"MFP","02 Feb 2021","15","2.46"
"MFP","02 Feb 2021","16","9.88"
"MFP","02 Feb 2021","17","12.62"
"MFP","02 Feb 2021","18","19.38"
"MFP","02 Feb 2021","19","19.07"
"MFP","02 Feb 2021","20","27.11"
"MFP","02 Feb 2021","21","30.70"
"MFP","02 Feb 2021","22","28.99"
"MFP","02 Feb 2021","23","28.99"
"MFP","02 Feb 2021","24","28.56"
"MFP","02 Feb 2021","25","19.18"
"MFP","02 Feb 2021","26","19.18"
"MFP","02 Feb 2021","27","20.72"
"MFP","02 Feb 2021","28","36.07"
"MFP","02 Feb 2021","29","38.48"
"MFP","02 Feb 2021","30","41.78"
"MFP","02 Feb 2021","31","37.71"
"MFP","02 Feb 2021","32","47.76"
"MFP","02 Feb 2021","33","38.88"
"MFP","02 Feb 2021","34","35.21"
"MFP","02 Feb 2021","35","30.69"
"MFP","02 Feb 2021","36","20.38"
"MFP","02 Feb 2021","37","19.80"
"MFP","02 Feb 2021","38","21.68"
"MFP","02 Feb 2021","39","28.25"
"MFP","02 Feb 2021","40","21.55"
"MFP","02 Feb 2021","41","14.28"
"MFP","02 Feb 2021","42","17.87"
"MFP","02 Feb 2021","43","10.87"
"MFP","02 Feb 2021","44","6.47"
"MFP","02 Feb 2021","45","2.78"
"MFP","02 Feb 2021","46","1.69"
"MFP","02 Feb 2021","47","1.10"
"MFP","02 Feb 2021","48","1.00"
"MFP","03 Feb 2021","1","1.00"
"MFP","03 Feb 2021","2","0.60"
"MFP","03 Feb 2021","3","0.50"
"MFP","03 Feb 2021","4","0.50"
"MFP","03 Feb 2021","5","0.01"
"MFP","03 Feb 2021","6","0.50"
"MFP","03 Feb 2021","7","0.50"
"MFP","03 Feb 2021","8","0.01"
"MFP","03 Feb 2021","9","0.01"
"MFP","03 Feb 2021","10","0.01"
"MFP","03 Feb 2021","11","0.50"
"MFP","03 Feb 2021","12","1.00"
"MFP","03 Feb 2021","13","1.20"
"MFP","03 Feb 2021","14","1.20"
"MFP","03 Feb 2021","15","1.33"
"MFP","03 Feb 2021","16","6.96"
"MFP","03 Feb 2021","17","12.96"
"MFP","03 Feb 2021","18","18.87"
"MFP","03 Feb 2021","19","20.47"
"MFP","03 Feb 2021","20","24.99"
"MFP","03 Feb 2021","21","28.88"
"MFP","03 Feb 2021","22","28.99"
"MFP","03 Feb 2021","23","28.88"
"MFP","03 Feb 2021","24","13.32"
"MFP","03 Feb 2021","25","12.12"
"MFP","03 Feb 2021","26","12.70"
"MFP","03 Feb 2021","27","20.38"
"MFP","03 Feb 2021","28","29.88"
"MFP","03 Feb 2021","29","28.88"
"MFP","03 Feb 2021","30","19.58"
"MFP","03 Feb 2021","31","28.99"
"MFP","03 Feb 2021","32","28.99"
"MFP","03 Feb 2021","33","28.99"
"MFP","03 Feb 2021","34","24.97"
"MFP","03 Feb 2021","35","21.41"
"MFP","03 Feb 2021","36","13.62"
"MFP","03 Feb 2021","37","13.75"
"MFP","03 Feb 2021","38","19.18"
"MFP","03 Feb 2021","39","20.58"
"MFP","03 Feb 2021","40","18.95"
"MFP","03 Feb 2021","41","13.83"
"MFP","03 Feb 2021","42","12.61"
"MFP","03 Feb 2021","43","9.66"
"MFP","03 Feb 2021","44","5.21"
"MFP","03 Feb 2021","45","2.05"
"MFP","03 Feb 2021","46","1.88"
"MFP","03 Feb 2021","47","1.00"
"MFP","03 Feb 2021","48","1.00"
"MFP","04 Feb 2021","1","1.00"
"MFP","04 Feb 2021","2","0.60"
"MFP","04 Feb 2021","3","0.50"
"MFP","04 Feb 2021","4","0.50"
"MFP","04 Feb 2021","5","0.50"
"MFP","04 Feb 2021","6","0.50"
"MFP","04 Feb 2021","7","0.50"
"MFP","04 Feb 2021","8","0.01"
"MFP","04 Feb 2021","9","0.01"
"MFP","04 Feb 2021","10","0.01"
"MFP","04 Feb 2021","11","0.50"
"MFP","04 Feb 2021","12","1.12"
"MFP","04 Feb 2021","13","1.33"
"MFP","04 Feb 2021","14","1.33"
