"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Jul 2021","1","2.02"
"MFP","01 Jul 2021","2","1.00"
"MFP","01 Jul 2021","3","0.90"
"MFP","01 Jul 2021","4","0.60"
"MFP","01 Jul 2021","5","0.60"
"MFP","01 Jul 2021","6","0.60"
"MFP","01 Jul 2021","7","0.60"
"MFP","01 Jul 2021","8","0.50"
"MFP","01 Jul 2021","9","0.50"
"MFP","01 Jul 2021","10","0.50"
"MFP","01 Jul 2021","11","0.60"
"MFP","01 Jul 2021","12","1.20"
"MFP","01 Jul 2021","13","8.00"
"MFP","01 Jul 2021","14","8.00"
"MFP","01 Jul 2021","15","10.33"
"MFP","01 Jul 2021","16","11.12"
"MFP","01 Jul 2021","17","12.33"
"MFP","01 Jul 2021","18","8.00"
"MFP","01 Jul 2021","19","9.69"
"MFP","01 Jul 2021","20","19.00"
"MFP","01 Jul 2021","21","31.13"
"MFP","01 Jul 2021","22","87.97"
"MFP","01 Jul 2021","23","87.98"
"MFP","01 Jul 2021","24","100.00"
"MFP","01 Jul 2021","25","1.92"
"MFP","01 Jul 2021","26","100.00"
"MFP","01 Jul 2021","27","116.24"
"MFP","01 Jul 2021","28","172.48"
"MFP","01 Jul 2021","29","149.86"
"MFP","01 Jul 2021","30","149.86"
"MFP","01 Jul 2021","31","120.00"
"MFP","01 Jul 2021","32","120.00"
"MFP","01 Jul 2021","33","108.97"
"MFP","01 Jul 2021","34","120.00"
"MFP","01 Jul 2021","35","78.52"
"MFP","01 Jul 2021","36","28.88"
"MFP","01 Jul 2021","37","83.63"
"MFP","01 Jul 2021","38","120.00"
"MFP","01 Jul 2021","39","120.00"
"MFP","01 Jul 2021","40","120.00"
"MFP","01 Jul 2021","41","25.89"
"MFP","01 Jul 2021","42","99.50"
"MFP","01 Jul 2021","43","11.33"
"MFP","01 Jul 2021","44","89.93"
"MFP","01 Jul 2021","45","10.48"
"MFP","01 Jul 2021","46","1.20"
"MFP","01 Jul 2021","47","13.33"
"MFP","01 Jul 2021","48","1.88"
"MFP","02 Jul 2021","1","4.81"
"MFP","02 Jul 2021","2","1.20"
"MFP","02 Jul 2021","3","0.88"
"MFP","02 Jul 2021","4","0.60"
"MFP","02 Jul 2021","5","0.60"
"MFP","02 Jul 2021","6","0.50"
"MFP","02 Jul 2021","7","0.50"
"MFP","02 Jul 2021","8","0.01"
"MFP","02 Jul 2021","9","0.01"
"MFP","02 Jul 2021","10","0.50"
"MFP","02 Jul 2021","11","0.50"
"MFP","02 Jul 2021","12","1.28"
"MFP","02 Jul 2021","13","8.00"
"MFP","02 Jul 2021","14","10.72"
"MFP","02 Jul 2021","15","11.30"
"MFP","02 Jul 2021","16","12.98"
"MFP","02 Jul 2021","17","37.93"
"MFP","02 Jul 2021","18","139.15"
"MFP","02 Jul 2021","19","185.00"
"MFP","02 Jul 2021","20","184.99"
"MFP","02 Jul 2021","21","184.99"
"MFP","02 Jul 2021","22","41.94"
"MFP","02 Jul 2021","23","35.88"
"MFP","02 Jul 2021","24","23.34"
"MFP","02 Jul 2021","25","12.12"
"MFP","02 Jul 2021","26","19.99"
"MFP","02 Jul 2021","27","36.37"
"MFP","02 Jul 2021","28","36.48"
"MFP","02 Jul 2021","29","48.88"
"MFP","02 Jul 2021","30","36.37"
"MFP","02 Jul 2021","31","35.95"
"MFP","02 Jul 2021","32","36.06"
"MFP","02 Jul 2021","33","35.88"
"MFP","02 Jul 2021","34","36.37"
"MFP","02 Jul 2021","35","16.37"
"MFP","02 Jul 2021","36","10.47"
"MFP","02 Jul 2021","37","10.23"
"MFP","02 Jul 2021","38","8.00"
"MFP","02 Jul 2021","39","2.42"
"MFP","02 Jul 2021","40","2.42"
"MFP","02 Jul 2021","41","1.73"
"MFP","02 Jul 2021","42","6.69"
"MFP","02 Jul 2021","43","9.88"
"MFP","02 Jul 2021","44","9.88"
"MFP","02 Jul 2021","45","1.10"
"MFP","02 Jul 2021","46","1.00"
"MFP","02 Jul 2021","47","0.90"
"MFP","02 Jul 2021","48","0.90"
"MFP","03 Jul 2021","1","12.88"
"MFP","03 Jul 2021","2","9.88"
"MFP","03 Jul 2021","3","0.50"
"MFP","03 Jul 2021","4","0.50"
"MFP","03 Jul 2021","5","0.50"
"MFP","03 Jul 2021","6","0.50"
"MFP","03 Jul 2021","7","0.50"
"MFP","03 Jul 2021","8","0.01"
"MFP","03 Jul 2021","9","0.50"
"MFP","03 Jul 2021","10","0.50"
"MFP","03 Jul 2021","11","0.60"
