"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Mar 2021","1","5.25"
"MFP","01 Mar 2021","2","1.00"
"MFP","01 Mar 2021","3","1.00"
"MFP","01 Mar 2021","4","1.00"
"MFP","01 Mar 2021","5","1.00"
"MFP","01 Mar 2021","6","1.00"
"MFP","01 Mar 2021","7","1.00"
"MFP","01 Mar 2021","8","1.00"
"MFP","01 Mar 2021","9","1.00"
"MFP","01 Mar 2021","10","1.00"
"MFP","01 Mar 2021","11","1.00"
"MFP","01 Mar 2021","12","2.22"
"MFP","01 Mar 2021","13","8.00"
"MFP","01 Mar 2021","14","8.00"
"MFP","01 Mar 2021","15","11.39"
"MFP","01 Mar 2021","16","17.83"
"MFP","01 Mar 2021","17","41.43"
"MFP","01 Mar 2021","18","126.62"
"MFP","01 Mar 2021","19","184.00"
"MFP","01 Mar 2021","20","184.86"
"MFP","01 Mar 2021","21","51.88"
"MFP","01 Mar 2021","22","24.37"
"MFP","01 Mar 2021","23","23.07"
"MFP","01 Mar 2021","24","23.07"
"MFP","01 Mar 2021","25","12.05"
"MFP","01 Mar 2021","26","13.91"
"MFP","01 Mar 2021","27","24.60"
"MFP","01 Mar 2021","28","32.93"
"MFP","01 Mar 2021","29","35.87"
"MFP","01 Mar 2021","30","35.87"
"MFP","01 Mar 2021","31","21.95"
"MFP","01 Mar 2021","32","33.06"
"MFP","01 Mar 2021","33","76.45"
"MFP","01 Mar 2021","34","185.45"
"MFP","01 Mar 2021","35","185.00"
"MFP","01 Mar 2021","36","49.99"
"MFP","01 Mar 2021","37","51.03"
"MFP","01 Mar 2021","38","32.13"
"MFP","01 Mar 2021","39","23.56"
"MFP","01 Mar 2021","40","13.47"
"MFP","01 Mar 2021","41","8.00"
"MFP","01 Mar 2021","42","44.91"
"MFP","01 Mar 2021","43","14.48"
"MFP","01 Mar 2021","44","12.12"
"MFP","01 Mar 2021","45","10.96"
"MFP","01 Mar 2021","46","1.10"
"MFP","01 Mar 2021","47","1.10"
"MFP","01 Mar 2021","48","1.20"
"MFP","02 Mar 2021","1","1.33"
"MFP","02 Mar 2021","2","1.08"
"MFP","02 Mar 2021","3","0.90"
"MFP","02 Mar 2021","4","0.90"
"MFP","02 Mar 2021","5","0.90"
"MFP","02 Mar 2021","6","0.90"
"MFP","02 Mar 2021","7","0.90"
"MFP","02 Mar 2021","8","0.90"
"MFP","02 Mar 2021","9","0.90"
"MFP","02 Mar 2021","10","0.90"
"MFP","02 Mar 2021","11","0.90"
"MFP","02 Mar 2021","12","1.28"
"MFP","02 Mar 2021","13","2.70"
"MFP","02 Mar 2021","14","3.17"
"MFP","02 Mar 2021","15","8.00"
"MFP","02 Mar 2021","16","13.33"
"MFP","02 Mar 2021","17","13.57"
"MFP","02 Mar 2021","18","14.60"
"MFP","02 Mar 2021","19","12.12"
"MFP","02 Mar 2021","20","8.70"
"MFP","02 Mar 2021","21","8.74"
"MFP","02 Mar 2021","22","2.85"
"MFP","02 Mar 2021","23","6.37"
"MFP","02 Mar 2021","24","3.80"
"MFP","02 Mar 2021","25","3.99"
"MFP","02 Mar 2021","26","3.99"
"MFP","02 Mar 2021","27","8.67"
"MFP","02 Mar 2021","28","10.06"
"MFP","02 Mar 2021","29","10.06"
"MFP","02 Mar 2021","30","10.06"
"MFP","02 Mar 2021","31","9.73"
"MFP","02 Mar 2021","32","10.18"
"MFP","02 Mar 2021","33","8.74"
"MFP","02 Mar 2021","34","10.02"
"MFP","02 Mar 2021","35","5.69"
"MFP","02 Mar 2021","36","8.70"
"MFP","02 Mar 2021","37","36.48"
"MFP","02 Mar 2021","38","25.97"
"MFP","02 Mar 2021","39","8.29"
"MFP","02 Mar 2021","40","10.02"
"MFP","02 Mar 2021","41","8.00"
"MFP","02 Mar 2021","42","11.33"
"MFP","02 Mar 2021","43","9.36"
"MFP","02 Mar 2021","44","23.00"
"MFP","02 Mar 2021","45","13.77"
"MFP","02 Mar 2021","46","9.96"
"MFP","02 Mar 2021","47","5.72"
"MFP","02 Mar 2021","48","2.10"
"MFP","03 Mar 2021","1","1.85"
"MFP","03 Mar 2021","2","1.00"
"MFP","03 Mar 2021","3","0.90"
"MFP","03 Mar 2021","4","0.90"
"MFP","03 Mar 2021","5","0.90"
"MFP","03 Mar 2021","6","0.90"
"MFP","03 Mar 2021","7","0.90"
"MFP","03 Mar 2021","8","0.90"
"MFP","03 Mar 2021","9","0.90"
"MFP","03 Mar 2021","10","0.90"
"MFP","03 Mar 2021","11","1.00"
"MFP","03 Mar 2021","12","1.85"
"MFP","03 Mar 2021","13","2.70"
"MFP","03 Mar 2021","14","2.80"
"MFP","03 Mar 2021","15","10.47"
"MFP","03 Mar 2021","16","13.92"
"MFP","03 Mar 2021","17","23.11"
"MFP","03 Mar 2021","18","17.25"
"MFP","03 Mar 2021","19","12.12"
"MFP","03 Mar 2021","20","8.00"
"MFP","03 Mar 2021","21","8.00"
"MFP","03 Mar 2021","22","2.50"
"MFP","03 Mar 2021","23","2.70"
"MFP","03 Mar 2021","24","30.58"
"MFP","03 Mar 2021","25","19.09"
"MFP","03 Mar 2021","26","18.99"
"MFP","03 Mar 2021","27","14.55"
"MFP","03 Mar 2021","28","29.37"
"MFP","03 Mar 2021","29","41.89"
"MFP","03 Mar 2021","30","41.06"
"MFP","03 Mar 2021","31","36.38"
"MFP","03 Mar 2021","32","50.38"
"MFP","03 Mar 2021","33","56.42"
"MFP","03 Mar 2021","34","52.82"
"MFP","03 Mar 2021","35","35.71"
"MFP","03 Mar 2021","36","25.12"
"MFP","03 Mar 2021","37","20.00"
"MFP","03 Mar 2021","38","20.38"
"MFP","03 Mar 2021","39","33.27"
"MFP","03 Mar 2021","40","26.22"
"MFP","03 Mar 2021","41","23.05"
"MFP","03 Mar 2021","42","184.99"
"MFP","03 Mar 2021","43","51.87"
"MFP","03 Mar 2021","44","183.00"
"MFP","03 Mar 2021","45","34.88"
"MFP","03 Mar 2021","46","10.49"
"MFP","03 Mar 2021","47","5.86"
"MFP","03 Mar 2021","48","1.28"
"MFP","04 Mar 2021","1","7.48"
"MFP","04 Mar 2021","2","1.28"
"MFP","04 Mar 2021","3","1.20"
"MFP","04 Mar 2021","4","0.90"
"MFP","04 Mar 2021","5","0.90"
"MFP","04 Mar 2021","6","0.90"
"MFP","04 Mar 2021","7","0.90"
"MFP","04 Mar 2021","8","0.90"
"MFP","04 Mar 2021","9","0.90"
"MFP","04 Mar 2021","10","0.90"
"MFP","04 Mar 2021","11","1.00"
"MFP","04 Mar 2021","12","2.91"
"MFP","04 Mar 2021","13","8.00"
"MFP","04 Mar 2021","14","8.00"
"MFP","04 Mar 2021","15","8.00"
"MFP","04 Mar 2021","16","13.33"
"MFP","04 Mar 2021","17","14.43"
"MFP","04 Mar 2021","18","16.13"
"MFP","04 Mar 2021","19","24.10"
"MFP","04 Mar 2021","20","34.91"
"MFP","04 Mar 2021","21","50.50"
"MFP","04 Mar 2021","22","50.00"
"MFP","04 Mar 2021","23","53.91"
"MFP","04 Mar 2021","24","16.88"
"MFP","04 Mar 2021","25","8.00"
"MFP","04 Mar 2021","26","8.00"
"MFP","04 Mar 2021","27","11.38"
"MFP","04 Mar 2021","28","8.00"
"MFP","04 Mar 2021","29","8.00"
"MFP","04 Mar 2021","30","4.90"
"MFP","04 Mar 2021","31","10.07"
"MFP","04 Mar 2021","32","11.61"
"MFP","04 Mar 2021","33","10.15"
"MFP","04 Mar 2021","34","8.00"
"MFP","04 Mar 2021","35","9.88"
"MFP","04 Mar 2021","36","8.00"
"MFP","04 Mar 2021","37","22.88"
"MFP","04 Mar 2021","38","17.00"
"MFP","04 Mar 2021","39","8.00"
"MFP","04 Mar 2021","40","8.00"
"MFP","04 Mar 2021","41","8.02"
"MFP","04 Mar 2021","42","2.00"
"MFP","04 Mar 2021","43","1.28"
"MFP","04 Mar 2021","44","8.70"
"MFP","04 Mar 2021","45","22.72"
"MFP","04 Mar 2021","46","13.10"
"MFP","04 Mar 2021","47","8.00"
"MFP","04 Mar 2021","48","6.79"
"MFP","05 Mar 2021","1","1.75"
"MFP","05 Mar 2021","2","1.00"
"MFP","05 Mar 2021","3","0.90"
"MFP","05 Mar 2021","4","0.90"
"MFP","05 Mar 2021","5","0.90"
"MFP","05 Mar 2021","6","0.90"
"MFP","05 Mar 2021","7","0.90"
"MFP","05 Mar 2021","8","0.90"
"MFP","05 Mar 2021","9","0.90"
"MFP","05 Mar 2021","10","0.90"
"MFP","05 Mar 2021","11","0.90"
"MFP","05 Mar 2021","12","1.28"
"MFP","05 Mar 2021","13","3.50"
"MFP","05 Mar 2021","14","3.17"
"MFP","05 Mar 2021","15","8.97"
"MFP","05 Mar 2021","16","12.51"
"MFP","05 Mar 2021","17","9.19"
"MFP","05 Mar 2021","18","9.99"
"MFP","05 Mar 2021","19","9.88"
"MFP","05 Mar 2021","20","8.00"
"MFP","05 Mar 2021","21","8.00"
"MFP","05 Mar 2021","22","3.81"
"MFP","05 Mar 2021","23","3.50"
"MFP","05 Mar 2021","24","3.50"
"MFP","05 Mar 2021","25","2.50"
"MFP","05 Mar 2021","26","2.50"
"MFP","05 Mar 2021","27","8.00"
"MFP","05 Mar 2021","28","8.00"
