"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 May 2021","1","2.00"
"MFP","01 May 2021","2","1.28"
"MFP","01 May 2021","3","1.00"
"MFP","01 May 2021","4","1.00"
"MFP","01 May 2021","5","1.00"
"MFP","01 May 2021","6","0.90"
"MFP","01 May 2021","7","0.90"
"MFP","01 May 2021","8","0.60"
"MFP","01 May 2021","9","0.88"
"MFP","01 May 2021","10","0.88"
"MFP","01 May 2021","11","0.90"
"MFP","01 May 2021","12","1.83"
"MFP","01 May 2021","13","9.88"
"MFP","01 May 2021","14","9.88"
"MFP","01 May 2021","15","13.44"
"MFP","01 May 2021","16","15.00"
"MFP","01 May 2021","17","15.00"
"MFP","01 May 2021","18","15.00"
"MFP","01 May 2021","19","12.92"
"MFP","01 May 2021","20","1.28"
"MFP","01 May 2021","21","1.10"
"MFP","01 May 2021","22","3.42"
"MFP","01 May 2021","23","3.50"
"MFP","01 May 2021","24","1.20"
"MFP","01 May 2021","25","1.00"
"MFP","01 May 2021","26","1.00"
"MFP","01 May 2021","27","1.00"
"MFP","01 May 2021","28","1.10"
"MFP","01 May 2021","29","0.88"
"MFP","01 May 2021","30","0.88"
"MFP","01 May 2021","31","0.56"
"MFP","01 May 2021","32","0.60"
"MFP","01 May 2021","33","0.50"
"MFP","01 May 2021","34","0.90"
"MFP","01 May 2021","35","0.90"
"MFP","01 May 2021","36","1.00"
"MFP","01 May 2021","37","1.28"
"MFP","01 May 2021","38","1.20"
"MFP","01 May 2021","39","1.10"
"MFP","01 May 2021","40","1.10"
"MFP","01 May 2021","41","1.00"
"MFP","01 May 2021","42","0.88"
"MFP","01 May 2021","43","0.80"
"MFP","01 May 2021","44","0.88"
"MFP","01 May 2021","45","0.88"
"MFP","01 May 2021","46","1.06"
"MFP","01 May 2021","47","0.90"
"MFP","01 May 2021","48","0.88"
"MFP","02 May 2021","1","2.17"
"MFP","02 May 2021","2","0.98"
"MFP","02 May 2021","3","0.01"
"MFP","02 May 2021","4","0.01"
"MFP","02 May 2021","5","0.01"
"MFP","02 May 2021","6","0.01"
"MFP","02 May 2021","7","0.01"
"MFP","02 May 2021","8","0.01"
"MFP","02 May 2021","9","0.01"
"MFP","02 May 2021","10","0.01"
"MFP","02 May 2021","11","0.01"
"MFP","02 May 2021","12","1.00"
"MFP","02 May 2021","13","1.10"
"MFP","02 May 2021","14","1.00"
"MFP","02 May 2021","15","1.33"
"MFP","02 May 2021","16","3.00"
"MFP","02 May 2021","17","3.68"
"MFP","02 May 2021","18","2.34"
"MFP","02 May 2021","19","1.20"
"MFP","02 May 2021","20","1.28"
"MFP","02 May 2021","21","1.28"
"MFP","02 May 2021","22","0.90"
"MFP","02 May 2021","23","0.88"
"MFP","02 May 2021","24","0.90"
"MFP","02 May 2021","25","0.88"
"MFP","02 May 2021","26","0.90"
"MFP","02 May 2021","27","1.00"
"MFP","02 May 2021","28","1.00"
"MFP","02 May 2021","29","1.00"
"MFP","02 May 2021","30","1.00"
