"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Nov 2021","1","146.81"
"MFP","01 Nov 2021","2","135.00"
"MFP","01 Nov 2021","3","92.71"
"MFP","01 Nov 2021","4","13.33"
"MFP","01 Nov 2021","5","13.33"
"MFP","01 Nov 2021","6","12.12"
"MFP","01 Nov 2021","7","12.12"
"MFP","01 Nov 2021","8","11.25"
"MFP","01 Nov 2021","9","12.12"
"MFP","01 Nov 2021","10","10.00"
"MFP","01 Nov 2021","11","13.42"
"MFP","01 Nov 2021","12","50.00"
"MFP","01 Nov 2021","13","14.37"
"MFP","01 Nov 2021","14","14.62"
"MFP","01 Nov 2021","15","14.37"
"MFP","01 Nov 2021","16","22.48"
"MFP","01 Nov 2021","17","25.00"
"MFP","01 Nov 2021","18","40.84"
"MFP","01 Nov 2021","19","35.92"
"MFP","01 Nov 2021","20","13.33"
"MFP","01 Nov 2021","21","34.99"
"MFP","01 Nov 2021","22","11.99"
"MFP","01 Nov 2021","23","10.00"
"MFP","01 Nov 2021","24","10.00"
"MFP","01 Nov 2021","25","10.00"
"MFP","01 Nov 2021","26","45.00"
"MFP","01 Nov 2021","27","148.80"
"MFP","01 Nov 2021","28","149.50"
"MFP","01 Nov 2021","29","183.76"
"MFP","01 Nov 2021","30","179.99"
"MFP","01 Nov 2021","31","163.60"
"MFP","01 Nov 2021","32","120.00"
"MFP","01 Nov 2021","33","112.40"
"MFP","01 Nov 2021","34","179.99"
"MFP","01 Nov 2021","35","127.20"
"MFP","01 Nov 2021","36","73.80"
"MFP","01 Nov 2021","37","141.48"
"MFP","01 Nov 2021","38","89.25"
"MFP","01 Nov 2021","39","89.25"
"MFP","01 Nov 2021","40","88.00"
"MFP","01 Nov 2021","41","74.50"
"MFP","01 Nov 2021","42","52.20"
"MFP","01 Nov 2021","43","58.32"
"MFP","01 Nov 2021","44","74.50"
"MFP","01 Nov 2021","45","123.45"
"MFP","01 Nov 2021","46","123.45"
"MFP","01 Nov 2021","47","50.00"
"MFP","01 Nov 2021","48","50.00"
"MFP","02 Nov 2021","1","15.88"
"MFP","02 Nov 2021","2","10.00"
"MFP","02 Nov 2021","3","12.12"
"MFP","02 Nov 2021","4","10.00"
"MFP","02 Nov 2021","5","10.61"
"MFP","02 Nov 2021","6","10.00"
"MFP","02 Nov 2021","7","10.00"
"MFP","02 Nov 2021","8","10.00"
"MFP","02 Nov 2021","9","10.00"
"MFP","02 Nov 2021","10","10.00"
"MFP","02 Nov 2021","11","8.00"
"MFP","02 Nov 2021","12","10.00"
"MFP","02 Nov 2021","13","10.00"
"MFP","02 Nov 2021","14","10.00"
"MFP","02 Nov 2021","15","14.31"
"MFP","02 Nov 2021","16","18.68"
"MFP","02 Nov 2021","17","21.47"
"MFP","02 Nov 2021","18","31.97"
"MFP","02 Nov 2021","19","34.83"
"MFP","02 Nov 2021","20","35.47"
"MFP","02 Nov 2021","21","50.01"
"MFP","02 Nov 2021","22","24.99"
"MFP","02 Nov 2021","23","24.99"
"MFP","02 Nov 2021","24","24.99"
"MFP","02 Nov 2021","25","59.34"
"MFP","02 Nov 2021","26","119.45"
"MFP","02 Nov 2021","27","179.99"
"MFP","02 Nov 2021","28","148.80"
"MFP","02 Nov 2021","29","72.99"
"MFP","02 Nov 2021","30","88.09"
"MFP","02 Nov 2021","31","110.06"
"MFP","02 Nov 2021","32","110.07"
"MFP","02 Nov 2021","33","35.02"
"MFP","02 Nov 2021","34","40.11"
"MFP","02 Nov 2021","35","40.59"
"MFP","02 Nov 2021","36","50.00"
"MFP","02 Nov 2021","37","91.05"
"MFP","02 Nov 2021","38","75.81"
"MFP","02 Nov 2021","39","54.02"
"MFP","02 Nov 2021","40","54.04"
"MFP","02 Nov 2021","41","50.00"
"MFP","02 Nov 2021","42","35.69"
"MFP","02 Nov 2021","43","34.50"
"MFP","02 Nov 2021","44","37.40"
"MFP","02 Nov 2021","45","48.68"
"MFP","02 Nov 2021","46","34.88"
"MFP","02 Nov 2021","47","33.33"
"MFP","02 Nov 2021","48","30.98"
"MFP","03 Nov 2021","1","31.98"
"MFP","03 Nov 2021","2","12.12"
"MFP","03 Nov 2021","3","10.00"
"MFP","03 Nov 2021","4","10.00"
"MFP","03 Nov 2021","5","10.00"
"MFP","03 Nov 2021","6","10.00"
"MFP","03 Nov 2021","7","10.00"
"MFP","03 Nov 2021","8","10.00"
"MFP","03 Nov 2021","9","10.00"
"MFP","03 Nov 2021","10","10.00"
"MFP","03 Nov 2021","11","10.00"
"MFP","03 Nov 2021","12","33.33"
"MFP","03 Nov 2021","13","50.00"
"MFP","03 Nov 2021","14","10.00"
"MFP","03 Nov 2021","15","12.12"
"MFP","03 Nov 2021","16","13.33"
"MFP","03 Nov 2021","17","18.99"
"MFP","03 Nov 2021","18","34.99"
"MFP","03 Nov 2021","19","33.33"
"MFP","03 Nov 2021","20","24.99"
"MFP","03 Nov 2021","21","24.99"
"MFP","03 Nov 2021","22","24.99"
"MFP","03 Nov 2021","23","16.54"
"MFP","03 Nov 2021","24","16.74"
"MFP","03 Nov 2021","25","13.33"
"MFP","03 Nov 2021","26","14.92"
"MFP","03 Nov 2021","27","25.00"
"MFP","03 Nov 2021","28","82.20"
"MFP","03 Nov 2021","29","33.33"
"MFP","03 Nov 2021","30","179.99"
"MFP","03 Nov 2021","31","183.76"
"MFP","03 Nov 2021","32","183.76"
"MFP","03 Nov 2021","33","162.59"
"MFP","03 Nov 2021","34","73.80"
"MFP","03 Nov 2021","35","34.95"
"MFP","03 Nov 2021","36","50.00"
"MFP","03 Nov 2021","37","89.25"
"MFP","03 Nov 2021","38","75.58"
"MFP","03 Nov 2021","39","52.20"
"MFP","03 Nov 2021","40","52.20"
"MFP","03 Nov 2021","41","50.00"
"MFP","03 Nov 2021","42","34.95"
"MFP","03 Nov 2021","43","34.90"
"MFP","03 Nov 2021","44","37.40"
"MFP","03 Nov 2021","45","48.68"
"MFP","03 Nov 2021","46","34.90"
"MFP","03 Nov 2021","47","34.90"
"MFP","03 Nov 2021","48","33.33"
"MFP","04 Nov 2021","1","34.50"
"MFP","04 Nov 2021","2","21.94"
"MFP","04 Nov 2021","3","10.62"
"MFP","04 Nov 2021","4","10.62"
"MFP","04 Nov 2021","5","10.62"
"MFP","04 Nov 2021","6","10.62"
"MFP","04 Nov 2021","7","10.08"
"MFP","04 Nov 2021","8","10.00"
"MFP","04 Nov 2021","9","10.00"
"MFP","04 Nov 2021","10","10.00"
"MFP","04 Nov 2021","11","10.62"
"MFP","04 Nov 2021","12","33.33"
"MFP","04 Nov 2021","13","10.00"
"MFP","04 Nov 2021","14","10.00"
"MFP","04 Nov 2021","15","11.50"
"MFP","04 Nov 2021","16","12.12"
"MFP","04 Nov 2021","17","12.12"
"MFP","04 Nov 2021","18","13.33"
"MFP","04 Nov 2021","19","13.33"
"MFP","04 Nov 2021","20","12.12"
"MFP","04 Nov 2021","21","12.12"
"MFP","04 Nov 2021","22","21.47"
"MFP","04 Nov 2021","23","21.47"
"MFP","04 Nov 2021","24","21.40"
"MFP","04 Nov 2021","25","21.47"
"MFP","04 Nov 2021","26","21.47"
"MFP","04 Nov 2021","27","21.47"
"MFP","04 Nov 2021","28","21.47"
"MFP","04 Nov 2021","29","22.47"
"MFP","04 Nov 2021","30","21.47"
"MFP","04 Nov 2021","31","21.47"
"MFP","04 Nov 2021","32","22.47"
"MFP","04 Nov 2021","33","22.47"
"MFP","04 Nov 2021","34","22.47"
"MFP","04 Nov 2021","35","22.47"
"MFP","04 Nov 2021","36","22.47"
"MFP","04 Nov 2021","37","43.45"
"MFP","04 Nov 2021","38","179.99"
"MFP","04 Nov 2021","39","183.73"
"MFP","04 Nov 2021","40","183.82"
"MFP","04 Nov 2021","41","183.76"
"MFP","04 Nov 2021","42","179.99"
"MFP","04 Nov 2021","43","22.47"
"MFP","04 Nov 2021","44","22.47"
"MFP","04 Nov 2021","45","15.33"
"MFP","04 Nov 2021","46","12.12"
"MFP","04 Nov 2021","47","9.88"
"MFP","04 Nov 2021","48","9.88"
"MFP","05 Nov 2021","1","8.00"
"MFP","05 Nov 2021","2","8.00"
"MFP","05 Nov 2021","3","8.00"
"MFP","05 Nov 2021","4","8.00"
"MFP","05 Nov 2021","5","8.00"
"MFP","05 Nov 2021","6","8.00"
"MFP","05 Nov 2021","7","8.00"
"MFP","05 Nov 2021","8","1.33"
"MFP","05 Nov 2021","9","8.00"
"MFP","05 Nov 2021","10","8.00"
"MFP","05 Nov 2021","11","1.33"
"MFP","05 Nov 2021","12","10.00"
"MFP","05 Nov 2021","13","10.00"
"MFP","05 Nov 2021","14","10.00"
"MFP","05 Nov 2021","15","18.61"
"MFP","05 Nov 2021","16","21.62"
"MFP","05 Nov 2021","17","23.23"
"MFP","05 Nov 2021","18","22.91"
"MFP","05 Nov 2021","19","13.33"
"MFP","05 Nov 2021","20","11.19"
"MFP","05 Nov 2021","21","11.15"
"MFP","05 Nov 2021","22","11.95"
"MFP","05 Nov 2021","23","9.88"
"MFP","05 Nov 2021","24","10.00"
"MFP","05 Nov 2021","25","10.00"
"MFP","05 Nov 2021","26","10.00"
"MFP","05 Nov 2021","27","10.98"
"MFP","05 Nov 2021","28","10.98"
"MFP","05 Nov 2021","29","10.00"
"MFP","05 Nov 2021","30","10.00"
"MFP","05 Nov 2021","31","9.88"
"MFP","05 Nov 2021","32","10.00"
"MFP","05 Nov 2021","33","9.88"
"MFP","05 Nov 2021","34","10.00"
"MFP","05 Nov 2021","35","10.00"
"MFP","05 Nov 2021","36","11.15"
"MFP","05 Nov 2021","37","11.95"
"MFP","05 Nov 2021","38","11.95"
"MFP","05 Nov 2021","39","11.95"
"MFP","05 Nov 2021","40","11.95"
"MFP","05 Nov 2021","41","10.00"
"MFP","05 Nov 2021","42","25.00"
"MFP","05 Nov 2021","43","15.61"
"MFP","05 Nov 2021","44","15.61"
"MFP","05 Nov 2021","45","12.60"
"MFP","05 Nov 2021","46","12.12"
"MFP","05 Nov 2021","47","10.00"
"MFP","05 Nov 2021","48","9.88"
"MFP","06 Nov 2021","1","10.00"
"MFP","06 Nov 2021","2","9.88"
"MFP","06 Nov 2021","3","8.00"
"MFP","06 Nov 2021","4","8.00"
"MFP","06 Nov 2021","5","8.00"
"MFP","06 Nov 2021","6","8.00"
"MFP","06 Nov 2021","7","8.00"
"MFP","06 Nov 2021","8","8.00"
"MFP","06 Nov 2021","9","8.00"
"MFP","06 Nov 2021","10","8.00"
"MFP","06 Nov 2021","11","8.00"
"MFP","06 Nov 2021","12","10.00"
"MFP","06 Nov 2021","13","13.33"
"MFP","06 Nov 2021","14","13.33"
"MFP","06 Nov 2021","15","15.88"
"MFP","06 Nov 2021","16","30.98"
"MFP","06 Nov 2021","17","34.48"
"MFP","06 Nov 2021","18","34.88"
"MFP","06 Nov 2021","19","32.18"
"MFP","06 Nov 2021","20","31.47"
"MFP","06 Nov 2021","21","32.47"
"MFP","06 Nov 2021","22","32.38"
"MFP","06 Nov 2021","23","31.38"
"MFP","06 Nov 2021","24","31.38"
"MFP","06 Nov 2021","25","31.51"
"MFP","06 Nov 2021","26","31.42"
"MFP","06 Nov 2021","27","31.60"
"MFP","06 Nov 2021","28","34.99"
"MFP","06 Nov 2021","29","34.90"
"MFP","06 Nov 2021","30","34.90"
"MFP","06 Nov 2021","31","21.68"
"MFP","06 Nov 2021","32","21.68"
"MFP","06 Nov 2021","33","21.48"
"MFP","06 Nov 2021","34","31.38"
"MFP","06 Nov 2021","35","12.12"
"MFP","06 Nov 2021","36","10.28"
"MFP","06 Nov 2021","37","13.33"
"MFP","06 Nov 2021","38","16.62"
"MFP","06 Nov 2021","39","15.88"
"MFP","06 Nov 2021","40","16.62"
"MFP","06 Nov 2021","41","13.33"
"MFP","06 Nov 2021","42","12.12"
"MFP","06 Nov 2021","43","8.00"
"MFP","06 Nov 2021","44","9.88"
"MFP","06 Nov 2021","45","10.00"
"MFP","06 Nov 2021","46","9.88"
"MFP","06 Nov 2021","47","8.00"
"MFP","06 Nov 2021","48","8.00"
"MFP","07 Nov 2021","1","8.00"
"MFP","07 Nov 2021","2","8.00"
"MFP","07 Nov 2021","3","1.33"
"MFP","07 Nov 2021","4","8.00"
"MFP","07 Nov 2021","5","3.92"
"MFP","07 Nov 2021","6","8.00"
"MFP","07 Nov 2021","7","2.60"
"MFP","07 Nov 2021","8","2.33"
"MFP","07 Nov 2021","9","2.33"
"MFP","07 Nov 2021","10","2.33"
"MFP","07 Nov 2021","11","8.00"
"MFP","07 Nov 2021","12","12.12"
"MFP","07 Nov 2021","13","12.78"
"MFP","07 Nov 2021","14","12.78"
"MFP","07 Nov 2021","15","15.88"
"MFP","07 Nov 2021","16","22.51"
"MFP","07 Nov 2021","17","13.33"
"MFP","07 Nov 2021","18","13.33"
"MFP","07 Nov 2021","19","13.33"
"MFP","07 Nov 2021","20","10.00"
"MFP","07 Nov 2021","21","10.00"
"MFP","07 Nov 2021","22","9.88"
"MFP","07 Nov 2021","23","9.88"
"MFP","07 Nov 2021","24","9.88"
"MFP","07 Nov 2021","25","9.88"
"MFP","07 Nov 2021","26","10.00"
"MFP","07 Nov 2021","27","10.00"
"MFP","07 Nov 2021","28","10.00"
"MFP","07 Nov 2021","29","10.00"
"MFP","07 Nov 2021","30","10.00"
"MFP","07 Nov 2021","31","9.88"
"MFP","07 Nov 2021","32","9.88"
"MFP","07 Nov 2021","33","9.88"
"MFP","07 Nov 2021","34","10.00"
"MFP","07 Nov 2021","35","10.00"
"MFP","07 Nov 2021","36","10.07"
"MFP","07 Nov 2021","37","15.15"
"MFP","07 Nov 2021","38","12.12"
"MFP","07 Nov 2021","39","13.33"
"MFP","07 Nov 2021","40","13.33"
"MFP","07 Nov 2021","41","13.32"
"MFP","07 Nov 2021","42","12.12"
"MFP","07 Nov 2021","43","100.87"
"MFP","07 Nov 2021","44","25.87"
"MFP","07 Nov 2021","45","15.15"
"MFP","07 Nov 2021","46","10.00"
"MFP","07 Nov 2021","47","10.00"
"MFP","07 Nov 2021","48","8.00"
"MFP","08 Nov 2021","1","8.00"
"MFP","08 Nov 2021","2","8.00"
"MFP","08 Nov 2021","3","1.33"
"MFP","08 Nov 2021","4","1.33"
"MFP","08 Nov 2021","5","1.33"
"MFP","08 Nov 2021","6","1.28"
"MFP","08 Nov 2021","7","1.28"
"MFP","08 Nov 2021","8","1.28"
"MFP","08 Nov 2021","9","1.28"
"MFP","08 Nov 2021","10","1.28"
"MFP","08 Nov 2021","11","1.33"
"MFP","08 Nov 2021","12","8.00"
"MFP","08 Nov 2021","13","10.00"
"MFP","08 Nov 2021","14","9.88"
"MFP","08 Nov 2021","15","10.00"
"MFP","08 Nov 2021","16","10.00"
"MFP","08 Nov 2021","17","12.12"
"MFP","08 Nov 2021","18","11.95"
"MFP","08 Nov 2021","19","11.83"
"MFP","08 Nov 2021","20","10.00"
"MFP","08 Nov 2021","21","9.88"
"MFP","08 Nov 2021","22","8.00"
"MFP","08 Nov 2021","23","8.00"
"MFP","08 Nov 2021","24","15.15"
"MFP","08 Nov 2021","25","15.88"
"MFP","08 Nov 2021","26","15.15"
"MFP","08 Nov 2021","27","22.48"
"MFP","08 Nov 2021","28","25.00"
"MFP","08 Nov 2021","29","24.99"
"MFP","08 Nov 2021","30","24.99"
"MFP","08 Nov 2021","31","99.99"
"MFP","08 Nov 2021","32","99.99"
"MFP","08 Nov 2021","33","99.99"
"MFP","08 Nov 2021","34","100.00"
"MFP","08 Nov 2021","35","25.00"
"MFP","08 Nov 2021","36","10.27"
"MFP","08 Nov 2021","37","17.64"
"MFP","08 Nov 2021","38","15.15"
"MFP","08 Nov 2021","39","26.00"
"MFP","08 Nov 2021","40","26.00"
