"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Sep 2021","1","1.25"
"MFP","01 Sep 2021","2","1.00"
"MFP","01 Sep 2021","3","0.88"
"MFP","01 Sep 2021","4","0.88"
"MFP","01 Sep 2021","5","0.60"
"MFP","01 Sep 2021","6","0.88"
"MFP","01 Sep 2021","7","0.60"
"MFP","01 Sep 2021","8","0.60"
"MFP","01 Sep 2021","9","0.60"
"MFP","01 Sep 2021","10","0.60"
"MFP","01 Sep 2021","11","0.90"
"MFP","01 Sep 2021","12","1.33"
"MFP","01 Sep 2021","13","8.00"
"MFP","01 Sep 2021","14","4.50"
"MFP","01 Sep 2021","15","11.49"
"MFP","01 Sep 2021","16","15.02"
"MFP","01 Sep 2021","17","24.43"
"MFP","01 Sep 2021","18","41.64"
"MFP","01 Sep 2021","19","54.43"
"MFP","01 Sep 2021","20","42.16"
"MFP","01 Sep 2021","21","12.32"
"MFP","01 Sep 2021","22","11.78"
"MFP","01 Sep 2021","23","10.49"
"MFP","01 Sep 2021","24","3.38"
"MFP","01 Sep 2021","25","1.00"
"MFP","01 Sep 2021","26","1.00"
"MFP","01 Sep 2021","27","1.33"
"MFP","01 Sep 2021","28","1.32"
"MFP","01 Sep 2021","29","1.32"
"MFP","01 Sep 2021","30","1.32"
"MFP","01 Sep 2021","31","1.22"
"MFP","01 Sep 2021","32","1.20"
"MFP","01 Sep 2021","33","1.00"
"MFP","01 Sep 2021","34","1.32"
"MFP","01 Sep 2021","35","1.28"
"MFP","01 Sep 2021","36","1.32"
"MFP","01 Sep 2021","37","9.88"
"MFP","01 Sep 2021","38","8.00"
"MFP","01 Sep 2021","39","2.00"
"MFP","01 Sep 2021","40","3.00"
"MFP","01 Sep 2021","41","1.20"
"MFP","01 Sep 2021","42","1.09"
"MFP","01 Sep 2021","43","0.99"
"MFP","01 Sep 2021","44","1.01"
"MFP","01 Sep 2021","45","1.20"
"MFP","01 Sep 2021","46","13.32"
"MFP","01 Sep 2021","47","6.80"
"MFP","01 Sep 2021","48","1.28"
"MFP","02 Sep 2021","1","7.88"
"MFP","02 Sep 2021","2","4.94"
"MFP","02 Sep 2021","3","0.88"
"MFP","02 Sep 2021","4","0.88"
"MFP","02 Sep 2021","5","0.88"
"MFP","02 Sep 2021","6","0.88"
"MFP","02 Sep 2021","7","0.88"
"MFP","02 Sep 2021","8","0.60"
"MFP","02 Sep 2021","9","0.60"
"MFP","02 Sep 2021","10","0.60"
"MFP","02 Sep 2021","11","0.90"
"MFP","02 Sep 2021","12","1.20"
"MFP","02 Sep 2021","13","2.70"
"MFP","02 Sep 2021","14","2.50"
"MFP","02 Sep 2021","15","30.47"
"MFP","02 Sep 2021","16","110.87"
"MFP","02 Sep 2021","17","167.16"
"MFP","02 Sep 2021","18","162.59"
"MFP","02 Sep 2021","19","120.58"
"MFP","02 Sep 2021","20","149.99"
"MFP","02 Sep 2021","21","149.99"
"MFP","02 Sep 2021","22","149.99"
"MFP","02 Sep 2021","23","149.99"
"MFP","02 Sep 2021","24","109.16"
"MFP","02 Sep 2021","25","68.45"
"MFP","02 Sep 2021","26","68.65"
"MFP","02 Sep 2021","27","167.15"
"MFP","02 Sep 2021","28","167.15"
"MFP","02 Sep 2021","29","97.46"
"MFP","02 Sep 2021","30","80.38"
"MFP","02 Sep 2021","31","56.91"
"MFP","02 Sep 2021","32","62.40"
"MFP","02 Sep 2021","33","44.18"
"MFP","02 Sep 2021","34","65.80"
"MFP","02 Sep 2021","35","50.00"
"MFP","02 Sep 2021","36","55.10"
"MFP","02 Sep 2021","37","179.99"
"MFP","02 Sep 2021","38","179.99"
"MFP","02 Sep 2021","39","179.99"
"MFP","02 Sep 2021","40","179.99"
"MFP","02 Sep 2021","41","169.84"
"MFP","02 Sep 2021","42","34.88"
"MFP","02 Sep 2021","43","21.01"
"MFP","02 Sep 2021","44","33.33"
"MFP","02 Sep 2021","45","18.88"
"MFP","02 Sep 2021","46","18.88"
"MFP","02 Sep 2021","47","15.88"
"MFP","02 Sep 2021","48","13.33"
"MFP","03 Sep 2021","1","15.88"
"MFP","03 Sep 2021","2","11.89"
"MFP","03 Sep 2021","3","9.88"
"MFP","03 Sep 2021","4","8.00"
"MFP","03 Sep 2021","5","8.00"
"MFP","03 Sep 2021","6","8.00"
"MFP","03 Sep 2021","7","8.00"
"MFP","03 Sep 2021","8","8.00"
"MFP","03 Sep 2021","9","8.00"
"MFP","03 Sep 2021","10","3.70"
"MFP","03 Sep 2021","11","8.00"
"MFP","03 Sep 2021","12","13.33"
"MFP","03 Sep 2021","13","92.48"
"MFP","03 Sep 2021","14","116.12"
"MFP","03 Sep 2021","15","50.00"
"MFP","03 Sep 2021","16","113.79"
"MFP","03 Sep 2021","17","122.32"
"MFP","03 Sep 2021","18","117.56"
"MFP","03 Sep 2021","19","81.99"
"MFP","03 Sep 2021","20","73.57"
"MFP","03 Sep 2021","21","110.59"
"MFP","03 Sep 2021","22","185.00"
"MFP","03 Sep 2021","23","185.00"
"MFP","03 Sep 2021","24","184.88"
"MFP","03 Sep 2021","25","184.99"
"MFP","03 Sep 2021","26","184.95"
"MFP","03 Sep 2021","27","184.99"
"MFP","03 Sep 2021","28","184.19"
"MFP","03 Sep 2021","29","179.99"
"MFP","03 Sep 2021","30","151.00"
"MFP","03 Sep 2021","31","67.54"
"MFP","03 Sep 2021","32","50.00"
"MFP","03 Sep 2021","33","18.07"
"MFP","03 Sep 2021","34","21.12"
"MFP","03 Sep 2021","35","20.90"
"MFP","03 Sep 2021","36","19.22"
"MFP","03 Sep 2021","37","123.45"
"MFP","03 Sep 2021","38","48.68"
"MFP","03 Sep 2021","39","34.88"
