"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Aug 2021","1","4.69"
"MRP","PRIRESA","01 Aug 2021","2","4.88"
"MRP","PRIRESA","01 Aug 2021","3","3.41"
"MRP","PRIRESA","01 Aug 2021","4","2.00"
"MRP","PRIRESA","01 Aug 2021","5","1.56"
"MRP","PRIRESA","01 Aug 2021","6","0.88"
"MRP","PRIRESA","01 Aug 2021","7","0.97"
"MRP","PRIRESA","01 Aug 2021","8","0.06"
"MRP","PRIRESA","01 Aug 2021","9","0.06"
"MRP","PRIRESA","01 Aug 2021","10","0.06"
"MRP","PRIRESA","01 Aug 2021","11","0.16"
"MRP","PRIRESA","01 Aug 2021","12","0.51"
"MRP","PRIRESA","01 Aug 2021","13","0.16"
"MRP","PRIRESA","01 Aug 2021","14","0.80"
"MRP","PRIRESA","01 Aug 2021","15","0.16"
"MRP","PRIRESA","01 Aug 2021","16","1.49"
"MRP","PRIRESA","01 Aug 2021","17","1.56"
"MRP","PRIRESA","01 Aug 2021","18","1.56"
"MRP","PRIRESA","01 Aug 2021","19","4.30"
"MRP","PRIRESA","01 Aug 2021","20","4.15"
"MRP","PRIRESA","01 Aug 2021","21","1.76"
"MRP","PRIRESA","01 Aug 2021","22","0.06"
"MRP","PRIRESA","01 Aug 2021","23","0.06"
"MRP","PRIRESA","01 Aug 2021","24","0.06"
"MRP","PRIRESA","01 Aug 2021","25","0.06"
"MRP","PRIRESA","01 Aug 2021","26","0.06"
"MRP","PRIRESA","01 Aug 2021","27","0.06"
"MRP","PRIRESA","01 Aug 2021","28","0.06"
"MRP","PRIRESA","01 Aug 2021","29","0.06"
"MRP","PRIRESA","01 Aug 2021","30","0.06"
"MRP","PRIRESA","01 Aug 2021","31","0.06"
"MRP","PRIRESA","01 Aug 2021","32","0.06"
"MRP","PRIRESA","01 Aug 2021","33","0.06"
"MRP","PRIRESA","01 Aug 2021","34","0.08"
"MRP","PRIRESA","01 Aug 2021","35","0.06"
"MRP","PRIRESA","01 Aug 2021","36","0.06"
"MRP","PRIRESA","01 Aug 2021","37","0.06"
"MRP","PRIRESA","01 Aug 2021","38","0.88"
"MRP","PRIRESA","01 Aug 2021","39","0.88"
"MRP","PRIRESA","01 Aug 2021","40","0.16"
"MRP","PRIRESA","01 Aug 2021","41","1.49"
"MRP","PRIRESA","01 Aug 2021","42","1.49"
"MRP","PRIRESA","01 Aug 2021","43","0.06"
"MRP","PRIRESA","01 Aug 2021","44","1.17"
"MRP","PRIRESA","01 Aug 2021","45","0.16"
"MRP","PRIRESA","01 Aug 2021","46","0.08"
"MRP","PRIRESA","01 Aug 2021","47","2.63"
"MRP","PRIRESA","01 Aug 2021","48","0.88"
"MRP","PRIRESB","01 Aug 2021","1","3.99"
"MRP","PRIRESB","01 Aug 2021","2","4.15"
"MRP","PRIRESB","01 Aug 2021","3","2.90"
"MRP","PRIRESB","01 Aug 2021","4","1.70"
"MRP","PRIRESB","01 Aug 2021","5","1.33"
"MRP","PRIRESB","01 Aug 2021","6","0.75"
"MRP","PRIRESB","01 Aug 2021","7","0.82"
"MRP","PRIRESB","01 Aug 2021","8","0.05"
"MRP","PRIRESB","01 Aug 2021","9","0.05"
"MRP","PRIRESB","01 Aug 2021","10","0.05"
"MRP","PRIRESB","01 Aug 2021","11","0.14"
"MRP","PRIRESB","01 Aug 2021","12","0.44"
"MRP","PRIRESB","01 Aug 2021","13","0.14"
"MRP","PRIRESB","01 Aug 2021","14","0.68"
"MRP","PRIRESB","01 Aug 2021","15","0.14"
"MRP","PRIRESB","01 Aug 2021","16","1.27"
"MRP","PRIRESB","01 Aug 2021","17","1.33"
"MRP","PRIRESB","01 Aug 2021","18","1.33"
"MRP","PRIRESB","01 Aug 2021","19","3.65"
"MRP","PRIRESB","01 Aug 2021","20","3.52"
"MRP","PRIRESB","01 Aug 2021","21","1.50"
"MRP","PRIRESB","01 Aug 2021","22","0.05"
"MRP","PRIRESB","01 Aug 2021","23","0.05"
"MRP","PRIRESB","01 Aug 2021","24","0.05"
"MRP","PRIRESB","01 Aug 2021","25","0.05"
"MRP","PRIRESB","01 Aug 2021","26","0.05"
"MRP","PRIRESB","01 Aug 2021","27","0.05"
"MRP","PRIRESB","01 Aug 2021","28","0.05"
"MRP","PRIRESB","01 Aug 2021","29","0.05"
"MRP","PRIRESB","01 Aug 2021","30","0.05"
"MRP","PRIRESB","01 Aug 2021","31","0.05"
"MRP","PRIRESB","01 Aug 2021","32","0.05"
"MRP","PRIRESB","01 Aug 2021","33","0.05"
"MRP","PRIRESB","01 Aug 2021","34","0.07"
"MRP","PRIRESB","01 Aug 2021","35","0.05"
"MRP","PRIRESB","01 Aug 2021","36","0.05"
"MRP","PRIRESB","01 Aug 2021","37","0.05"
"MRP","PRIRESB","01 Aug 2021","38","0.75"
"MRP","PRIRESB","01 Aug 2021","39","0.75"
"MRP","PRIRESB","01 Aug 2021","40","0.14"
"MRP","PRIRESB","01 Aug 2021","41","1.27"
"MRP","PRIRESB","01 Aug 2021","42","1.27"
"MRP","PRIRESB","01 Aug 2021","43","0.05"
"MRP","PRIRESB","01 Aug 2021","44","0.99"
"MRP","PRIRESB","01 Aug 2021","45","0.14"
"MRP","PRIRESB","01 Aug 2021","46","0.07"
"MRP","PRIRESB","01 Aug 2021","47","2.23"
"MRP","PRIRESB","01 Aug 2021","48","0.75"
"MRP","PRIRESC","01 Aug 2021","1","3.52"
"MRP","PRIRESC","01 Aug 2021","2","3.66"
"MRP","PRIRESC","01 Aug 2021","3","2.56"
"MRP","PRIRESC","01 Aug 2021","4","1.50"
"MRP","PRIRESC","01 Aug 2021","5","1.17"
"MRP","PRIRESC","01 Aug 2021","6","0.66"
"MRP","PRIRESC","01 Aug 2021","7","0.73"
"MRP","PRIRESC","01 Aug 2021","8","0.04"
"MRP","PRIRESC","01 Aug 2021","9","0.04"
"MRP","PRIRESC","01 Aug 2021","10","0.04"
"MRP","PRIRESC","01 Aug 2021","11","0.12"
"MRP","PRIRESC","01 Aug 2021","12","0.39"
"MRP","PRIRESC","01 Aug 2021","13","0.12"
"MRP","PRIRESC","01 Aug 2021","14","0.60"
"MRP","PRIRESC","01 Aug 2021","15","0.12"
"MRP","PRIRESC","01 Aug 2021","16","1.12"
"MRP","PRIRESC","01 Aug 2021","17","1.17"
"MRP","PRIRESC","01 Aug 2021","18","1.17"
"MRP","PRIRESC","01 Aug 2021","19","3.22"
"MRP","PRIRESC","01 Aug 2021","20","3.11"
"MRP","PRIRESC","01 Aug 2021","21","1.32"
"MRP","PRIRESC","01 Aug 2021","22","0.04"
"MRP","PRIRESC","01 Aug 2021","23","0.04"
"MRP","PRIRESC","01 Aug 2021","24","0.04"
"MRP","PRIRESC","01 Aug 2021","25","0.04"
"MRP","PRIRESC","01 Aug 2021","26","0.04"
"MRP","PRIRESC","01 Aug 2021","27","0.04"
"MRP","PRIRESC","01 Aug 2021","28","0.04"
"MRP","PRIRESC","01 Aug 2021","29","0.04"
"MRP","PRIRESC","01 Aug 2021","30","0.04"
"MRP","PRIRESC","01 Aug 2021","31","0.04"
"MRP","PRIRESC","01 Aug 2021","32","0.04"
"MRP","PRIRESC","01 Aug 2021","33","0.04"
"MRP","PRIRESC","01 Aug 2021","34","0.06"
"MRP","PRIRESC","01 Aug 2021","35","0.04"
"MRP","PRIRESC","01 Aug 2021","36","0.04"
"MRP","PRIRESC","01 Aug 2021","37","0.04"
"MRP","PRIRESC","01 Aug 2021","38","0.66"
"MRP","PRIRESC","01 Aug 2021","39","0.66"
"MRP","PRIRESC","01 Aug 2021","40","0.12"
"MRP","PRIRESC","01 Aug 2021","41","1.12"
"MRP","PRIRESC","01 Aug 2021","42","1.12"
"MRP","PRIRESC","01 Aug 2021","43","0.04"
"MRP","PRIRESC","01 Aug 2021","44","0.88"
"MRP","PRIRESC","01 Aug 2021","45","0.12"
"MRP","PRIRESC","01 Aug 2021","46","0.06"
"MRP","PRIRESC","01 Aug 2021","47","1.97"
"MRP","PRIRESC","01 Aug 2021","48","0.66"
"MRP","PRIRESD","01 Aug 2021","1","2.82"
"MRP","PRIRESD","01 Aug 2021","2","2.93"
"MRP","PRIRESD","01 Aug 2021","3","2.05"
"MRP","PRIRESD","01 Aug 2021","4","1.20"
"MRP","PRIRESD","01 Aug 2021","5","0.94"
"MRP","PRIRESD","01 Aug 2021","6","0.53"
"MRP","PRIRESD","01 Aug 2021","7","0.58"
"MRP","PRIRESD","01 Aug 2021","8","0.04"
"MRP","PRIRESD","01 Aug 2021","9","0.04"
"MRP","PRIRESD","01 Aug 2021","10","0.04"
"MRP","PRIRESD","01 Aug 2021","11","0.10"
"MRP","PRIRESD","01 Aug 2021","12","0.31"
"MRP","PRIRESD","01 Aug 2021","13","0.10"
"MRP","PRIRESD","01 Aug 2021","14","0.48"
"MRP","PRIRESD","01 Aug 2021","15","0.10"
"MRP","PRIRESD","01 Aug 2021","16","0.90"
"MRP","PRIRESD","01 Aug 2021","17","0.94"
"MRP","PRIRESD","01 Aug 2021","18","0.94"
"MRP","PRIRESD","01 Aug 2021","19","2.58"
"MRP","PRIRESD","01 Aug 2021","20","2.49"
"MRP","PRIRESD","01 Aug 2021","21","1.06"
"MRP","PRIRESD","01 Aug 2021","22","0.04"
"MRP","PRIRESD","01 Aug 2021","23","0.04"
"MRP","PRIRESD","01 Aug 2021","24","0.04"
"MRP","PRIRESD","01 Aug 2021","25","0.04"
"MRP","PRIRESD","01 Aug 2021","26","0.04"
"MRP","PRIRESD","01 Aug 2021","27","0.04"
"MRP","PRIRESD","01 Aug 2021","28","0.04"
"MRP","PRIRESD","01 Aug 2021","29","0.04"
