"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Dec 2021","1","1.88"
"MRP","PRIRESA","01 Dec 2021","2","1.88"
"MRP","PRIRESA","01 Dec 2021","3","2.13"
"MRP","PRIRESA","01 Dec 2021","4","2.13"
"MRP","PRIRESA","01 Dec 2021","5","3.33"
"MRP","PRIRESA","01 Dec 2021","6","3.33"
"MRP","PRIRESA","01 Dec 2021","7","3.33"
"MRP","PRIRESA","01 Dec 2021","8","3.33"
"MRP","PRIRESA","01 Dec 2021","9","3.33"
"MRP","PRIRESA","01 Dec 2021","10","3.33"
"MRP","PRIRESA","01 Dec 2021","11","3.33"
"MRP","PRIRESA","01 Dec 2021","12","3.33"
"MRP","PRIRESA","01 Dec 2021","13","2.13"
"MRP","PRIRESA","01 Dec 2021","14","3.33"
"MRP","PRIRESA","01 Dec 2021","15","3.33"
"MRP","PRIRESA","01 Dec 2021","16","8.88"
"MRP","PRIRESA","01 Dec 2021","17","13.33"
"MRP","PRIRESA","01 Dec 2021","18","4.88"
"MRP","PRIRESA","01 Dec 2021","19","8.88"
"MRP","PRIRESA","01 Dec 2021","20","15.00"
"MRP","PRIRESA","01 Dec 2021","21","3.33"
"MRP","PRIRESA","01 Dec 2021","22","3.33"
"MRP","PRIRESA","01 Dec 2021","23","1.88"
"MRP","PRIRESA","01 Dec 2021","24","1.88"
"MRP","PRIRESA","01 Dec 2021","25","0.14"
"MRP","PRIRESA","01 Dec 2021","26","0.14"
"MRP","PRIRESA","01 Dec 2021","27","0.88"
"MRP","PRIRESA","01 Dec 2021","28","3.33"
"MRP","PRIRESA","01 Dec 2021","29","1.33"
"MRP","PRIRESA","01 Dec 2021","30","1.33"
"MRP","PRIRESA","01 Dec 2021","31","1.33"
"MRP","PRIRESA","01 Dec 2021","32","1.33"
"MRP","PRIRESA","01 Dec 2021","33","1.33"
"MRP","PRIRESA","01 Dec 2021","34","1.33"
"MRP","PRIRESA","01 Dec 2021","35","3.33"
"MRP","PRIRESA","01 Dec 2021","36","1.33"
"MRP","PRIRESA","01 Dec 2021","37","3.33"
"MRP","PRIRESA","01 Dec 2021","38","8.88"
"MRP","PRIRESA","01 Dec 2021","39","4.88"
"MRP","PRIRESA","01 Dec 2021","40","1.88"
"MRP","PRIRESA","01 Dec 2021","41","15.00"
"MRP","PRIRESA","01 Dec 2021","42","1.76"
"MRP","PRIRESA","01 Dec 2021","43","50.00"
"MRP","PRIRESA","01 Dec 2021","44","13.33"
"MRP","PRIRESA","01 Dec 2021","45","3.33"
"MRP","PRIRESA","01 Dec 2021","46","1.88"
"MRP","PRIRESA","01 Dec 2021","47","0.88"
"MRP","PRIRESA","01 Dec 2021","48","0.88"
"MRP","PRIRESB","01 Dec 2021","1","1.60"
"MRP","PRIRESB","01 Dec 2021","2","1.60"
"MRP","PRIRESB","01 Dec 2021","3","1.81"
"MRP","PRIRESB","01 Dec 2021","4","1.81"
"MRP","PRIRESB","01 Dec 2021","5","2.83"
"MRP","PRIRESB","01 Dec 2021","6","2.83"
"MRP","PRIRESB","01 Dec 2021","7","2.83"
"MRP","PRIRESB","01 Dec 2021","8","2.83"
"MRP","PRIRESB","01 Dec 2021","9","2.83"
"MRP","PRIRESB","01 Dec 2021","10","2.83"
"MRP","PRIRESB","01 Dec 2021","11","2.83"
"MRP","PRIRESB","01 Dec 2021","12","2.83"
"MRP","PRIRESB","01 Dec 2021","13","1.81"
"MRP","PRIRESB","01 Dec 2021","14","2.83"
"MRP","PRIRESB","01 Dec 2021","15","2.83"
"MRP","PRIRESB","01 Dec 2021","16","7.55"
"MRP","PRIRESB","01 Dec 2021","17","11.33"
"MRP","PRIRESB","01 Dec 2021","18","4.15"
"MRP","PRIRESB","01 Dec 2021","19","7.55"
"MRP","PRIRESB","01 Dec 2021","20","12.75"
"MRP","PRIRESB","01 Dec 2021","21","2.83"
"MRP","PRIRESB","01 Dec 2021","22","2.83"
"MRP","PRIRESB","01 Dec 2021","23","1.60"
"MRP","PRIRESB","01 Dec 2021","24","1.60"
"MRP","PRIRESB","01 Dec 2021","25","0.12"
"MRP","PRIRESB","01 Dec 2021","26","0.12"
"MRP","PRIRESB","01 Dec 2021","27","0.75"
"MRP","PRIRESB","01 Dec 2021","28","2.83"
"MRP","PRIRESB","01 Dec 2021","29","1.13"
"MRP","PRIRESB","01 Dec 2021","30","1.13"
"MRP","PRIRESB","01 Dec 2021","31","1.13"
"MRP","PRIRESB","01 Dec 2021","32","1.13"
"MRP","PRIRESB","01 Dec 2021","33","1.13"
"MRP","PRIRESB","01 Dec 2021","34","1.13"
"MRP","PRIRESB","01 Dec 2021","35","2.83"
"MRP","PRIRESB","01 Dec 2021","36","1.13"
"MRP","PRIRESB","01 Dec 2021","37","2.83"
"MRP","PRIRESB","01 Dec 2021","38","7.55"
"MRP","PRIRESB","01 Dec 2021","39","4.15"
"MRP","PRIRESB","01 Dec 2021","40","1.60"
"MRP","PRIRESB","01 Dec 2021","41","12.75"
"MRP","PRIRESB","01 Dec 2021","42","1.50"
"MRP","PRIRESB","01 Dec 2021","43","42.50"
"MRP","PRIRESB","01 Dec 2021","44","11.33"
"MRP","PRIRESB","01 Dec 2021","45","2.83"
"MRP","PRIRESB","01 Dec 2021","46","1.60"
"MRP","PRIRESB","01 Dec 2021","47","0.75"
"MRP","PRIRESB","01 Dec 2021","48","0.75"
"MRP","PRIRESC","01 Dec 2021","1","1.41"
"MRP","PRIRESC","01 Dec 2021","2","1.41"
"MRP","PRIRESC","01 Dec 2021","3","1.60"
"MRP","PRIRESC","01 Dec 2021","4","1.60"
"MRP","PRIRESC","01 Dec 2021","5","2.50"
"MRP","PRIRESC","01 Dec 2021","6","2.50"
"MRP","PRIRESC","01 Dec 2021","7","2.50"
"MRP","PRIRESC","01 Dec 2021","8","2.50"
"MRP","PRIRESC","01 Dec 2021","9","2.50"
"MRP","PRIRESC","01 Dec 2021","10","2.50"
"MRP","PRIRESC","01 Dec 2021","11","2.50"
"MRP","PRIRESC","01 Dec 2021","12","2.50"
"MRP","PRIRESC","01 Dec 2021","13","1.60"
"MRP","PRIRESC","01 Dec 2021","14","2.50"
"MRP","PRIRESC","01 Dec 2021","15","2.50"
"MRP","PRIRESC","01 Dec 2021","16","6.66"
"MRP","PRIRESC","01 Dec 2021","17","10.00"
"MRP","PRIRESC","01 Dec 2021","18","3.66"
"MRP","PRIRESC","01 Dec 2021","19","6.66"
"MRP","PRIRESC","01 Dec 2021","20","11.25"
"MRP","PRIRESC","01 Dec 2021","21","2.50"
"MRP","PRIRESC","01 Dec 2021","22","2.50"
"MRP","PRIRESC","01 Dec 2021","23","1.41"
"MRP","PRIRESC","01 Dec 2021","24","1.41"
"MRP","PRIRESC","01 Dec 2021","25","0.11"
"MRP","PRIRESC","01 Dec 2021","26","0.11"
"MRP","PRIRESC","01 Dec 2021","27","0.66"
"MRP","PRIRESC","01 Dec 2021","28","2.50"
"MRP","PRIRESC","01 Dec 2021","29","1.00"
"MRP","PRIRESC","01 Dec 2021","30","1.00"
"MRP","PRIRESC","01 Dec 2021","31","1.00"
"MRP","PRIRESC","01 Dec 2021","32","1.00"
"MRP","PRIRESC","01 Dec 2021","33","1.00"
"MRP","PRIRESC","01 Dec 2021","34","1.00"
"MRP","PRIRESC","01 Dec 2021","35","2.50"
"MRP","PRIRESC","01 Dec 2021","36","1.00"
"MRP","PRIRESC","01 Dec 2021","37","2.50"
"MRP","PRIRESC","01 Dec 2021","38","6.66"
"MRP","PRIRESC","01 Dec 2021","39","3.66"
"MRP","PRIRESC","01 Dec 2021","40","1.41"
"MRP","PRIRESC","01 Dec 2021","41","11.25"
"MRP","PRIRESC","01 Dec 2021","42","1.32"
"MRP","PRIRESC","01 Dec 2021","43","37.50"
"MRP","PRIRESC","01 Dec 2021","44","10.00"
"MRP","PRIRESC","01 Dec 2021","45","2.50"
"MRP","PRIRESC","01 Dec 2021","46","1.41"
"MRP","PRIRESC","01 Dec 2021","47","0.66"
"MRP","PRIRESC","01 Dec 2021","48","0.66"
"MRP","PRIRESD","01 Dec 2021","1","1.13"
"MRP","PRIRESD","01 Dec 2021","2","1.13"
"MRP","PRIRESD","01 Dec 2021","3","1.28"
"MRP","PRIRESD","01 Dec 2021","4","1.28"
"MRP","PRIRESD","01 Dec 2021","5","2.00"
"MRP","PRIRESD","01 Dec 2021","6","2.00"
"MRP","PRIRESD","01 Dec 2021","7","2.00"
"MRP","PRIRESD","01 Dec 2021","8","2.00"
"MRP","PRIRESD","01 Dec 2021","9","2.00"
"MRP","PRIRESD","01 Dec 2021","10","2.00"
"MRP","PRIRESD","01 Dec 2021","11","2.00"
"MRP","PRIRESD","01 Dec 2021","12","2.00"
"MRP","PRIRESD","01 Dec 2021","13","1.28"
"MRP","PRIRESD","01 Dec 2021","14","2.00"
"MRP","PRIRESD","01 Dec 2021","15","2.00"
"MRP","PRIRESD","01 Dec 2021","16","5.33"
"MRP","PRIRESD","01 Dec 2021","17","8.00"
"MRP","PRIRESD","01 Dec 2021","18","2.93"
"MRP","PRIRESD","01 Dec 2021","19","5.33"
"MRP","PRIRESD","01 Dec 2021","20","9.00"
"MRP","PRIRESD","01 Dec 2021","21","2.00"
"MRP","PRIRESD","01 Dec 2021","22","2.00"
"MRP","PRIRESD","01 Dec 2021","23","1.13"
"MRP","PRIRESD","01 Dec 2021","24","1.13"
"MRP","PRIRESD","01 Dec 2021","25","0.08"
"MRP","PRIRESD","01 Dec 2021","26","0.08"
"MRP","PRIRESD","01 Dec 2021","27","0.53"
"MRP","PRIRESD","01 Dec 2021","28","2.00"
"MRP","PRIRESD","01 Dec 2021","29","0.80"
"MRP","PRIRESD","01 Dec 2021","30","0.80"
"MRP","PRIRESD","01 Dec 2021","31","0.80"
"MRP","PRIRESD","01 Dec 2021","32","0.80"
"MRP","PRIRESD","01 Dec 2021","33","0.80"
"MRP","PRIRESD","01 Dec 2021","34","0.80"
"MRP","PRIRESD","01 Dec 2021","35","2.00"
"MRP","PRIRESD","01 Dec 2021","36","0.80"
"MRP","PRIRESD","01 Dec 2021","37","2.00"
"MRP","PRIRESD","01 Dec 2021","38","5.33"
"MRP","PRIRESD","01 Dec 2021","39","2.93"
"MRP","PRIRESD","01 Dec 2021","40","1.13"
"MRP","PRIRESD","01 Dec 2021","41","9.00"
"MRP","PRIRESD","01 Dec 2021","42","1.06"
"MRP","PRIRESD","01 Dec 2021","43","30.00"
"MRP","PRIRESD","01 Dec 2021","44","8.00"
"MRP","PRIRESD","01 Dec 2021","45","2.00"
"MRP","PRIRESD","01 Dec 2021","46","1.13"
"MRP","PRIRESD","01 Dec 2021","47","0.53"
"MRP","PRIRESD","01 Dec 2021","48","0.53"
"MRP","PRIRESE","01 Dec 2021","1","0.47"
"MRP","PRIRESE","01 Dec 2021","2","0.47"
"MRP","PRIRESE","01 Dec 2021","3","0.53"
"MRP","PRIRESE","01 Dec 2021","4","0.53"
"MRP","PRIRESE","01 Dec 2021","5","0.83"
"MRP","PRIRESE","01 Dec 2021","6","0.83"
"MRP","PRIRESE","01 Dec 2021","7","0.83"
"MRP","PRIRESE","01 Dec 2021","8","0.83"
"MRP","PRIRESE","01 Dec 2021","9","0.83"
"MRP","PRIRESE","01 Dec 2021","10","0.83"
"MRP","PRIRESE","01 Dec 2021","11","0.83"
"MRP","PRIRESE","01 Dec 2021","12","0.83"
"MRP","PRIRESE","01 Dec 2021","13","0.53"
"MRP","PRIRESE","01 Dec 2021","14","0.83"
"MRP","PRIRESE","01 Dec 2021","15","0.83"
"MRP","PRIRESE","01 Dec 2021","16","2.22"
"MRP","PRIRESE","01 Dec 2021","17","3.33"
"MRP","PRIRESE","01 Dec 2021","18","1.22"
"MRP","PRIRESE","01 Dec 2021","19","2.22"
"MRP","PRIRESE","01 Dec 2021","20","3.75"
"MRP","PRIRESE","01 Dec 2021","21","0.83"
"MRP","PRIRESE","01 Dec 2021","22","0.83"
"MRP","PRIRESE","01 Dec 2021","23","0.47"
"MRP","PRIRESE","01 Dec 2021","24","0.47"
"MRP","PRIRESE","01 Dec 2021","25","0.04"
"MRP","PRIRESE","01 Dec 2021","26","0.04"
"MRP","PRIRESE","01 Dec 2021","27","0.22"
"MRP","PRIRESE","01 Dec 2021","28","0.83"
"MRP","PRIRESE","01 Dec 2021","29","0.33"
"MRP","PRIRESE","01 Dec 2021","30","0.33"
"MRP","PRIRESE","01 Dec 2021","31","0.33"
"MRP","PRIRESE","01 Dec 2021","32","0.33"
"MRP","PRIRESE","01 Dec 2021","33","0.33"
"MRP","PRIRESE","01 Dec 2021","34","0.33"
"MRP","PRIRESE","01 Dec 2021","35","0.83"
"MRP","PRIRESE","01 Dec 2021","36","0.33"
"MRP","PRIRESE","01 Dec 2021","37","0.83"
"MRP","PRIRESE","01 Dec 2021","38","2.22"
"MRP","PRIRESE","01 Dec 2021","39","1.22"
"MRP","PRIRESE","01 Dec 2021","40","0.47"
"MRP","PRIRESE","01 Dec 2021","41","3.75"
"MRP","PRIRESE","01 Dec 2021","42","0.44"
"MRP","PRIRESE","01 Dec 2021","43","12.50"
"MRP","PRIRESE","01 Dec 2021","44","3.33"
"MRP","PRIRESE","01 Dec 2021","45","0.83"
"MRP","PRIRESE","01 Dec 2021","46","0.47"
"MRP","PRIRESE","01 Dec 2021","47","0.22"
"MRP","PRIRESE","01 Dec 2021","48","0.22"
"MRP","CONRESA","01 Dec 2021","1","20.00"
"MRP","CONRESA","01 Dec 2021","2","20.00"
"MRP","CONRESA","01 Dec 2021","3","15.15"
"MRP","CONRESA","01 Dec 2021","4","10.00"
"MRP","CONRESA","01 Dec 2021","5","7.29"
"MRP","CONRESA","01 Dec 2021","6","7.29"
"MRP","CONRESA","01 Dec 2021","7","7.29"
"MRP","CONRESA","01 Dec 2021","8","7.29"
"MRP","CONRESA","01 Dec 2021","9","7.29"
"MRP","CONRESA","01 Dec 2021","10","7.29"
"MRP","CONRESA","01 Dec 2021","11","7.29"
"MRP","CONRESA","01 Dec 2021","12","10.00"
"MRP","CONRESA","01 Dec 2021","13","10.00"
"MRP","CONRESA","01 Dec 2021","14","15.15"
"MRP","CONRESA","01 Dec 2021","15","20.00"
"MRP","CONRESA","01 Dec 2021","16","183.83"
"MRP","CONRESA","01 Dec 2021","17","183.83"
"MRP","CONRESA","01 Dec 2021","18","183.83"
"MRP","CONRESA","01 Dec 2021","19","183.83"
"MRP","CONRESA","01 Dec 2021","20","183.83"
"MRP","CONRESA","01 Dec 2021","21","183.83"
"MRP","CONRESA","01 Dec 2021","22","183.83"
"MRP","CONRESA","01 Dec 2021","23","183.83"
"MRP","CONRESA","01 Dec 2021","24","183.83"
"MRP","CONRESA","01 Dec 2021","25","183.83"
"MRP","CONRESA","01 Dec 2021","26","180.00"
"MRP","CONRESA","01 Dec 2021","27","183.83"
"MRP","CONRESA","01 Dec 2021","28","183.83"
"MRP","CONRESA","01 Dec 2021","29","183.83"
"MRP","CONRESA","01 Dec 2021","30","183.83"
"MRP","CONRESA","01 Dec 2021","31","183.83"
"MRP","CONRESA","01 Dec 2021","32","183.83"
"MRP","CONRESA","01 Dec 2021","33","183.83"
"MRP","CONRESA","01 Dec 2021","34","183.83"
"MRP","CONRESA","01 Dec 2021","35","183.83"
"MRP","CONRESA","01 Dec 2021","36","183.83"
"MRP","CONRESA","01 Dec 2021","37","183.83"
"MRP","CONRESA","01 Dec 2021","38","183.83"
"MRP","CONRESA","01 Dec 2021","39","183.83"
"MRP","CONRESA","01 Dec 2021","40","183.83"
"MRP","CONRESA","01 Dec 2021","41","183.83"
"MRP","CONRESA","01 Dec 2021","42","183.83"
"MRP","CONRESA","01 Dec 2021","43","183.83"
"MRP","CONRESA","01 Dec 2021","44","180.00"
"MRP","CONRESA","01 Dec 2021","45","22.48"
"MRP","CONRESA","01 Dec 2021","46","20.00"
"MRP","CONRESA","01 Dec 2021","47","3.33"
"MRP","CONRESA","01 Dec 2021","48","4.00"
"MRP","CONRESB","01 Dec 2021","1","17.00"
"MRP","CONRESB","01 Dec 2021","2","17.00"
"MRP","CONRESB","01 Dec 2021","3","12.88"
"MRP","CONRESB","01 Dec 2021","4","8.50"
"MRP","CONRESB","01 Dec 2021","5","6.20"
"MRP","CONRESB","01 Dec 2021","6","6.20"
"MRP","CONRESB","01 Dec 2021","7","6.20"
"MRP","CONRESB","01 Dec 2021","8","6.20"
"MRP","CONRESB","01 Dec 2021","9","6.20"
"MRP","CONRESB","01 Dec 2021","10","6.20"
"MRP","CONRESB","01 Dec 2021","11","6.20"
"MRP","CONRESB","01 Dec 2021","12","8.50"
"MRP","CONRESB","01 Dec 2021","13","8.50"
"MRP","CONRESB","01 Dec 2021","14","12.88"
"MRP","CONRESB","01 Dec 2021","15","17.00"
"MRP","CONRESB","01 Dec 2021","16","156.26"
"MRP","CONRESB","01 Dec 2021","17","156.26"
"MRP","CONRESB","01 Dec 2021","18","156.26"
"MRP","CONRESB","01 Dec 2021","19","156.26"
"MRP","CONRESB","01 Dec 2021","20","156.26"
"MRP","CONRESB","01 Dec 2021","21","156.26"
"MRP","CONRESB","01 Dec 2021","22","156.26"
"MRP","CONRESB","01 Dec 2021","23","156.26"
"MRP","CONRESB","01 Dec 2021","24","156.26"
"MRP","CONRESB","01 Dec 2021","25","156.26"
"MRP","CONRESB","01 Dec 2021","26","153.00"
"MRP","CONRESB","01 Dec 2021","27","156.26"
"MRP","CONRESB","01 Dec 2021","28","156.26"
"MRP","CONRESB","01 Dec 2021","29","156.26"
