"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Jan 2021","1","0.01"
"MRP","PRIRESA","01 Jan 2021","2","0.88"
"MRP","PRIRESA","01 Jan 2021","3","0.96"
"MRP","PRIRESA","01 Jan 2021","4","1.56"
"MRP","PRIRESA","01 Jan 2021","5","3.92"
"MRP","PRIRESA","01 Jan 2021","6","3.92"
"MRP","PRIRESA","01 Jan 2021","7","6.20"
"MRP","PRIRESA","01 Jan 2021","8","4.88"
"MRP","PRIRESA","01 Jan 2021","9","4.31"
"MRP","PRIRESA","01 Jan 2021","10","4.31"
"MRP","PRIRESA","01 Jan 2021","11","4.31"
"MRP","PRIRESA","01 Jan 2021","12","3.92"
"MRP","PRIRESA","01 Jan 2021","13","3.92"
"MRP","PRIRESA","01 Jan 2021","14","3.92"
"MRP","PRIRESA","01 Jan 2021","15","2.72"
"MRP","PRIRESA","01 Jan 2021","16","1.88"
"MRP","PRIRESA","01 Jan 2021","17","1.56"
"MRP","PRIRESA","01 Jan 2021","18","1.56"
"MRP","PRIRESA","01 Jan 2021","19","1.56"
"MRP","PRIRESA","01 Jan 2021","20","1.56"
"MRP","PRIRESA","01 Jan 2021","21","1.56"
"MRP","PRIRESA","01 Jan 2021","22","0.99"
"MRP","PRIRESA","01 Jan 2021","23","1.56"
"MRP","PRIRESA","01 Jan 2021","24","1.56"
"MRP","PRIRESA","01 Jan 2021","25","1.56"
"MRP","PRIRESA","01 Jan 2021","26","1.56"
"MRP","PRIRESA","01 Jan 2021","27","1.56"
"MRP","PRIRESA","01 Jan 2021","28","1.56"
"MRP","PRIRESA","01 Jan 2021","29","1.56"
"MRP","PRIRESA","01 Jan 2021","30","1.56"
"MRP","PRIRESA","01 Jan 2021","31","1.56"
"MRP","PRIRESA","01 Jan 2021","32","1.56"
"MRP","PRIRESA","01 Jan 2021","33","1.56"
"MRP","PRIRESA","01 Jan 2021","34","1.56"
"MRP","PRIRESA","01 Jan 2021","35","1.56"
"MRP","PRIRESA","01 Jan 2021","36","1.56"
"MRP","PRIRESA","01 Jan 2021","37","1.56"
"MRP","PRIRESA","01 Jan 2021","38","1.56"
"MRP","PRIRESA","01 Jan 2021","39","0.96"
"MRP","PRIRESA","01 Jan 2021","40","0.99"
"MRP","PRIRESA","01 Jan 2021","41","0.96"
"MRP","PRIRESA","01 Jan 2021","42","0.99"
"MRP","PRIRESA","01 Jan 2021","43","0.96"
"MRP","PRIRESA","01 Jan 2021","44","0.96"
"MRP","PRIRESA","01 Jan 2021","45","2.13"
"MRP","PRIRESA","01 Jan 2021","46","2.32"
"MRP","PRIRESA","01 Jan 2021","47","1.56"
"MRP","PRIRESA","01 Jan 2021","48","1.56"
"MRP","PRIRESB","01 Jan 2021","1","0.01"
