"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Mar 2021","1","1.88"
"MRP","PRIRESA","01 Mar 2021","2","1.88"
"MRP","PRIRESA","01 Mar 2021","3","1.88"
"MRP","PRIRESA","01 Mar 2021","4","1.56"
"MRP","PRIRESA","01 Mar 2021","5","1.56"
"MRP","PRIRESA","01 Mar 2021","6","1.56"
"MRP","PRIRESA","01 Mar 2021","7","1.56"
"MRP","PRIRESA","01 Mar 2021","8","1.56"
"MRP","PRIRESA","01 Mar 2021","9","1.56"
"MRP","PRIRESA","01 Mar 2021","10","1.33"
"MRP","PRIRESA","01 Mar 2021","11","1.76"
"MRP","PRIRESA","01 Mar 2021","12","1.88"
"MRP","PRIRESA","01 Mar 2021","13","1.56"
"MRP","PRIRESA","01 Mar 2021","14","1.56"
"MRP","PRIRESA","01 Mar 2021","15","1.32"
"MRP","PRIRESA","01 Mar 2021","16","1.32"
"MRP","PRIRESA","01 Mar 2021","17","1.32"
"MRP","PRIRESA","01 Mar 2021","18","1.32"
"MRP","PRIRESA","01 Mar 2021","19","0.14"
"MRP","PRIRESA","01 Mar 2021","20","0.59"
"MRP","PRIRESA","01 Mar 2021","21","0.07"
"MRP","PRIRESA","01 Mar 2021","22","0.14"
"MRP","PRIRESA","01 Mar 2021","23","0.14"
"MRP","PRIRESA","01 Mar 2021","24","0.14"
"MRP","PRIRESA","01 Mar 2021","25","0.07"
"MRP","PRIRESA","01 Mar 2021","26","0.08"
"MRP","PRIRESA","01 Mar 2021","27","0.14"
"MRP","PRIRESA","01 Mar 2021","28","0.14"
"MRP","PRIRESA","01 Mar 2021","29","1.32"
"MRP","PRIRESA","01 Mar 2021","30","1.20"
"MRP","PRIRESA","01 Mar 2021","31","1.32"
"MRP","PRIRESA","01 Mar 2021","32","1.32"
"MRP","PRIRESA","01 Mar 2021","33","1.32"
"MRP","PRIRESA","01 Mar 2021","34","1.56"
"MRP","PRIRESA","01 Mar 2021","35","0.88"
"MRP","PRIRESA","01 Mar 2021","36","0.14"
"MRP","PRIRESA","01 Mar 2021","37","0.14"
"MRP","PRIRESA","01 Mar 2021","38","0.14"
"MRP","PRIRESA","01 Mar 2021","39","0.07"
"MRP","PRIRESA","01 Mar 2021","40","0.14"
"MRP","PRIRESA","01 Mar 2021","41","0.14"
"MRP","PRIRESA","01 Mar 2021","42","0.06"
"MRP","PRIRESA","01 Mar 2021","43","0.05"
"MRP","PRIRESA","01 Mar 2021","44","0.06"
"MRP","PRIRESA","01 Mar 2021","45","0.06"
"MRP","PRIRESA","01 Mar 2021","46","0.39"
"MRP","PRIRESA","01 Mar 2021","47","0.07"
"MRP","PRIRESA","01 Mar 2021","48","0.72"
"MRP","PRIRESB","01 Mar 2021","1","1.60"
"MRP","PRIRESB","01 Mar 2021","2","1.60"
"MRP","PRIRESB","01 Mar 2021","3","1.60"
"MRP","PRIRESB","01 Mar 2021","4","1.33"
"MRP","PRIRESB","01 Mar 2021","5","1.33"
"MRP","PRIRESB","01 Mar 2021","6","1.33"
"MRP","PRIRESB","01 Mar 2021","7","1.33"
"MRP","PRIRESB","01 Mar 2021","8","1.33"
"MRP","PRIRESB","01 Mar 2021","9","1.33"
"MRP","PRIRESB","01 Mar 2021","10","1.13"
"MRP","PRIRESB","01 Mar 2021","11","1.50"
"MRP","PRIRESB","01 Mar 2021","12","1.60"
"MRP","PRIRESB","01 Mar 2021","13","1.33"
"MRP","PRIRESB","01 Mar 2021","14","1.33"
"MRP","PRIRESB","01 Mar 2021","15","1.12"
"MRP","PRIRESB","01 Mar 2021","16","1.12"
"MRP","PRIRESB","01 Mar 2021","17","1.12"
"MRP","PRIRESB","01 Mar 2021","18","1.12"
"MRP","PRIRESB","01 Mar 2021","19","0.12"
"MRP","PRIRESB","01 Mar 2021","20","0.50"
"MRP","PRIRESB","01 Mar 2021","21","0.06"
"MRP","PRIRESB","01 Mar 2021","22","0.12"
"MRP","PRIRESB","01 Mar 2021","23","0.12"
"MRP","PRIRESB","01 Mar 2021","24","0.12"
"MRP","PRIRESB","01 Mar 2021","25","0.06"
"MRP","PRIRESB","01 Mar 2021","26","0.07"
"MRP","PRIRESB","01 Mar 2021","27","0.12"
"MRP","PRIRESB","01 Mar 2021","28","0.12"
"MRP","PRIRESB","01 Mar 2021","29","1.12"
"MRP","PRIRESB","01 Mar 2021","30","1.02"
"MRP","PRIRESB","01 Mar 2021","31","1.12"
"MRP","PRIRESB","01 Mar 2021","32","1.12"
"MRP","PRIRESB","01 Mar 2021","33","1.12"
"MRP","PRIRESB","01 Mar 2021","34","1.33"
"MRP","PRIRESB","01 Mar 2021","35","0.75"
"MRP","PRIRESB","01 Mar 2021","36","0.12"
"MRP","PRIRESB","01 Mar 2021","37","0.12"
"MRP","PRIRESB","01 Mar 2021","38","0.12"
"MRP","PRIRESB","01 Mar 2021","39","0.06"
"MRP","PRIRESB","01 Mar 2021","40","0.12"
"MRP","PRIRESB","01 Mar 2021","41","0.12"
"MRP","PRIRESB","01 Mar 2021","42","0.05"
"MRP","PRIRESB","01 Mar 2021","43","0.04"
"MRP","PRIRESB","01 Mar 2021","44","0.05"
"MRP","PRIRESB","01 Mar 2021","45","0.05"
"MRP","PRIRESB","01 Mar 2021","46","0.33"
"MRP","PRIRESB","01 Mar 2021","47","0.06"
"MRP","PRIRESB","01 Mar 2021","48","0.61"
"MRP","PRIRESC","01 Mar 2021","1","1.41"
"MRP","PRIRESC","01 Mar 2021","2","1.41"
"MRP","PRIRESC","01 Mar 2021","3","1.41"
"MRP","PRIRESC","01 Mar 2021","4","1.17"
"MRP","PRIRESC","01 Mar 2021","5","1.17"
"MRP","PRIRESC","01 Mar 2021","6","1.17"
"MRP","PRIRESC","01 Mar 2021","7","1.17"
"MRP","PRIRESC","01 Mar 2021","8","1.17"
"MRP","PRIRESC","01 Mar 2021","9","1.17"
"MRP","PRIRESC","01 Mar 2021","10","1.00"
"MRP","PRIRESC","01 Mar 2021","11","1.32"
"MRP","PRIRESC","01 Mar 2021","12","1.41"
"MRP","PRIRESC","01 Mar 2021","13","1.17"
"MRP","PRIRESC","01 Mar 2021","14","1.17"
"MRP","PRIRESC","01 Mar 2021","15","0.99"
"MRP","PRIRESC","01 Mar 2021","16","0.99"
"MRP","PRIRESC","01 Mar 2021","17","0.99"
"MRP","PRIRESC","01 Mar 2021","18","0.99"
"MRP","PRIRESC","01 Mar 2021","19","0.11"
"MRP","PRIRESC","01 Mar 2021","20","0.44"
"MRP","PRIRESC","01 Mar 2021","21","0.05"
"MRP","PRIRESC","01 Mar 2021","22","0.11"
"MRP","PRIRESC","01 Mar 2021","23","0.11"
"MRP","PRIRESC","01 Mar 2021","24","0.11"
"MRP","PRIRESC","01 Mar 2021","25","0.05"
"MRP","PRIRESC","01 Mar 2021","26","0.06"
"MRP","PRIRESC","01 Mar 2021","27","0.11"
"MRP","PRIRESC","01 Mar 2021","28","0.11"
"MRP","PRIRESC","01 Mar 2021","29","0.99"
"MRP","PRIRESC","01 Mar 2021","30","0.90"
"MRP","PRIRESC","01 Mar 2021","31","0.99"
"MRP","PRIRESC","01 Mar 2021","32","0.99"
"MRP","PRIRESC","01 Mar 2021","33","0.99"
"MRP","PRIRESC","01 Mar 2021","34","1.17"
"MRP","PRIRESC","01 Mar 2021","35","0.66"
"MRP","PRIRESC","01 Mar 2021","36","0.11"
"MRP","PRIRESC","01 Mar 2021","37","0.11"
"MRP","PRIRESC","01 Mar 2021","38","0.11"
"MRP","PRIRESC","01 Mar 2021","39","0.05"
"MRP","PRIRESC","01 Mar 2021","40","0.11"
"MRP","PRIRESC","01 Mar 2021","41","0.11"
"MRP","PRIRESC","01 Mar 2021","42","0.04"
"MRP","PRIRESC","01 Mar 2021","43","0.04"
"MRP","PRIRESC","01 Mar 2021","44","0.04"
"MRP","PRIRESC","01 Mar 2021","45","0.04"
"MRP","PRIRESC","01 Mar 2021","46","0.29"
"MRP","PRIRESC","01 Mar 2021","47","0.05"
"MRP","PRIRESC","01 Mar 2021","48","0.54"
"MRP","PRIRESD","01 Mar 2021","1","1.13"
"MRP","PRIRESD","01 Mar 2021","2","1.13"
"MRP","PRIRESD","01 Mar 2021","3","1.13"
"MRP","PRIRESD","01 Mar 2021","4","0.94"
"MRP","PRIRESD","01 Mar 2021","5","0.94"
"MRP","PRIRESD","01 Mar 2021","6","0.94"
"MRP","PRIRESD","01 Mar 2021","7","0.94"
"MRP","PRIRESD","01 Mar 2021","8","0.94"
"MRP","PRIRESD","01 Mar 2021","9","0.94"
"MRP","PRIRESD","01 Mar 2021","10","0.80"
"MRP","PRIRESD","01 Mar 2021","11","1.06"
