"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESA","01 Oct 2021","1","0.80"
"MRP","PRIRESA","01 Oct 2021","2","0.88"
"MRP","PRIRESA","01 Oct 2021","3","1.49"
"MRP","PRIRESA","01 Oct 2021","4","1.49"
"MRP","PRIRESA","01 Oct 2021","5","1.49"
"MRP","PRIRESA","01 Oct 2021","6","1.49"
"MRP","PRIRESA","01 Oct 2021","7","1.49"
"MRP","PRIRESA","01 Oct 2021","8","1.49"
"MRP","PRIRESA","01 Oct 2021","9","1.49"
"MRP","PRIRESA","01 Oct 2021","10","1.49"
"MRP","PRIRESA","01 Oct 2021","11","1.49"
"MRP","PRIRESA","01 Oct 2021","12","0.06"
"MRP","PRIRESA","01 Oct 2021","13","0.01"
"MRP","PRIRESA","01 Oct 2021","14","0.02"
"MRP","PRIRESA","01 Oct 2021","15","0.06"
"MRP","PRIRESA","01 Oct 2021","16","0.06"
"MRP","PRIRESA","01 Oct 2021","17","0.02"
"MRP","PRIRESA","01 Oct 2021","18","0.01"
"MRP","PRIRESA","01 Oct 2021","19","0.01"
"MRP","PRIRESA","01 Oct 2021","20","0.01"
"MRP","PRIRESA","01 Oct 2021","21","0.01"
"MRP","PRIRESA","01 Oct 2021","22","0.01"
"MRP","PRIRESA","01 Oct 2021","23","0.01"
"MRP","PRIRESA","01 Oct 2021","24","0.01"
"MRP","PRIRESA","01 Oct 2021","25","0.01"
"MRP","PRIRESA","01 Oct 2021","26","0.01"
"MRP","PRIRESA","01 Oct 2021","27","0.01"
"MRP","PRIRESA","01 Oct 2021","28","0.01"
"MRP","PRIRESA","01 Oct 2021","29","0.01"
"MRP","PRIRESA","01 Oct 2021","30","0.01"
"MRP","PRIRESA","01 Oct 2021","31","0.01"
"MRP","PRIRESA","01 Oct 2021","32","0.01"
"MRP","PRIRESA","01 Oct 2021","33","0.01"
"MRP","PRIRESA","01 Oct 2021","34","0.01"
"MRP","PRIRESA","01 Oct 2021","35","0.01"
"MRP","PRIRESA","01 Oct 2021","36","0.01"
"MRP","PRIRESA","01 Oct 2021","37","0.01"
"MRP","PRIRESA","01 Oct 2021","38","0.01"
"MRP","PRIRESA","01 Oct 2021","39","0.01"
"MRP","PRIRESA","01 Oct 2021","40","0.01"
"MRP","PRIRESA","01 Oct 2021","41","0.01"
"MRP","PRIRESA","01 Oct 2021","42","0.01"
"MRP","PRIRESA","01 Oct 2021","43","0.01"
"MRP","PRIRESA","01 Oct 2021","44","0.06"
"MRP","PRIRESA","01 Oct 2021","45","0.08"
"MRP","PRIRESA","01 Oct 2021","46","0.06"
"MRP","PRIRESA","01 Oct 2021","47","0.02"
"MRP","PRIRESA","01 Oct 2021","48","0.01"
"MRP","PRIRESB","01 Oct 2021","1","0.68"
"MRP","PRIRESB","01 Oct 2021","2","0.75"
"MRP","PRIRESB","01 Oct 2021","3","1.27"
"MRP","PRIRESB","01 Oct 2021","4","1.27"
"MRP","PRIRESB","01 Oct 2021","5","1.27"
"MRP","PRIRESB","01 Oct 2021","6","1.27"
"MRP","PRIRESB","01 Oct 2021","7","1.27"
"MRP","PRIRESB","01 Oct 2021","8","1.27"
"MRP","PRIRESB","01 Oct 2021","9","1.27"
"MRP","PRIRESB","01 Oct 2021","10","1.27"
"MRP","PRIRESB","01 Oct 2021","11","1.27"
"MRP","PRIRESB","01 Oct 2021","12","0.05"
"MRP","PRIRESB","01 Oct 2021","13","0.01"
"MRP","PRIRESB","01 Oct 2021","14","0.02"
"MRP","PRIRESB","01 Oct 2021","15","0.05"
"MRP","PRIRESB","01 Oct 2021","16","0.05"
"MRP","PRIRESB","01 Oct 2021","17","0.02"
"MRP","PRIRESB","01 Oct 2021","18","0.01"
"MRP","PRIRESB","01 Oct 2021","19","0.01"
"MRP","PRIRESB","01 Oct 2021","20","0.01"
"MRP","PRIRESB","01 Oct 2021","21","0.01"
"MRP","PRIRESB","01 Oct 2021","22","0.01"
"MRP","PRIRESB","01 Oct 2021","23","0.01"
"MRP","PRIRESB","01 Oct 2021","24","0.01"
"MRP","PRIRESB","01 Oct 2021","25","0.01"
"MRP","PRIRESB","01 Oct 2021","26","0.01"
"MRP","PRIRESB","01 Oct 2021","27","0.01"
"MRP","PRIRESB","01 Oct 2021","28","0.01"
"MRP","PRIRESB","01 Oct 2021","29","0.01"
"MRP","PRIRESB","01 Oct 2021","30","0.01"
"MRP","PRIRESB","01 Oct 2021","31","0.01"
"MRP","PRIRESB","01 Oct 2021","32","0.01"
"MRP","PRIRESB","01 Oct 2021","33","0.01"
"MRP","PRIRESB","01 Oct 2021","34","0.01"
"MRP","PRIRESB","01 Oct 2021","35","0.01"
"MRP","PRIRESB","01 Oct 2021","36","0.01"
"MRP","PRIRESB","01 Oct 2021","37","0.01"
"MRP","PRIRESB","01 Oct 2021","38","0.01"
"MRP","PRIRESB","01 Oct 2021","39","0.01"
"MRP","PRIRESB","01 Oct 2021","40","0.01"
