"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Apr 2021","1","92.85","0.00","5599.928","0.000"
"USEP","01 Apr 2021","2","91.73","0.00","5505.358","0.000"
"USEP","01 Apr 2021","3","91.73","0.00","5479.047","0.000"
"USEP","01 Apr 2021","4","87.36","0.00","5415.357","0.000"
"USEP","01 Apr 2021","5","87.24","0.00","5371.571","0.000"
"USEP","01 Apr 2021","6","86.21","0.00","5328.282","0.000"
"USEP","01 Apr 2021","7","86.21","0.00","5305.659","0.000"
"USEP","01 Apr 2021","8","86.32","0.00","5297.533","0.000"
"USEP","01 Apr 2021","9","85.41","0.00","5291.549","0.000"
"USEP","01 Apr 2021","10","86.32","0.00","5302.155","0.000"
"USEP","01 Apr 2021","11","87.80","0.00","5398.469","0.000"
"USEP","01 Apr 2021","12","95.67","0.00","5553.205","0.000"
"USEP","01 Apr 2021","13","96.90","0.00","5729.978","0.000"
"USEP","01 Apr 2021","14","100.97","0.00","5874.018","0.000"
"USEP","01 Apr 2021","15","95.81","0.00","6055.468","0.000"
"USEP","01 Apr 2021","16","97.78","0.00","6287.070","0.000"
"USEP","01 Apr 2021","17","99.33","0.00","6509.696","0.000"
"USEP","01 Apr 2021","18","100.13","0.00","6648.081","0.000"
"USEP","01 Apr 2021","19","100.54","0.00","6696.131","0.000"
"USEP","01 Apr 2021","20","116.82","0.00","6781.669","0.000"
"USEP","01 Apr 2021","21","134.65","0.00","6857.402","0.000"
"USEP","01 Apr 2021","22","137.57","0.00","6895.557","0.000"
"USEP","01 Apr 2021","23","135.71","0.00","6886.780","0.000"
"USEP","01 Apr 2021","24","117.38","0.00","6815.470","0.000"
"USEP","01 Apr 2021","25","138.72","0.00","6780.919","0.000"
"USEP","01 Apr 2021","26","101.50","0.00","6756.904","0.000"
"USEP","01 Apr 2021","27","99.86","0.00","6817.583","0.000"
"USEP","01 Apr 2021","28","100.60","0.00","6861.478","0.000"
"USEP","01 Apr 2021","29","101.47","0.00","6862.014","0.000"
"USEP","01 Apr 2021","30","100.23","0.00","6859.624","0.000"
"USEP","01 Apr 2021","31","101.50","0.00","6889.513","0.000"
"USEP","01 Apr 2021","32","100.60","0.00","6894.757","0.000"
"USEP","01 Apr 2021","33","100.56","0.00","6884.469","0.000"
"USEP","01 Apr 2021","34","100.23","0.00","6846.588","0.000"
"USEP","01 Apr 2021","35","96.25","0.00","6795.595","0.000"
"USEP","01 Apr 2021","36","95.85","0.00","6703.616","0.000"
"USEP","01 Apr 2021","37","94.96","0.00","6654.124","0.000"
"USEP","01 Apr 2021","38","100.21","0.00","6688.542","0.000"
"USEP","01 Apr 2021","39","135.77","0.00","6878.967","0.000"
"USEP","01 Apr 2021","40","128.81","0.00","6862.959","0.000"
"USEP","01 Apr 2021","41","106.15","0.00","6781.456","0.000"
"USEP","01 Apr 2021","42","104.80","0.00","6706.394","0.000"
"USEP","01 Apr 2021","43","98.75","0.00","6556.747","0.000"
"USEP","01 Apr 2021","44","94.52","0.00","6385.372","0.000"
"USEP","01 Apr 2021","45","92.78","0.00","6238.230","0.000"
"USEP","01 Apr 2021","46","93.13","0.00","6141.956","0.000"
"USEP","01 Apr 2021","47","92.78","0.00","6054.797","0.000"
"USEP","01 Apr 2021","48","95.79","0.00","5876.394","0.000"
"USEP","02 Apr 2021","1","124.49","0.00","5728.671","0.000"
"USEP","02 Apr 2021","2","110.51","0.00","5641.412","0.000"
"USEP","02 Apr 2021","3","111.01","0.00","5641.044","0.000"
"USEP","02 Apr 2021","4","110.45","0.00","5602.174","0.000"
"USEP","02 Apr 2021","5","106.95","0.00","5520.015","0.000"
"USEP","02 Apr 2021","6","104.44","0.00","5457.666","0.000"
"USEP","02 Apr 2021","7","100.08","0.00","5414.825","0.000"
"USEP","02 Apr 2021","8","98.48","0.00","5380.328","0.000"
"USEP","02 Apr 2021","9","96.38","0.00","5358.301","0.000"
"USEP","02 Apr 2021","10","96.67","0.00","5366.715","0.000"
"USEP","02 Apr 2021","11","98.68","0.00","5398.116","0.000"
"USEP","02 Apr 2021","12","98.50","0.00","5417.847","0.000"
"USEP","02 Apr 2021","13","91.72","0.00","5422.871","0.000"
"USEP","02 Apr 2021","14","91.80","0.00","5454.719","0.000"
"USEP","02 Apr 2021","15","91.81","0.00","5540.551","0.000"
"USEP","02 Apr 2021","16","96.16","0.00","5606.433","0.000"
"USEP","02 Apr 2021","17","99.11","0.00","5750.419","0.000"
"USEP","02 Apr 2021","18","102.07","0.00","5855.798","0.000"
"USEP","02 Apr 2021","19","104.19","0.00","5950.641","0.000"
"USEP","02 Apr 2021","20","110.61","0.00","6022.412","0.000"
"USEP","02 Apr 2021","21","117.39","0.00","6086.441","0.000"
"USEP","02 Apr 2021","22","95.90","0.00","6103.677","0.000"
"USEP","02 Apr 2021","23","95.89","0.00","6103.508","0.000"
"USEP","02 Apr 2021","24","92.11","0.00","6084.597","0.000"
"USEP","02 Apr 2021","25","91.85","0.00","6051.035","0.000"
"USEP","02 Apr 2021","26","91.84","0.00","6066.243","0.000"
"USEP","02 Apr 2021","27","91.83","0.00","6093.801","0.000"
"USEP","02 Apr 2021","28","91.84","0.00","6119.795","0.000"
"USEP","02 Apr 2021","29","91.84","0.00","6124.004","0.000"
"USEP","02 Apr 2021","30","91.84","0.00","6131.797","0.000"
"USEP","02 Apr 2021","31","91.85","0.00","6156.632","0.000"
"USEP","02 Apr 2021","32","91.85","0.00","6162.363","0.000"
"USEP","02 Apr 2021","33","91.87","0.00","6205.920","0.000"
"USEP","02 Apr 2021","34","92.52","0.00","6291.518","0.000"
"USEP","02 Apr 2021","35","92.42","0.00","6258.045","0.000"
"USEP","02 Apr 2021","36","92.51","0.00","6274.714","0.000"
"USEP","02 Apr 2021","37","95.03","0.00","6324.072","0.000"
"USEP","02 Apr 2021","38","115.06","0.00","6410.773","0.000"
"USEP","02 Apr 2021","39","117.18","0.00","6460.950","0.000"
"USEP","02 Apr 2021","40","121.62","0.00","6447.064","0.000"
"USEP","02 Apr 2021","41","96.84","0.00","6344.046","0.000"
"USEP","02 Apr 2021","42","100.92","0.00","6362.032","0.000"
"USEP","02 Apr 2021","43","93.39","0.00","6315.106","0.000"
"USEP","02 Apr 2021","44","92.13","0.00","6216.382","0.000"
"USEP","02 Apr 2021","45","91.86","0.00","6099.278","0.000"
"USEP","02 Apr 2021","46","91.34","0.00","5985.535","0.000"
"USEP","02 Apr 2021","47","96.71","0.00","5869.341","0.000"
"USEP","02 Apr 2021","48","93.69","0.00","5799.110","0.000"
"USEP","03 Apr 2021","1","102.43","0.00","5741.612","0.000"
"USEP","03 Apr 2021","2","102.41","0.00","5695.789","0.000"
"USEP","03 Apr 2021","3","101.40","0.00","5621.478","0.000"
"USEP","03 Apr 2021","4","95.55","0.00","5527.092","0.000"
"USEP","03 Apr 2021","5","90.71","0.00","5453.139","0.000"
"USEP","03 Apr 2021","6","88.61","0.00","5388.911","0.000"
"USEP","03 Apr 2021","7","88.44","0.00","5359.057","0.000"
"USEP","03 Apr 2021","8","86.64","0.00","5312.716","0.000"
"USEP","03 Apr 2021","9","87.31","0.00","5300.187","0.000"
"USEP","03 Apr 2021","10","88.08","0.00","5322.790","0.000"
"USEP","03 Apr 2021","11","88.39","0.00","5375.562","0.000"
"USEP","03 Apr 2021","12","90.70","0.00","5448.223","0.000"
"USEP","03 Apr 2021","13","90.70","0.00","5475.260","0.000"
"USEP","03 Apr 2021","14","91.21","0.00","5548.756","0.000"
"USEP","03 Apr 2021","15","91.32","0.00","5637.908","0.000"
"USEP","03 Apr 2021","16","94.57","0.00","5803.693","0.000"
"USEP","03 Apr 2021","17","101.95","0.00","5983.736","0.000"
"USEP","03 Apr 2021","18","92.85","0.00","6099.532","0.000"
"USEP","03 Apr 2021","19","92.38","0.00","6189.688","0.000"
"USEP","03 Apr 2021","20","95.50","0.00","6309.882","0.000"
"USEP","03 Apr 2021","21","103.41","0.00","6362.962","0.000"
"USEP","03 Apr 2021","22","102.64","0.00","6366.421","0.000"
"USEP","03 Apr 2021","23","93.37","0.00","6348.325","0.000"
"USEP","03 Apr 2021","24","93.30","0.00","6312.765","0.000"
"USEP","03 Apr 2021","25","93.37","0.00","6308.630","0.000"
"USEP","03 Apr 2021","26","92.92","0.00","6291.647","0.000"
"USEP","03 Apr 2021","27","92.90","0.00","6287.134","0.000"
"USEP","03 Apr 2021","28","92.86","0.00","6287.845","0.000"
"USEP","03 Apr 2021","29","92.89","0.00","6292.194","0.000"
"USEP","03 Apr 2021","30","92.87","0.00","6281.846","0.000"
"USEP","03 Apr 2021","31","92.89","0.00","6280.122","0.000"
"USEP","03 Apr 2021","32","92.93","0.00","6300.638","0.000"
"USEP","03 Apr 2021","33","93.34","0.00","6292.626","0.000"
"USEP","03 Apr 2021","34","92.86","0.00","6249.452","0.000"
"USEP","03 Apr 2021","35","92.86","0.00","6178.108","0.000"
"USEP","03 Apr 2021","36","92.85","0.00","6157.492","0.000"
"USEP","03 Apr 2021","37","93.33","0.00","6187.710","0.000"
"USEP","03 Apr 2021","38","100.82","0.00","6265.346","0.000"
"USEP","03 Apr 2021","39","102.54","0.00","6330.692","0.000"
"USEP","03 Apr 2021","40","102.53","0.00","6354.259","0.000"
"USEP","03 Apr 2021","41","102.51","0.00","6354.046","0.000"
"USEP","03 Apr 2021","42","102.02","0.00","6324.300","0.000"
"USEP","03 Apr 2021","43","101.96","0.00","6293.377","0.000"
"USEP","03 Apr 2021","44","98.61","0.00","6236.103","0.000"
"USEP","03 Apr 2021","45","94.19","0.00","6129.590","0.000"
"USEP","03 Apr 2021","46","92.28","0.00","6025.504","0.000"
"USEP","03 Apr 2021","47","92.54","0.00","5929.916","0.000"
"USEP","03 Apr 2021","48","92.24","0.00","5861.369","0.000"
"USEP","04 Apr 2021","1","103.44","0.00","5794.588","0.000"
"USEP","04 Apr 2021","2","102.82","0.00","5679.607","0.000"
"USEP","04 Apr 2021","3","94.75","0.00","5536.714","0.000"
"USEP","04 Apr 2021","4","86.34","0.00","5429.571","0.000"
"USEP","04 Apr 2021","5","84.96","0.00","5352.750","0.000"
"USEP","04 Apr 2021","6","84.91","0.00","5290.684","0.000"
"USEP","04 Apr 2021","7","84.70","0.00","5244.140","0.000"
"USEP","04 Apr 2021","8","84.71","0.00","5214.062","0.000"
"USEP","04 Apr 2021","9","83.41","0.00","5187.775","0.000"
"USEP","04 Apr 2021","10","84.91","0.00","5208.729","0.000"
"USEP","04 Apr 2021","11","85.06","0.00","5245.020","0.000"
"USEP","04 Apr 2021","12","85.61","0.00","5297.483","0.000"
"USEP","04 Apr 2021","13","86.62","0.00","5337.551","0.000"
"USEP","04 Apr 2021","14","87.06","0.00","5363.634","0.000"
"USEP","04 Apr 2021","15","88.99","0.00","5403.652","0.000"
"USEP","04 Apr 2021","16","94.74","0.00","5484.544","0.000"
"USEP","04 Apr 2021","17","95.04","0.00","5611.001","0.000"
"USEP","04 Apr 2021","18","95.86","0.00","5719.923","0.000"
"USEP","04 Apr 2021","19","95.95","0.00","5799.737","0.000"
"USEP","04 Apr 2021","20","95.72","0.00","5866.036","0.000"
"USEP","04 Apr 2021","21","99.58","0.00","5903.739","0.000"
"USEP","04 Apr 2021","22","92.36","0.00","5935.954","0.000"
"USEP","04 Apr 2021","23","92.08","0.00","5933.787","0.000"
"USEP","04 Apr 2021","24","92.85","0.00","5987.856","0.000"
"USEP","04 Apr 2021","25","92.85","0.00","5967.926","0.000"
"USEP","04 Apr 2021","26","92.85","0.00","5979.815","0.000"
"USEP","04 Apr 2021","27","93.32","0.00","6017.840","0.000"
"USEP","04 Apr 2021","28","92.86","0.00","6022.502","0.000"
"USEP","04 Apr 2021","29","92.86","0.00","6025.593","0.000"
"USEP","04 Apr 2021","30","91.91","0.00","6023.367","0.000"
"USEP","04 Apr 2021","31","92.35","0.00","6053.708","0.000"
"USEP","04 Apr 2021","32","92.09","0.00","6057.938","0.000"
"USEP","04 Apr 2021","33","92.09","0.00","6066.302","0.000"
"USEP","04 Apr 2021","34","92.10","0.00","6079.781","0.000"
"USEP","04 Apr 2021","35","91.84","0.00","6062.003","0.000"
"USEP","04 Apr 2021","36","91.84","0.00","6069.637","0.000"
"USEP","04 Apr 2021","37","91.84","0.00","6123.000","0.000"
"USEP","04 Apr 2021","38","92.11","0.00","6228.280","0.000"
"USEP","04 Apr 2021","39","93.24","0.00","6312.158","0.000"
"USEP","04 Apr 2021","40","93.25","0.00","6354.548","0.000"
"USEP","04 Apr 2021","41","94.10","0.00","6381.520","0.000"
"USEP","04 Apr 2021","42","106.07","0.00","6413.174","0.000"
"USEP","04 Apr 2021","43","117.49","0.00","6397.836","0.000"
"USEP","04 Apr 2021","44","105.00","0.00","6305.990","0.000"
"USEP","04 Apr 2021","45","101.97","0.00","6199.697","0.000"
"USEP","04 Apr 2021","46","93.90","0.00","6081.958","0.000"
"USEP","04 Apr 2021","47","96.85","0.00","5948.483","0.000"
"USEP","04 Apr 2021","48","92.10","0.00","5732.611","0.000"
"USEP","05 Apr 2021","1","92.46","0.00","5512.525","0.000"
"USEP","05 Apr 2021","2","88.30","0.00","5408.876","0.000"
"USEP","05 Apr 2021","3","93.72","0.00","5458.566","0.000"
"USEP","05 Apr 2021","4","89.10","0.00","5382.202","0.000"
"USEP","05 Apr 2021","5","87.65","0.00","5344.479","0.000"
"USEP","05 Apr 2021","6","86.06","0.00","5304.858","0.000"
"USEP","05 Apr 2021","7","85.04","0.00","5271.500","0.000"
"USEP","05 Apr 2021","8","84.90","0.00","5242.043","0.000"
"USEP","05 Apr 2021","9","84.97","0.00","5240.020","0.000"
"USEP","05 Apr 2021","10","85.25","0.00","5265.829","0.000"
"USEP","05 Apr 2021","11","87.03","0.00","5344.529","0.000"
"USEP","05 Apr 2021","12","96.08","0.00","5512.843","0.000"
"USEP","05 Apr 2021","13","93.75","0.00","5706.981","0.000"
"USEP","05 Apr 2021","14","93.86","0.00","5880.613","0.000"
"USEP","05 Apr 2021","15","93.91","0.00","6086.953","0.000"
"USEP","05 Apr 2021","16","101.48","0.00","6328.191","0.000"
"USEP","05 Apr 2021","17","105.95","0.00","6563.536","0.000"
"USEP","05 Apr 2021","18","106.08","0.00","6727.302","0.000"
"USEP","05 Apr 2021","19","123.07","0.00","6816.941","0.000"
"USEP","05 Apr 2021","20","274.51","0.00","6884.990","0.000"
"USEP","05 Apr 2021","21","281.25","0.00","6930.148","0.000"
"USEP","05 Apr 2021","22","279.18","0.00","6970.286","0.000"
"USEP","05 Apr 2021","23","285.62","0.00","6989.912","0.000"
"USEP","05 Apr 2021","24","280.67","0.00","6945.883","0.000"
"USEP","05 Apr 2021","25","276.01","0.00","6903.017","0.000"
"USEP","05 Apr 2021","26","267.93","0.00","6898.628","0.000"
"USEP","05 Apr 2021","27","276.02","0.00","6995.628","0.000"
"USEP","05 Apr 2021","28","662.39","0.00","7039.031","0.000"
"USEP","05 Apr 2021","29","550.34","0.00","6988.024","0.000"
"USEP","05 Apr 2021","30","550.51","0.00","7016.378","0.000"
"USEP","05 Apr 2021","31","550.08","0.00","7035.607","0.000"
"USEP","05 Apr 2021","32","500.08","0.00","7001.468","0.000"
"USEP","05 Apr 2021","33","275.94","0.00","6925.302","0.000"
"USEP","05 Apr 2021","34","274.30","0.00","6886.457","0.000"
"USEP","05 Apr 2021","35","267.86","0.00","6806.718","0.000"
"USEP","05 Apr 2021","36","133.98","0.00","6690.932","0.000"
"USEP","05 Apr 2021","37","93.96","0.00","6615.885","0.000"
"USEP","05 Apr 2021","38","93.95","0.00","6626.317","0.000"
"USEP","05 Apr 2021","39","94.97","0.00","6650.461","0.000"
"USEP","05 Apr 2021","40","94.71","0.00","6631.411","0.000"
"USEP","05 Apr 2021","41","93.87","0.00","6585.315","0.000"
"USEP","05 Apr 2021","42","93.43","0.00","6531.152","0.000"
"USEP","05 Apr 2021","43","92.86","0.00","6440.375","0.000"
"USEP","05 Apr 2021","44","92.12","0.00","6287.477","0.000"
"USEP","05 Apr 2021","45","91.84","0.00","6128.194","0.000"
"USEP","05 Apr 2021","46","91.11","0.00","5972.563","0.000"
"USEP","05 Apr 2021","47","91.74","0.00","5820.427","0.000"
"USEP","05 Apr 2021","48","84.91","0.00","5612.278","0.000"
"USEP","06 Apr 2021","1","86.91","0.00","5419.477","0.000"
"USEP","06 Apr 2021","2","85.13","0.00","5335.921","0.000"
"USEP","06 Apr 2021","3","88.43","0.00","5343.371","0.000"
"USEP","06 Apr 2021","4","86.34","0.00","5283.741","0.000"
"USEP","06 Apr 2021","5","84.94","0.00","5232.843","0.000"
"USEP","06 Apr 2021","6","81.80","0.00","5191.841","0.000"
"USEP","06 Apr 2021","7","81.75","0.00","5169.337","0.000"
"USEP","06 Apr 2021","8","81.72","0.00","5159.268","0.000"
"USEP","06 Apr 2021","9","81.77","0.00","5171.921","0.000"
"USEP","06 Apr 2021","10","81.74","0.00","5189.749","0.000"
"USEP","06 Apr 2021","11","84.29","0.00","5282.504","0.000"
"USEP","06 Apr 2021","12","85.84","0.00","5438.780","0.000"
"USEP","06 Apr 2021","13","91.71","0.00","5629.430","0.000"
"USEP","06 Apr 2021","14","91.72","0.00","5799.965","0.000"
"USEP","06 Apr 2021","15","90.02","0.00","5984.551","0.000"
"USEP","06 Apr 2021","16","91.75","0.00","6244.527","0.000"
"USEP","06 Apr 2021","17","91.84","0.00","6467.724","0.000"
"USEP","06 Apr 2021","18","91.75","0.00","6610.642","0.000"
"USEP","06 Apr 2021","19","91.84","0.00","6681.141","0.000"
"USEP","06 Apr 2021","20","91.88","0.00","6778.767","0.000"
"USEP","06 Apr 2021","21","91.78","0.00","6825.654","0.000"
"USEP","06 Apr 2021","22","91.87","0.00","6851.408","0.000"
"USEP","06 Apr 2021","23","93.36","0.00","6837.999","0.000"
"USEP","06 Apr 2021","24","91.89","0.00","6845.101","0.000"
"USEP","06 Apr 2021","25","91.88","0.00","6783.041","0.000"
"USEP","06 Apr 2021","26","91.89","0.00","6794.214","0.000"
"USEP","06 Apr 2021","27","91.90","0.00","6880.871","0.000"
