"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Dec 2021","1","1007.37","0.00","6119.223","0.000"
"USEP","01 Dec 2021","2","2000.90","0.00","6035.936","0.000"
"USEP","01 Dec 2021","3","1551.55","0.00","5898.103","0.000"
"USEP","01 Dec 2021","4","1549.49","0.00","5816.351","0.000"
"USEP","01 Dec 2021","5","930.27","0.00","5754.997","0.000"
"USEP","01 Dec 2021","6","579.27","0.00","5707.623","0.000"
"USEP","01 Dec 2021","7","475.45","0.00","5670.044","0.000"
"USEP","01 Dec 2021","8","357.65","0.00","5633.122","0.000"
"USEP","01 Dec 2021","9","357.65","0.00","5633.376","0.000"
"USEP","01 Dec 2021","10","357.84","0.00","5654.463","0.000"
"USEP","01 Dec 2021","11","587.89","0.00","5743.506","0.000"
"USEP","01 Dec 2021","12","1549.68","0.00","5883.799","0.000"
"USEP","01 Dec 2021","13","2006.36","0.00","6013.143","0.000"
"USEP","01 Dec 2021","14","2508.82","0.00","6147.100","0.000"
"USEP","01 Dec 2021","15","1552.77","0.00","6317.447","0.000"
"USEP","01 Dec 2021","16","3020.29","0.00","6515.193","0.000"
"USEP","01 Dec 2021","17","3010.51","4500.00","6719.359","35.000"
"USEP","01 Dec 2021","18","3625.44","2312.07","6903.652","35.000"
"USEP","01 Dec 2021","19","3157.26","4500.00","6978.903","35.000"
"USEP","01 Dec 2021","20","3640.33","4500.00","7048.562","35.000"
"USEP","01 Dec 2021","21","3552.77","4500.00","7094.624","35.000"
"USEP","01 Dec 2021","22","3626.36","4500.00","7109.658","35.000"
"USEP","01 Dec 2021","23","3462.26","4500.00","7119.464","35.000"
"USEP","01 Dec 2021","24","3006.67","4500.00","7059.352","35.000"
"USEP","01 Dec 2021","25","496.34","4500.00","6972.442","35.000"
"USEP","01 Dec 2021","26","394.35","4500.00","6943.173","35.000"
"USEP","01 Dec 2021","27","501.43","4500.00","7003.126","35.000"
"USEP","01 Dec 2021","28","1176.77","4500.00","7042.529","35.000"
"USEP","01 Dec 2021","29","1176.67","4500.00","7027.420","35.000"
"USEP","01 Dec 2021","30","3006.61","4500.00","7050.525","35.000"
"USEP","01 Dec 2021","31","3167.35","0.00","7087.831","0.000"
"USEP","01 Dec 2021","32","3006.75","4500.00","7065.609","35.000"
"USEP","01 Dec 2021","33","3157.38","4500.00","7082.790","35.000"
"USEP","01 Dec 2021","34","3157.47","4500.00","7084.450","35.000"
"USEP","01 Dec 2021","35","2664.34","4500.00","7047.797","35.000"
"USEP","01 Dec 2021","36","501.53","4500.00","6972.278","35.000"
"USEP","01 Dec 2021","37","544.01","4500.00","6923.810","35.000"
"USEP","01 Dec 2021","38","1553.11","4500.00","6960.106","35.000"
"USEP","01 Dec 2021","39","3038.48","0.00","7017.600","0.000"
"USEP","01 Dec 2021","40","3147.45","0.00","6999.415","0.000"
"USEP","01 Dec 2021","41","3147.81","0.00","6967.667","0.000"
"USEP","01 Dec 2021","42","2664.60","0.00","6927.966","0.000"
"USEP","01 Dec 2021","43","3548.90","0.00","6875.821","0.000"
"USEP","01 Dec 2021","44","2710.26","0.00","6756.616","0.000"
"USEP","01 Dec 2021","45","2663.40","0.00","6614.717","0.000"
"USEP","01 Dec 2021","46","2026.77","0.00","6482.977","0.000"
"USEP","01 Dec 2021","47","1893.81","0.00","6358.514","0.000"
"USEP","01 Dec 2021","48","2004.49","0.00","6277.552","0.000"
"USEP","02 Dec 2021","1","2502.13","0.00","6184.270","0.000"
"USEP","02 Dec 2021","2","2018.68","0.00","6065.130","0.000"
"USEP","02 Dec 2021","3","1999.12","0.00","5974.174","0.000"
"USEP","02 Dec 2021","4","1999.32","0.00","5900.687","0.000"
"USEP","02 Dec 2021","5","1890.62","0.00","5838.985","0.000"
"USEP","02 Dec 2021","6","1585.93","0.00","5781.482","0.000"
"USEP","02 Dec 2021","7","1501.31","0.00","5752.084","0.000"
"USEP","02 Dec 2021","8","1501.27","0.00","5741.384","0.000"
"USEP","02 Dec 2021","9","1501.23","0.00","5730.509","0.000"
"USEP","02 Dec 2021","10","1501.29","0.00","5750.668","0.000"
"USEP","02 Dec 2021","11","1886.82","0.00","5843.458","0.000"
"USEP","02 Dec 2021","12","2016.64","0.00","6016.801","0.000"
"USEP","02 Dec 2021","13","2602.78","0.00","6206.273","0.000"
"USEP","02 Dec 2021","14","2518.44","4425.43","6294.404","35.000"
"USEP","02 Dec 2021","15","2532.29","3775.45","6391.712","35.000"
"USEP","02 Dec 2021","16","3004.17","1042.80","6570.205","35.000"
"USEP","02 Dec 2021","17","3167.78","4500.00","6796.737","35.000"
"USEP","02 Dec 2021","18","3625.65","4500.00","6961.935","35.000"
"USEP","02 Dec 2021","19","3147.21","1194.63","7006.685","35.000"
"USEP","02 Dec 2021","20","4498.79","71.18","7015.964","35.000"
"USEP","02 Dec 2021","21","4499.09","53.79","7045.202","35.000"
"USEP","02 Dec 2021","22","4499.09","53.95","7062.935","35.000"
"USEP","02 Dec 2021","23","4498.71","1.77","7028.697","35.000"
"USEP","02 Dec 2021","24","3626.37","4500.00","6948.978","35.000"
"USEP","02 Dec 2021","25","4498.76","0.00","6896.510","35.000"
"USEP","02 Dec 2021","26","4498.74","1.73","6883.916","35.000"
"USEP","02 Dec 2021","27","4498.73","0.58","6912.816","35.000"
"USEP","02 Dec 2021","28","3712.71","4500.00","6919.138","35.000"
"USEP","02 Dec 2021","29","3686.96","4500.00","6908.433","35.000"
"USEP","02 Dec 2021","30","1216.94","4500.00","6877.962","35.000"
"USEP","02 Dec 2021","31","1178.64","4500.00","6887.340","35.000"
"USEP","02 Dec 2021","32","617.55","4500.00","6879.721","35.000"
"USEP","02 Dec 2021","33","492.78","4490.57","6860.254","35.000"
"USEP","02 Dec 2021","34","489.87","4301.06","6854.230","35.000"
"USEP","02 Dec 2021","35","468.42","4326.09","6830.762","35.000"
"USEP","02 Dec 2021","36","409.33","0.00","6784.328","0.000"
"USEP","02 Dec 2021","37","371.54","0.00","6752.406","0.000"
"USEP","02 Dec 2021","38","390.05","506.32","6750.238","35.000"
"USEP","02 Dec 2021","39","409.40","4500.00","6800.330","35.000"
"USEP","02 Dec 2021","40","408.55","4500.00","6792.697","35.000"
"USEP","02 Dec 2021","41","399.15","575.07","6742.430","35.000"
"USEP","02 Dec 2021","42","398.18","572.07","6667.776","35.000"
"USEP","02 Dec 2021","43","408.55","4500.00","6592.739","35.000"
"USEP","02 Dec 2021","44","503.95","348.80","6452.222","35.000"
"USEP","02 Dec 2021","45","260.05","3773.73","6284.653","35.000"
"USEP","02 Dec 2021","46","232.29","0.00","6184.062","0.000"
"USEP","02 Dec 2021","47","210.89","0.00","6046.994","0.000"
"USEP","02 Dec 2021","48","210.69","0.00","5949.070","0.000"
"USEP","03 Dec 2021","1","1009.54","0.00","5865.142","0.000"
"USEP","03 Dec 2021","2","931.39","0.00","5769.971","0.000"
"USEP","03 Dec 2021","3","327.87","0.00","5638.594","0.000"
