"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Feb 2021","1","74.98","0.00","5040.301","0.000"
"USEP","01 Feb 2021","2","73.73","0.00","4930.374","0.000"
"USEP","01 Feb 2021","3","78.68","0.00","4986.386","0.000"
"USEP","01 Feb 2021","4","78.60","0.00","4919.937","0.000"
"USEP","01 Feb 2021","5","78.68","0.00","4926.920","0.000"
"USEP","01 Feb 2021","6","77.77","0.00","4863.861","0.000"
"USEP","01 Feb 2021","7","74.78","0.00","4835.233","0.000"
"USEP","01 Feb 2021","8","74.70","0.00","4820.378","0.000"
"USEP","01 Feb 2021","9","74.71","0.00","4826.770","0.000"
"USEP","01 Feb 2021","10","76.12","0.00","4860.650","0.000"
"USEP","01 Feb 2021","11","78.68","0.00","4952.163","0.000"
"USEP","01 Feb 2021","12","81.16","0.00","5152.593","0.000"
"USEP","01 Feb 2021","13","79.57","0.00","5359.534","0.000"
"USEP","01 Feb 2021","14","86.96","0.00","5539.522","0.000"
"USEP","01 Feb 2021","15","78.78","0.00","5736.215","0.000"
"USEP","01 Feb 2021","16","85.03","0.00","5972.027","0.000"
"USEP","01 Feb 2021","17","88.46","0.00","6260.903","0.000"
"USEP","01 Feb 2021","18","94.76","0.00","6397.980","0.000"
"USEP","01 Feb 2021","19","96.90","0.00","6473.773","0.000"
"USEP","01 Feb 2021","20","92.27","0.00","6516.376","0.000"
"USEP","01 Feb 2021","21","96.04","0.00","6555.022","0.000"
"USEP","01 Feb 2021","22","96.05","0.00","6576.175","0.000"
"USEP","01 Feb 2021","23","98.08","0.00","6577.884","0.000"
"USEP","01 Feb 2021","24","88.53","0.00","6516.112","0.000"
"USEP","01 Feb 2021","25","85.65","0.00","6446.045","0.000"
"USEP","01 Feb 2021","26","87.56","0.00","6475.965","0.000"
"USEP","01 Feb 2021","27","95.93","0.00","6529.750","0.000"
"USEP","01 Feb 2021","28","98.13","0.00","6571.672","0.000"
"USEP","01 Feb 2021","29","98.13","0.00","6566.811","0.000"
"USEP","01 Feb 2021","30","96.05","0.00","6557.880","0.000"
"USEP","01 Feb 2021","31","96.06","0.00","6557.796","0.000"
"USEP","01 Feb 2021","32","100.59","0.00","6591.607","0.000"
"USEP","01 Feb 2021","33","101.61","0.00","6594.748","0.000"
"USEP","01 Feb 2021","34","99.51","0.00","6567.482","0.000"
"USEP","01 Feb 2021","35","92.78","0.00","6495.790","0.000"
"USEP","01 Feb 2021","36","85.56","0.00","6405.575","0.000"
"USEP","01 Feb 2021","37","85.57","0.00","6350.755","0.000"
"USEP","01 Feb 2021","38","87.08","0.00","6367.922","0.000"
"USEP","01 Feb 2021","39","111.16","0.00","6510.178","0.000"
"USEP","01 Feb 2021","40","95.94","0.00","6417.965","0.000"
"USEP","01 Feb 2021","41","94.95","0.00","6393.582","0.000"
"USEP","01 Feb 2021","42","89.93","0.00","6327.203","0.000"
"USEP","01 Feb 2021","43","85.57","0.00","6227.321","0.000"
"USEP","01 Feb 2021","44","81.60","0.00","6085.984","0.000"
"USEP","01 Feb 2021","45","79.70","0.00","5921.725","0.000"
"USEP","01 Feb 2021","46","78.81","0.00","5759.529","0.000"
"USEP","01 Feb 2021","47","78.82","0.00","5606.165","0.000"
"USEP","01 Feb 2021","48","78.70","0.00","5453.293","0.000"
"USEP","02 Feb 2021","1","84.74","0.00","5337.924","0.000"
"USEP","02 Feb 2021","2","80.76","0.00","5230.289","0.000"
"USEP","02 Feb 2021","3","75.68","0.00","5146.579","0.000"
"USEP","02 Feb 2021","4","73.52","0.00","5069.644","0.000"
"USEP","02 Feb 2021","5","73.51","0.00","5032.339","0.000"
"USEP","02 Feb 2021","6","73.50","0.00","5000.491","0.000"
"USEP","02 Feb 2021","7","73.49","0.00","4978.618","0.000"
"USEP","02 Feb 2021","8","72.47","0.00","4958.286","0.000"
"USEP","02 Feb 2021","9","72.49","0.00","4959.682","0.000"
"USEP","02 Feb 2021","10","73.51","0.00","4990.402","0.000"
"USEP","02 Feb 2021","11","74.19","0.00","5070.434","0.000"
"USEP","02 Feb 2021","12","80.75","0.00","5262.932","0.000"
"USEP","02 Feb 2021","13","84.15","0.00","5445.395","0.000"
"USEP","02 Feb 2021","14","87.48","0.00","5648.266","0.000"
"USEP","02 Feb 2021","15","81.50","0.00","5847.737","0.000"
"USEP","02 Feb 2021","16","87.89","0.00","6084.647","0.000"
"USEP","02 Feb 2021","17","88.98","0.00","6304.013","0.000"
"USEP","02 Feb 2021","18","95.94","0.00","6467.143","0.000"
"USEP","02 Feb 2021","19","96.05","0.00","6524.084","0.000"
"USEP","02 Feb 2021","20","105.59","0.00","6575.489","0.000"
"USEP","02 Feb 2021","21","111.16","0.00","6606.144","0.000"
"USEP","02 Feb 2021","22","111.22","0.00","6624.448","0.000"
"USEP","02 Feb 2021","23","113.61","0.00","6604.986","0.000"
"USEP","02 Feb 2021","24","105.56","0.00","6551.628","0.000"
"USEP","02 Feb 2021","25","96.12","0.00","6505.685","0.000"
"USEP","02 Feb 2021","26","96.11","0.00","6509.790","0.000"
"USEP","02 Feb 2021","27","98.11","0.00","6572.870","0.000"
"USEP","02 Feb 2021","28","113.62","0.00","6633.230","0.000"
"USEP","02 Feb 2021","29","116.54","0.00","6652.221","0.000"
"USEP","02 Feb 2021","30","119.86","0.00","6630.959","0.000"
"USEP","02 Feb 2021","31","116.30","0.00","6629.806","0.000"
"USEP","02 Feb 2021","32","128.53","0.00","6663.875","0.000"
"USEP","02 Feb 2021","33","117.21","0.00","6622.267","0.000"
"USEP","02 Feb 2021","34","113.36","0.00","6615.319","0.000"
"USEP","02 Feb 2021","35","111.19","0.00","6564.381","0.000"
"USEP","02 Feb 2021","36","98.13","0.00","6499.329","0.000"
"USEP","02 Feb 2021","37","96.08","0.00","6430.270","0.000"
"USEP","02 Feb 2021","38","98.13","0.00","6453.833","0.000"
"USEP","02 Feb 2021","39","105.57","0.00","6450.593","0.000"
"USEP","02 Feb 2021","40","98.11","0.00","6416.444","0.000"
"USEP","02 Feb 2021","41","96.03","0.00","6371.301","0.000"
"USEP","02 Feb 2021","42","95.97","0.00","6344.672","0.000"
"USEP","02 Feb 2021","43","88.17","0.00","6263.944","0.000"
"USEP","02 Feb 2021","44","82.45","0.00","6108.771","0.000"
"USEP","02 Feb 2021","45","83.68","0.00","5953.081","0.000"
"USEP","02 Feb 2021","46","80.82","0.00","5793.062","0.000"
"USEP","02 Feb 2021","47","80.78","0.00","5641.025","0.000"
"USEP","02 Feb 2021","48","76.48","0.00","5444.208","0.000"
"USEP","03 Feb 2021","1","80.76","0.00","5262.380","0.000"
"USEP","03 Feb 2021","2","75.59","0.00","5153.229","0.000"
"USEP","03 Feb 2021","3","75.66","0.00","5141.455","0.000"
"USEP","03 Feb 2021","4","73.53","0.00","5059.216","0.000"
"USEP","03 Feb 2021","5","73.50","0.00","5018.373","0.000"
"USEP","03 Feb 2021","6","73.00","0.00","4970.547","0.000"
"USEP","03 Feb 2021","7","72.93","0.00","4944.032","0.000"
"USEP","03 Feb 2021","8","71.72","0.00","4920.544","0.000"
"USEP","03 Feb 2021","9","71.73","0.00","4916.205","0.000"
"USEP","03 Feb 2021","10","72.97","0.00","4942.854","0.000"
"USEP","03 Feb 2021","11","74.02","0.00","5041.399","0.000"
"USEP","03 Feb 2021","12","80.70","0.00","5239.468","0.000"
"USEP","03 Feb 2021","13","84.42","0.00","5435.013","0.000"
"USEP","03 Feb 2021","14","85.58","0.00","5630.006","0.000"
"USEP","03 Feb 2021","15","78.78","0.00","5812.877","0.000"
"USEP","03 Feb 2021","16","81.83","0.00","6045.871","0.000"
"USEP","03 Feb 2021","17","88.73","0.00","6290.196","0.000"
"USEP","03 Feb 2021","18","95.59","0.00","6426.657","0.000"
"USEP","03 Feb 2021","19","97.98","0.00","6504.627","0.000"
"USEP","03 Feb 2021","20","109.82","0.00","6543.835","0.000"
"USEP","03 Feb 2021","21","113.36","0.00","6591.517","0.000"
"USEP","03 Feb 2021","22","111.23","0.00","6608.828","0.000"
"USEP","03 Feb 2021","23","108.23","0.00","6598.311","0.000"
"USEP","03 Feb 2021","24","91.77","0.00","6525.749","0.000"
"USEP","03 Feb 2021","25","89.10","0.00","6477.744","0.000"
"USEP","03 Feb 2021","26","90.15","0.00","6497.544","0.000"
"USEP","03 Feb 2021","27","98.12","0.00","6568.551","0.000"
"USEP","03 Feb 2021","28","108.92","0.00","6607.342","0.000"
"USEP","03 Feb 2021","29","107.76","0.00","6600.115","0.000"
"USEP","03 Feb 2021","30","98.13","0.00","6581.801","0.000"
"USEP","03 Feb 2021","31","111.22","0.00","6610.552","0.000"
"USEP","03 Feb 2021","32","113.19","0.00","6619.394","0.000"
"USEP","03 Feb 2021","33","113.20","0.00","6623.206","0.000"
"USEP","03 Feb 2021","34","113.19","0.00","6592.069","0.000"
"USEP","03 Feb 2021","35","98.79","0.00","6525.252","0.000"
"USEP","03 Feb 2021","36","90.31","0.00","6411.956","0.000"
"USEP","03 Feb 2021","37","90.09","0.00","6361.640","0.000"
"USEP","03 Feb 2021","38","96.08","0.00","6394.710","0.000"
"USEP","03 Feb 2021","39","98.12","0.00","6420.142","0.000"
"USEP","03 Feb 2021","40","96.09","0.00","6384.686","0.000"
"USEP","03 Feb 2021","41","90.92","0.00","6344.702","0.000"
"USEP","03 Feb 2021","42","89.93","0.00","6310.121","0.000"
"USEP","03 Feb 2021","43","85.49","0.00","6208.594","0.000"
"USEP","03 Feb 2021","44","80.88","0.00","6044.857","0.000"
"USEP","03 Feb 2021","45","80.87","0.00","5884.545","0.000"
"USEP","03 Feb 2021","46","80.83","0.00","5737.870","0.000"
"USEP","03 Feb 2021","47","80.79","0.00","5584.923","0.000"
"USEP","03 Feb 2021","48","80.71","0.00","5436.221","0.000"
"USEP","04 Feb 2021","1","81.53","0.00","5307.503","0.000"
"USEP","04 Feb 2021","2","76.70","0.00","5208.784","0.000"
"USEP","04 Feb 2021","3","75.32","0.00","5121.376","0.000"
"USEP","04 Feb 2021","4","75.10","0.00","5046.632","0.000"
"USEP","04 Feb 2021","5","73.28","0.00","5003.528","0.000"
"USEP","04 Feb 2021","6","73.22","0.00","4966.352","0.000"
"USEP","04 Feb 2021","7","73.22","0.00","4941.234","0.000"
