"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Jul 2021","1","113.39","0.00","5796.407","0.000"
"USEP","01 Jul 2021","2","106.90","0.00","5698.358","0.000"
"USEP","01 Jul 2021","3","99.94","0.00","5640.403","0.000"
"USEP","01 Jul 2021","4","95.79","0.00","5564.670","0.000"
"USEP","01 Jul 2021","5","95.77","0.00","5506.258","0.000"
"USEP","01 Jul 2021","6","92.45","0.00","5458.377","0.000"
"USEP","01 Jul 2021","7","91.68","0.00","5433.438","0.000"
"USEP","01 Jul 2021","8","91.68","0.00","5429.516","0.000"
"USEP","01 Jul 2021","9","91.63","0.00","5421.748","0.000"
"USEP","01 Jul 2021","10","91.68","0.00","5436.931","0.000"
"USEP","01 Jul 2021","11","96.89","0.00","5513.872","0.000"
"USEP","01 Jul 2021","12","99.87","0.00","5670.049","0.000"
"USEP","01 Jul 2021","13","113.31","0.00","5844.551","0.000"
"USEP","01 Jul 2021","14","139.67","0.00","6001.429","0.000"
"USEP","01 Jul 2021","15","102.90","0.00","6177.496","0.000"
"USEP","01 Jul 2021","16","110.45","0.00","6405.018","0.000"
"USEP","01 Jul 2021","17","162.51","0.00","6640.367","0.000"
"USEP","01 Jul 2021","18","138.39","0.00","6761.258","0.000"
"USEP","01 Jul 2021","19","160.51","0.00","6838.596","0.000"
"USEP","01 Jul 2021","20","206.76","0.00","6901.998","0.000"
"USEP","01 Jul 2021","21","244.14","0.00","6952.120","0.000"
"USEP","01 Jul 2021","22","280.41","0.00","6962.473","0.000"
"USEP","01 Jul 2021","23","280.40","0.00","6942.300","0.000"
"USEP","01 Jul 2021","24","280.40","0.00","6882.749","0.000"
"USEP","01 Jul 2021","25","168.93","0.00","6837.686","0.000"
"USEP","01 Jul 2021","26","258.28","0.00","6839.749","0.000"
"USEP","01 Jul 2021","27","289.02","0.00","6917.186","0.000"
"USEP","01 Jul 2021","28","374.95","0.00","6968.427","0.000"
"USEP","01 Jul 2021","29","351.70","0.00","6971.305","0.000"
"USEP","01 Jul 2021","30","351.67","0.00","6966.469","0.000"
"USEP","01 Jul 2021","31","317.49","0.00","6944.820","0.000"
"USEP","01 Jul 2021","32","291.72","0.00","6966.613","0.000"
"USEP","01 Jul 2021","33","291.68","0.00","6963.169","0.000"
"USEP","01 Jul 2021","34","291.57","0.00","6954.968","0.000"
"USEP","01 Jul 2021","35","231.29","0.00","6895.984","0.000"
"USEP","01 Jul 2021","36","149.90","0.00","6797.076","0.000"
"USEP","01 Jul 2021","37","190.95","0.00","6761.849","0.000"
"USEP","01 Jul 2021","38","273.44","0.00","6793.945","0.000"
