"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Jun 2021","1","104.89","0.00","5937.848","0.000"
"USEP","01 Jun 2021","2","100.93","0.00","5833.687","0.000"
"USEP","01 Jun 2021","3","100.94","0.00","5769.429","0.000"
"USEP","01 Jun 2021","4","95.78","0.00","5698.706","0.000"
"USEP","01 Jun 2021","5","93.83","0.00","5639.002","0.000"
"USEP","01 Jun 2021","6","92.74","0.00","5586.683","0.000"
"USEP","01 Jun 2021","7","90.13","0.00","5562.682","0.000"
"USEP","01 Jun 2021","8","87.87","0.00","5552.320","0.000"
"USEP","01 Jun 2021","9","87.86","0.00","5546.734","0.000"
"USEP","01 Jun 2021","10","87.77","0.00","5552.842","0.000"
"USEP","01 Jun 2021","11","92.85","0.00","5628.828","0.000"
"USEP","01 Jun 2021","12","100.78","0.00","5771.626","0.000"
"USEP","01 Jun 2021","13","105.41","0.00","5935.383","0.000"
"USEP","01 Jun 2021","14","111.38","0.00","6071.685","0.000"
"USEP","01 Jun 2021","15","92.91","0.00","6221.605","0.000"
"USEP","01 Jun 2021","16","95.91","0.00","6470.175","0.000"
"USEP","01 Jun 2021","17","95.94","0.00","6716.523","0.000"
"USEP","01 Jun 2021","18","94.69","0.00","6878.917","0.000"
"USEP","01 Jun 2021","19","94.96","0.00","6987.895","0.000"
"USEP","01 Jun 2021","20","96.23","0.00","7072.042","0.000"
"USEP","01 Jun 2021","21","102.33","0.00","7128.347","0.000"
"USEP","01 Jun 2021","22","97.61","0.00","7133.804","0.000"
"USEP","01 Jun 2021","23","96.16","0.00","7121.697","0.000"
"USEP","01 Jun 2021","24","96.01","0.00","7088.134","0.000"
"USEP","01 Jun 2021","25","96.01","0.00","7061.212","0.000"
"USEP","01 Jun 2021","26","91.09","0.00","7066.495","0.000"
"USEP","01 Jun 2021","27","112.29","0.00","7160.209","0.000"
"USEP","01 Jun 2021","28","112.29","0.00","7185.025","0.000"
"USEP","01 Jun 2021","29","110.32","0.00","7168.350","0.000"
"USEP","01 Jun 2021","30","105.00","0.00","7146.984","0.000"
"USEP","01 Jun 2021","31","104.94","0.00","7137.129","0.000"
"USEP","01 Jun 2021","32","98.06","0.00","7131.870","0.000"
"USEP","01 Jun 2021","33","97.84","0.00","7123.069","0.000"
"USEP","01 Jun 2021","34","96.11","0.00","7094.953","0.000"
"USEP","01 Jun 2021","35","89.92","0.00","7010.533","0.000"
"USEP","01 Jun 2021","36","87.66","0.00","6893.256","0.000"
"USEP","01 Jun 2021","37","87.05","0.00","6834.456","0.000"
"USEP","01 Jun 2021","38","87.55","0.00","6861.334","0.000"
"USEP","01 Jun 2021","39","87.54","0.00","6894.866","0.000"
"USEP","01 Jun 2021","40","88.01","0.00","6879.827","0.000"
"USEP","01 Jun 2021","41","90.92","0.00","6876.030","0.000"
"USEP","01 Jun 2021","42","90.93","0.00","6855.519","0.000"
"USEP","01 Jun 2021","43","105.10","0.00","6793.915","0.000"
"USEP","01 Jun 2021","44","98.08","0.00","6654.746","0.000"
"USEP","01 Jun 2021","45","93.90","0.00","6516.629","0.000"
"USEP","01 Jun 2021","46","95.92","0.00","6376.112","0.000"
"USEP","01 Jun 2021","47","93.89","0.00","6247.847","0.000"
"USEP","01 Jun 2021","48","90.88","0.00","6055.985","0.000"
"USEP","02 Jun 2021","1","95.78","0.00","5870.176","0.000"
"USEP","02 Jun 2021","2","93.86","0.00","5768.604","0.000"
"USEP","02 Jun 2021","3","94.77","0.00","5758.490","0.000"
"USEP","02 Jun 2021","4","94.74","0.00","5693.180","0.000"
"USEP","02 Jun 2021","5","93.82","0.00","5640.950","0.000"
"USEP","02 Jun 2021","6","92.84","0.00","5590.355","0.000"
"USEP","02 Jun 2021","7","88.07","0.00","5564.730","0.000"
"USEP","02 Jun 2021","8","88.07","0.00","5545.148","0.000"
"USEP","02 Jun 2021","9","87.97","0.00","5541.704","0.000"
"USEP","02 Jun 2021","10","87.77","0.00","5550.566","0.000"
"USEP","02 Jun 2021","11","93.81","0.00","5631.711","0.000"
"USEP","02 Jun 2021","12","100.92","0.00","5786.571","0.000"
"USEP","02 Jun 2021","13","109.89","0.00","5953.638","0.000"
"USEP","02 Jun 2021","14","104.85","0.00","6099.348","0.000"
"USEP","02 Jun 2021","15","86.94","0.00","6231.903","0.000"
"USEP","02 Jun 2021","16","89.85","0.00","6471.104","0.000"
"USEP","02 Jun 2021","17","89.86","0.00","6693.283","0.000"
"USEP","02 Jun 2021","18","90.08","0.00","6872.938","0.000"
"USEP","02 Jun 2021","19","94.74","0.00","6965.013","0.000"
"USEP","02 Jun 2021","20","110.29","0.00","7055.258","0.000"
"USEP","02 Jun 2021","21","115.31","0.00","7084.491","0.000"
"USEP","02 Jun 2021","22","115.32","0.00","7089.019","0.000"
"USEP","02 Jun 2021","23","115.33","0.00","7097.642","0.000"
"USEP","02 Jun 2021","24","115.33","0.00","7070.406","0.000"
"USEP","02 Jun 2021","25","109.53","0.00","7016.497","0.000"
"USEP","02 Jun 2021","26","115.32","0.00","7035.408","0.000"
"USEP","02 Jun 2021","27","118.88","0.00","7080.083","0.000"
"USEP","02 Jun 2021","28","115.31","0.00","7071.525","0.000"
