"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Mar 2021","1","88.49","0.00","5364.837","0.000"
"USEP","01 Mar 2021","2","85.77","0.00","5258.797","0.000"
"USEP","01 Mar 2021","3","87.88","0.00","5289.536","0.000"
"USEP","01 Mar 2021","4","85.76","0.00","5216.522","0.000"
"USEP","01 Mar 2021","5","85.65","0.00","5175.117","0.000"
"USEP","01 Mar 2021","6","85.63","0.00","5145.004","0.000"
"USEP","01 Mar 2021","7","85.63","0.00","5128.473","0.000"
"USEP","01 Mar 2021","8","85.62","0.00","5088.778","0.000"
"USEP","01 Mar 2021","9","85.62","0.00","5099.528","0.000"
"USEP","01 Mar 2021","10","84.04","0.00","5119.498","0.000"
"USEP","01 Mar 2021","11","85.65","0.00","5220.970","0.000"
"USEP","01 Mar 2021","12","85.77","0.00","5389.403","0.000"
"USEP","01 Mar 2021","13","85.81","0.00","5587.473","0.000"
"USEP","01 Mar 2021","14","88.50","0.00","5779.568","0.000"
"USEP","01 Mar 2021","15","93.53","0.00","5982.439","0.000"
"USEP","01 Mar 2021","16","99.96","0.00","6217.897","0.000"
"USEP","01 Mar 2021","17","123.80","0.00","6453.336","0.000"
"USEP","01 Mar 2021","18","209.40","0.00","6604.424","0.000"
"USEP","01 Mar 2021","19","270.72","0.00","6679.854","0.000"
"USEP","01 Mar 2021","20","273.71","0.00","6740.766","0.000"
"USEP","01 Mar 2021","21","139.40","0.00","6779.493","0.000"
"USEP","01 Mar 2021","22","111.48","0.00","6789.124","0.000"
"USEP","01 Mar 2021","23","110.12","0.00","6769.632","0.000"
"USEP","01 Mar 2021","24","110.12","0.00","6757.918","0.000"
"USEP","01 Mar 2021","25","97.81","0.00","6715.872","0.000"
"USEP","01 Mar 2021","26","100.84","0.00","6723.799","0.000"
"USEP","01 Mar 2021","27","111.69","0.00","6775.914","0.000"
"USEP","01 Mar 2021","28","120.87","0.00","6818.447","0.000"
"USEP","01 Mar 2021","29","126.18","0.00","6851.771","0.000"
"USEP","01 Mar 2021","30","124.92","0.00","6851.225","0.000"
"USEP","01 Mar 2021","31","141.29","0.00","6867.367","0.000"
"USEP","01 Mar 2021","32","151.44","0.00","6891.084","0.000"
"USEP","01 Mar 2021","33","192.56","0.00","6932.737","0.000"
"USEP","01 Mar 2021","34","342.99","0.00","7045.939","0.000"
"USEP","01 Mar 2021","35","287.95","0.00","6965.773","0.000"
"USEP","01 Mar 2021","36","138.09","0.00","6847.080","0.000"
"USEP","01 Mar 2021","37","137.46","0.00","6759.349","0.000"
"USEP","01 Mar 2021","38","117.62","0.00","6752.167","0.000"
"USEP","01 Mar 2021","39","110.15","0.00","6767.997","0.000"
"USEP","01 Mar 2021","40","112.22","0.00","6732.233","0.000"
"USEP","01 Mar 2021","41","100.62","0.00","6694.158","0.000"
"USEP","01 Mar 2021","42","132.54","0.00","6654.343","0.000"
"USEP","01 Mar 2021","43","110.13","0.00","6559.630","0.000"
"USEP","01 Mar 2021","44","97.70","0.00","6361.207","0.000"
"USEP","01 Mar 2021","45","96.99","0.00","6207.659","0.000"
"USEP","01 Mar 2021","46","90.85","0.00","6074.259","0.000"
"USEP","01 Mar 2021","47","89.83","0.00","5925.015","0.000"
"USEP","01 Mar 2021","48","89.85","0.00","5767.789","0.000"
"USEP","02 Mar 2021","1","97.58","0.00","5627.526","0.000"
"USEP","02 Mar 2021","2","90.82","0.00","5524.403","0.000"
"USEP","02 Mar 2021","3","87.84","0.00","5449.650","0.000"
"USEP","02 Mar 2021","4","85.77","0.00","5381.297","0.000"
"USEP","02 Mar 2021","5","85.67","0.00","5327.040","0.000"
"USEP","02 Mar 2021","6","84.71","0.00","5283.045","0.000"
"USEP","02 Mar 2021","7","84.63","0.00","5255.894","0.000"
