"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jan 2021","1","79.71","79.66","0.02","-0.76","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","2","76.05","75.59","0.01","-0.34","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","3","75.31","75.04","0.01","-0.54","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","4","79.78","79.39","0.02","-0.43","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","5","76.25","75.62","0.02","-0.19","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","6","76.19","75.45","0.01","-0.07","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","7","66.90","65.87","0.01","0.23","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","8","58.57","57.75","0.01","0.02","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","9","56.89","56.17","0.01","-0.08","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","10","56.85","56.17","0.01","-0.12","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","11","57.08","56.17","0.01","0.11","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","12","58.58","57.75","0.02","0.02","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","13","66.81","65.84","0.22","-0.04","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","14","68.68","67.91","0.20","-0.23","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","15","59.65","58.76","0.23","-0.13","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","16","67.90","67.32","0.23","-0.44","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","17","68.61","67.83","0.22","-0.23","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","18","75.84","75.59","0.22","-0.76","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","19","76.08","75.60","0.21","-0.52","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","20","76.49","75.68","0.08","-0.06","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","21","76.25","75.68","0.13","-0.35","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","22","76.01","75.68","0.12","-0.58","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","23","76.41","75.60","0.17","-0.15","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","24","76.76","75.60","0.16","0.20","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","25","76.66","75.61","0.16","0.10","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","26","76.40","75.60","0.16","-0.15","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","27","76.08","75.69","0.17","-0.57","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","28","76.60","75.68","0.17","-0.04","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","29","76.74","75.68","0.17","0.10","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","30","76.96","75.68","0.17","0.32","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","31","77.06","75.60","0.17","0.50","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","32","77.00","75.60","0.17","0.43","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","33","76.94","75.60","0.18","0.36","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","34","76.89","75.60","0.18","0.32","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","35","76.61","75.60","0.19","0.03","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","36","76.83","75.68","0.22","0.13","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","37","76.66","75.68","0.23","-0.04","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","38","76.70","75.71","0.23","-0.03","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","39","77.80","76.66","0.23","0.12","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","40","86.68","85.38","0.40","0.11","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","41","82.93","81.58","0.33","0.22","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","42","80.82","79.54","0.23","0.26","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","43","80.13","78.97","0.22","0.15","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","44","77.01","75.69","0.20","0.33","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","45","72.01","70.80","0.18","0.23","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","46","60.36","59.15","0.19","0.23","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","47","76.91","75.68","0.05","0.39","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","01 Jan 2021","48","76.74","75.60","0.04","0.31","0.00","0.18","0.3357","0.0000","0.2771"
"WEP","02 Jan 2021","1","76.34","75.00","0.03","0.51","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","2","64.54","63.43","0.02","0.29","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","3","56.19","55.13","0.01","0.25","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","4","55.35","54.27","0.01","0.28","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","5","55.35","54.16","0.02","0.37","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","6","55.30","54.03","0.01","0.46","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","7","54.08","53.02","0.01","0.26","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","8","51.40","50.39","0.01","0.20","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","9","51.52","50.39","0.01","0.32","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","10","51.56","50.39","0.01","0.37","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","11","54.54","53.43","0.02","0.29","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","12","55.67","54.26","0.03","0.58","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","13","56.04","54.55","0.22","0.48","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","14","56.09","55.03","0.22","0.05","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","15","58.00","56.75","0.23","0.23","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","16","64.91","63.94","0.23","-0.06","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","17","70.56","69.78","0.22","-0.23","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","18","67.31","66.70","0.09","-0.28","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","19","76.10","75.59","0.23","-0.52","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","20","76.22","75.67","0.20","-0.44","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","21","76.36","75.68","0.18","-0.30","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","22","76.63","75.69","0.18","-0.03","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","23","76.31","75.69","0.18","-0.36","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","24","76.36","75.68","0.17","-0.29","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","25","76.46","75.68","0.15","-0.17","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","26","76.58","75.69","0.14","-0.05","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","27","76.99","75.69","0.15","0.36","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","28","76.95","75.68","0.16","0.32","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","29","77.15","75.68","0.17","0.51","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","30","77.00","75.67","0.15","0.39","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","31","77.11","75.66","0.15","0.50","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","32","76.95","75.66","0.15","0.34","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","33","72.86","71.62","0.08","0.37","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","34","69.96","68.93","0.04","0.20","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","35","68.99","68.18","0.03","-0.01","0.00","0.18","0.3357","0.0000","0.2793"
"WEP","02 Jan 2021","36","69.12","68.18","0.07","0.07","0.00","0.18","0.3357","0.0000","0.2793"
