"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jun 2021","1","104.93","104.89","0.01","-0.85","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","2","101.28","100.93","0.01","-0.53","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","3","101.05","100.94","0.00","-0.76","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","4","96.33","95.78","0.00","-0.32","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","5","94.16","93.83","0.00","-0.54","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","6","93.11","92.74","0.00","-0.50","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","7","90.44","90.13","0.00","-0.57","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","8","88.24","87.87","0.00","-0.50","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","9","88.82","87.86","0.00","0.09","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","10","88.43","87.77","0.00","-0.21","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","11","93.36","92.85","0.00","-0.36","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","12","101.51","100.78","0.02","-0.16","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","13","105.93","105.41","0.02","-0.37","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","14","111.38","111.38","0.02","-0.89","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","15","92.99","92.91","0.09","-0.89","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","16","96.11","95.91","0.22","-0.89","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","17","95.81","95.94","0.06","-1.06","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","18","94.67","94.69","0.03","-0.92","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","19","94.46","94.96","0.02","-1.39","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","20","96.06","96.23","0.02","-1.06","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","21","102.33","102.33","0.01","-0.88","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","22","97.42","97.61","0.01","-1.07","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","23","95.85","96.16","0.02","-1.20","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","24","95.63","96.01","0.01","-1.27","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","25","95.31","96.01","0.01","-1.59","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","26","90.76","91.09","0.01","-1.21","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","27","111.95","112.29","0.02","-1.23","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","28","112.17","112.29","0.03","-1.02","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","29","110.28","110.32","0.02","-0.93","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","30","104.85","105.00","0.02","-1.04","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","31","104.93","104.94","0.01","-0.89","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","32","97.98","98.06","0.01","-0.97","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","33","97.98","97.84","0.01","-0.74","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","34","96.26","96.11","0.02","-0.74","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","35","89.84","89.92","0.02","-0.97","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","36","87.29","87.66","0.02","-1.26","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","37","86.64","87.05","0.04","-1.32","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","38","87.21","87.55","0.05","-1.26","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","39","87.26","87.54","0.03","-1.18","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","40","87.66","88.01","0.03","-1.25","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","41","90.66","90.92","0.02","-1.15","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","42","90.85","90.93","0.01","-0.97","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","43","104.76","105.10","0.01","-1.22","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","44","98.10","98.08","0.01","-0.86","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","45","94.35","93.90","0.02","-0.44","0.00","0.20","0.3357","0.0409","0.2948"
"WEP","01 Jun 2021","46","96.24","95.92","0.12","-0.67","0.00","0.20","0.3357","0.0409","0.2948"
