"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 May 2021","1","113.34","112.16","0.03","0.25","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","2","103.08","102.94","0.02","-0.78","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","3","102.56","102.03","0.01","-0.38","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","4","102.61","101.97","0.01","-0.27","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","5","113.48","112.67","0.01","-0.10","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","6","91.60","90.74","0.01","-0.05","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","7","91.63","90.63","0.01","0.08","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","8","91.61","90.54","0.01","0.16","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","9","90.93","90.15","0.01","-0.13","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","10","88.34","87.63","0.01","-0.20","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","11","91.08","90.46","0.01","-0.29","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","12","91.39","90.54","0.04","-0.09","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","13","89.98","89.14","0.22","-0.28","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","14","91.38","90.55","0.21","-0.29","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","15","96.67","96.49","0.32","-1.04","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","16","106.11","104.64","0.37","0.20","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","17","114.11","112.92","0.36","-0.07","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","18","101.07","99.83","0.37","-0.04","0.00","0.21","0.3357","0.0435","0.3137"
"WEP","01 May 2021","19","91.79","90.70","0.29","-0.10","0.00","0.21","0.3357","0.0435","0.3137"
