"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Nov 2021","1","2025.49","2001.07","2.46","21.19","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","2","1919.01","1892.67","1.98","23.59","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","3","227.21","224.30","1.26","0.88","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","4","151.27","149.93","0.18","0.39","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","5","143.03","141.64","0.18","0.44","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","6","141.27","139.73","0.17","0.60","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","7","136.19","135.11","0.17","0.13","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","8","124.48","123.01","0.15","0.54","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","9","124.25","123.00","0.17","0.31","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","10","118.26","117.42","0.14","-0.08","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","11","140.66","139.52","0.19","0.18","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","12","156.67","154.76","0.94","0.19","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","13","173.53","171.68","0.30","0.78","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","14","206.52","205.36","0.30","0.09","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","15","159.31","158.18","0.32","0.03","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","16","210.42","209.29","0.50","-0.15","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","17","194.58","193.36","0.52","-0.07","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","18","211.46","209.53","0.86","0.30","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","19","251.20","250.35","0.70","-0.62","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","20","250.45","242.15","0.24","0.10","7.19","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","21","564.69","561.88","0.59","1.45","0.00","0.20","0.3491","0.0000","0.2238"
"WEP","01 Nov 2021","22","579.62","561.88","0.19","16.77","0.00","0.20","0.3491","0.0000","0.2238"
