"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Sep 2021","1","110.45","110.20","0.02","-0.55","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","2","104.61","104.79","0.01","-0.97","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","3","97.46","97.28","0.01","-0.61","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","4","91.62","91.63","0.01","-0.81","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","5","87.23","87.16","0.01","-0.73","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","6","88.12","88.09","0.01","-0.77","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","7","86.93","86.67","0.01","-0.54","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","8","83.65","83.60","0.01","-0.74","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","9","83.58","83.60","0.01","-0.82","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","10","88.07","88.66","0.01","-1.38","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","11","88.21","88.64","0.01","-1.23","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","12","105.89","106.20","0.02","-1.11","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","13","112.81","113.52","0.17","-1.67","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","14","116.32","117.11","0.09","-1.66","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","15","103.95","104.26","0.25","-1.34","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","16","113.87","113.71","0.33","-0.96","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","17","138.34","138.33","0.51","-1.29","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","18","144.22","143.48","0.89","-0.94","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","19","166.92","166.07","1.08","-1.02","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","20","142.61","141.96","0.75","-0.88","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","21","117.41","117.62","0.21","-1.20","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","22","113.73","113.93","0.18","-1.16","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","23","112.96","113.91","0.16","-1.89","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","24","109.20","110.15","0.05","-1.78","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","25","101.30","101.86","0.02","-1.36","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","26","101.07","101.78","0.02","-1.51","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","27","101.24","101.89","0.02","-1.46","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","28","102.82","103.76","0.02","-1.75","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","29","112.77","113.71","0.02","-1.74","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","30","107.09","108.08","0.02","-1.79","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","31","107.99","109.10","0.02","-1.92","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","32","103.65","104.84","0.02","-2.00","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","33","103.87","105.18","0.01","-2.10","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","34","108.72","110.41","0.02","-2.50","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","35","103.15","104.56","0.02","-2.22","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","36","100.70","101.88","0.02","-1.98","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","37","101.20","101.88","0.22","-1.69","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","38","107.98","109.02","0.17","-1.99","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","39","112.64","113.71","0.04","-1.89","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","40","112.53","113.69","0.06","-2.01","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","41","113.06","113.93","0.02","-1.67","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","42","113.51","113.92","0.02","-1.21","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","43","113.29","113.59","0.02","-1.10","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","44","106.99","107.03","0.02","-0.84","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","45","96.48","96.17","0.02","-0.50","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","46","108.24","108.35","0.24","-1.13","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","47","103.33","103.54","0.12","-1.11","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","01 Sep 2021","48","96.69","96.86","0.02","-0.97","0.00","0.21","0.3491","0.0000","0.2239"
"WEP","02 Sep 2021","1","115.78","115.57","0.13","-0.71","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","2","113.27","112.97","0.07","-0.56","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","3","93.81","93.90","0.01","-0.89","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","4","91.69","92.37","0.01","-1.48","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","5","90.76","90.66","0.01","-0.70","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","6","89.18","88.89","0.01","-0.51","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","7","88.99","88.68","0.01","-0.49","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","8","89.17","88.67","0.01","-0.30","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","9","89.48","88.67","0.01","0.01","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","10","89.23","88.66","0.01","-0.22","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","11","90.37","89.91","0.01","-0.34","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","12","99.62","99.39","0.02","-0.58","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","13","114.41","115.54","0.05","-1.97","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","14","115.02","115.57","0.05","-1.39","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","15","156.91","155.96","0.69","-0.53","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","16","269.52","268.22","2.52","-2.01","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","17","319.72","318.52","3.60","-3.19","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","18","271.21","268.23","3.57","-1.38","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","19","269.30","268.29","2.46","-2.24","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","20","270.74","268.29","2.76","-1.10","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","21","313.27","311.55","2.66","-1.73","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","22","275.16","273.47","2.42","-1.52","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","23","269.17","268.03","2.45","-2.17","0.07","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","24","218.28","217.88","1.75","-2.14","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","25","168.03","167.39","1.10","-1.25","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","26","168.70","167.70","1.12","-0.91","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","27","258.95","257.55","3.00","-2.39","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","28","259.15","257.55","3.01","-2.20","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","29","179.57","178.63","1.71","-1.56","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","30","166.94","166.48","1.39","-1.72","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","31","159.20","158.67","0.91","-1.17","0.00","0.21","0.3491","0.0000","0.2303"
"WEP","02 Sep 2021","32","159.08","158.47","1.00","-1.18","0.00","0.21","0.3491","0.0000","0.2303"
