,RegATest,,,,,,
0:00:00,-0.21550,,,,,,
0:00:02,-0.23133,,,,,,
0:00:04,-0.24689,,,,,,
0:00:06,-0.26235,,,,,,
0:00:08,-0.27784,,,,,,
0:00:10,-0.29342,,,,,,
0:00:12,-0.30881,,,,,,
0:00:14,-0.32408,,,,,,
0:00:16,-0.33922,,,,,,
0:00:18,-0.35425,,,,,,
0:00:20,-0.35805,,,,,,
0:00:22,-0.38039,,,,,,
0:00:24,-0.39907,,,,,,
0:00:26,-0.41394,,,,,,
0:00:28,-0.42878,,,,,,
0:00:30,-0.44361,,,,,,
0:00:32,-0.45854,,,,,,
0:00:34,-0.47332,,,,,,
0:00:36,-0.48826,,,,,,
0:00:38,-0.50329,,,,,,
0:00:40,-0.51821,,,,,,
0:00:42,-0.53323,,,,,,
0:00:44,-0.54827,,,,,,
0:00:46,-0.56334,,,,,,
0:00:48,-0.57817,,,,,,
0:00:50,-0.59273,,,,,,
0:00:52,-0.60707,,,,,,
0:00:54,-0.62133,,,,,,
0:00:56,-0.63531,,,,,,
0:00:58,-0.64915,,,,,,
0:01:00,-0.66286,,,,,,
0:01:02,-0.67633,,,,,,
0:01:04,-0.68963,,,,,,
0:01:06,-0.70276,,,,,,
0:01:08,-0.71578,,,,,,
0:01:10,-0.72847,,,,,,
0:01:12,-0.74054,,,,,,
0:01:14,-0.75200,,,,,,
0:01:16,-0.76281,,,,,,
0:01:18,-0.77319,,,,,,
0:01:20,-0.77579,,,,,,
0:01:22,-0.79024,,,,,,
0:01:24,-0.80188,,,,,,
0:01:26,-0.81093,,,,,,
0:01:28,-0.81975,,,,,,
0:01:30,-0.82833,,,,,,
0:01:32,-0.83665,,,,,,
0:01:34,-0.84447,,,,,,
0:01:36,-0.85174,,,,,,
0:01:38,-0.85861,,,,,,
0:01:40,-0.86495,,,,,,
0:01:42,-0.87079,,,,,,
0:01:44,-0.87625,,,,,,
0:01:46,-0.87758,,,,,,
0:01:48,-0.88428,,,,,,
0:01:50,-0.88934,,,,,,
0:01:52,-0.89265,,,,,,
0:01:54,-0.89564,,,,,,
0:01:56,-0.89856,,,,,,
0:01:58,-0.90143,,,,,,
0:02:00,-0.90421,,,,,,
0:02:02,-0.90694,,,,,,
0:02:04,-0.90963,,,,,,
0:02:06,-0.91227,,,,,,
0:02:08,-0.91476,,,,,,
0:02:10,-0.91730,,,,,,
0:02:12,-0.91985,,,,,,
0:02:14,-0.92237,,,,,,
0:02:16,-0.92300,,,,,,
0:02:18,-0.92675,,,,,,
0:02:20,-0.92799,,,,,,
0:02:22,-0.93149,,,,,,
0:02:24,-0.93430,,,,,,
0:02:26,-0.93650,,,,,,
0:02:28,-0.93854,,,,,,
0:02:30,-0.94024,,,,,,
0:02:32,-0.94171,,,,,,
0:02:34,-0.94313,,,,,,
0:02:36,-0.94452,,,,,,
0:02:38,-0.94587,,,,,,
0:02:40,-0.94722,,,,,,
0:02:42,-0.94862,,,,,,
0:02:44,-0.95013,,,,,,
0:02:46,-0.95171,,,,,,
0:02:48,-0.95339,,,,,,
0:02:50,-0.95518,,,,,,
0:02:52,-0.95708,,,,,,
0:02:54,-0.95906,,,,,,
0:02:56,-0.96106,,,,,,
0:02:58,-0.96299,,,,,,
0:03:00,-0.96487,,,,,,
0:03:02,-0.96669,,,,,,
0:03:04,-0.96842,,,,,,
0:03:06,-0.97007,,,,,,
0:03:08,-0.97165,,,,,,
0:03:10,-0.97321,,,,,,
0:03:12,-0.97476,,,,,,
0:03:14,-0.97627,,,,,,
0:03:16,-0.97762,,,,,,
0:03:18,-0.97869,,,,,,
0:03:20,-0.97894,,,,,,
0:03:22,-0.97997,,,,,,
0:03:24,-0.98082,,,,,,
0:03:26,-0.98161,,,,,,
0:03:28,-0.98248,,,,,,
0:03:30,-0.98342,,,,,,
0:03:32,-0.98439,,,,,,
0:03:34,-0.98547,,,,,,
0:03:36,-0.98678,,,,,,
0:03:38,-0.98827,,,,,,
0:03:40,-0.98997,,,,,,
0:03:42,-0.99186,,,,,,
0:03:44,-0.99393,,,,,,
0:03:46,-0.99445,,,,,,
0:03:48,-0.99744,,,,,,
0:03:50,-0.99960,,,,,,
0:03:52,-1.00000,,,,,,
0:03:54,-1.00000,,,,,,
0:03:56,-1.00000,,,,,,
0:03:58,-1.00000,,,,,,
0:04:00,-1.00000,,,,,,
0:04:02,-1.00000,,,,,,
0:04:04,-1.00000,,,,,,
0:04:06,-1.00000,,,,,,
0:04:08,-1.00000,,,,,,
0:04:10,-1.00000,,,,,,
0:04:12,-1.00000,,,,,,
0:04:14,-1.00000,,,,,,
0:04:16,-1.00000,,,,,,
0:04:18,-1.00000,,,,,,
0:04:20,-1.00000,,,,,,
0:04:22,-1.00000,,,,,,
0:04:24,-1.00000,,,,,,
0:04:26,-1.00000,,,,,,
0:04:28,-1.00000,,,,,,
0:04:30,-1.00000,,,,,,
0:04:32,-1.00000,,,,,,
0:04:34,-1.00000,,,,,,
0:04:36,-1.00000,,,,,,
0:04:38,-1.00000,,,,,,
0:04:40,-1.00000,,,,,,
0:04:42,-1.00000,,,,,,
0:04:44,-1.00000,,,,,,
0:04:46,-1.00000,,,,,,
0:04:48,-1.00000,,,,,,
0:04:50,-1.00000,,,,,,
0:04:52,-1.00000,,,,,,
0:04:54,-1.00000,,,,,,
0:04:56,-1.00000,,,,,,
0:04:58,-1.00000,,,,,,
0:05:00,-1.00000,,,,,,
0:05:02,-1.00000,,,,,,
0:05:04,-1.00000,,,,,,
0:05:06,-1.00000,,,,,,
0:05:08,-1.00000,,,,,,
0:05:10,-1.00000,,,,,,
0:05:12,-1.00000,,,,,,
0:05:14,-1.00000,,,,,,
0:05:16,-1.00000,,,,,,
0:05:18,-1.00000,,,,,,
0:05:20,-1.00000,,,,,,
0:05:22,-1.00000,,,,,,
0:05:24,-1.00000,,,,,,
0:05:26,-1.00000,,,,,,
0:05:28,-1.00000,,,,,,
0:05:30,-1.00000,,,,,,
0:05:32,-1.00000,,,,,,
0:05:34,-1.00000,,,,,,
0:05:36,-1.00000,,,,,,
0:05:38,-1.00000,,,,,,
0:05:40,-1.00000,,,,,,
0:05:42,-1.00000,,,,,,
0:05:44,-1.00000,,,,,,
0:05:46,-1.00000,,,,,,
0:05:48,-1.00000,,,,,,
0:05:50,-1.00000,,,,,,
0:05:52,-1.00000,,,,,,
0:05:54,-1.00000,,,,,,
0:05:56,-1.00000,,,,,,
0:05:58,-1.00000,,,,,,
0:06:00,-1.00000,,,,,,
0:06:02,-1.00000,,,,,,
0:06:04,-1.00000,,,,,,
0:06:06,-1.00000,,,,,,
0:06:08,-1.00000,,,,,,
0:06:10,-1.00000,,,,,,
0:06:12,-1.00000,,,,,,
0:06:14,-1.00000,,,,,,
0:06:16,-1.00000,,,,,,
0:06:18,-1.00000,,,,,,
0:06:20,-1.00000,,,,,,
0:06:22,-1.00000,,,,,,
0:06:24,-1.00000,,,,,,
0:06:26,-1.00000,,,,,,
0:06:28,-1.00000,,,,,,
0:06:30,-0.99968,,,,,,
0:06:32,-0.99890,,,,,,
0:06:34,-0.99788,,,,,,
0:06:36,-0.99679,,,,,,
0:06:38,-0.99558,,,,,,
0:06:40,-0.99412,,,,,,
0:06:42,-0.99242,,,,,,
0:06:44,-0.99055,,,,,,
0:06:46,-0.99008,,,,,,
0:06:48,-0.98674,,,,,,
0:06:50,-0.98365,,,,,,
0:06:52,-0.98082,,,,,,
0:06:54,-0.97757,,,,,,
0:06:56,-0.97671,,,,,,
0:06:58,-0.97081,,,,,,
0:07:00,-0.96577,,,,,,
0:07:02,-0.96176,,,,,,
0:07:04,-0.95778,,,,,,
0:07:06,-0.95401,,,,,,
0:07:08,-0.95049,,,,,,
0:07:10,-0.94736,,,,,,
0:07:12,-0.94454,,,,,,
0:07:14,-0.94200,,,,,,
0:07:16,-0.93975,,,,,,
0:07:18,-0.93777,,,,,,
0:07:20,-0.93611,,,,,,
0:07:22,-0.93472,,,,,,
0:07:24,-0.93355,,,,,,
0:07:26,-0.93256,,,,,,
0:07:28,-0.93151,,,,,,
0:07:30,-0.93041,,,,,,
